"id","question","choice_a","choice_b","choice_c","choice_d","answer","explanation"
"17","固溶体の説明として、正しいものはどれか。","金属と非金属が化学結合した化合物","2種類の純金属の結晶粒が機械的に混合され隣り合って存在するもの","金属が液体の状態で混じり合ったもの","2種類以上の元素が互いに溶け合い、全体が均一の固相となっているもの","d","固溶体とは、2種類以上の元素が互いに溶け合い、全体が均一の固相となっているものをいう。侵入形固溶体と置換形固溶体がある。"
"18","置換形固溶体の説明として、正しいものはどれか。","原子半径の小さい元素が原子間のすきまに侵入するもの","金属間化合物が析出したもの","2つの金属が層状に積み重なったもの","溶媒原子の代わりに溶質原子が部分的に置き換わるもの","d","置換形固溶体は、溶媒原子（母体原子）の代わりに溶質原子が部分的に置き換わるものである。"
"19","侵入形固溶体をつくる元素として、適切なものはどれか。","炭素","クロム","ニッケル","モリブデン","a","C（炭素）、N（窒素）、B（ホウ素）、O（酸素）などのように原子半径の小さい元素が、金属結晶格子の原子間のすきまに侵入して侵入形固溶体をつくる。"
"20","固溶体に関する記述のうち、正しいものはどれか。","固溶することで結晶格子のひずみがなくなり軟化する","固溶量には飽和量がなく無限に固溶できる","固溶することで結晶格子にひずみが入り硬くなり延性も低下する","固溶体は必ず面心立方格子となる","c","侵入形、置換形いずれの固溶体も、大きさの異なる原子が固溶することで結晶格子にひずみが入り、硬くなり延性も低下する。"
"21","単結晶の性質に関する記述のうち、正しいものはどれか。","方位によらず機械的性質は一定である","結晶粒界が多く音の散乱が大きい","常に多結晶体より軟らかい","異方性を持ち、結晶粒の方位によってヤング率などが異なる","d","全体が一つの結晶粒である単結晶は異方性を持ち、結晶の方位によってヤング率などの機械的性質が異なり、従って音速も異なる。"
"22","多結晶体の超音波探傷試験におけるノイズの主な原因はどれか。","結晶粒界での音の散乱","探触子の温度上昇","試験体表面の酸化被膜","材料の磁気特性","a","多結晶体では結晶粒界で結晶粒の方位が異なるため音響インピーダンスに差が生じ、粒界で音の散乱が起こってノイズとなる。"
"23","圧延によって結晶粒の方向が一方向に揃った鋼板について、正しい記述はどれか。","結晶粒界が消滅する","超音波探傷試験には全く影響しない","マクロ的に見ても異方性が生じる","マクロ的には常に等方性となる","c","圧延などで結晶粒の方向が一方向に揃ってくると、マクロ的に見ても異方性が生じる。TMCP鋼では音速異方性が超音波探傷試験に影響を及ぼすことがある。"
"24","加工硬化の説明として、正しいものはどれか。","高温に加熱して急冷することで硬くなる現象","結晶粒が粗大化して硬くなる現象","炭素が拡散して硬くなる現象","低い温度で金属に応力を加えて塑性変形させると、内部にひずみが生じて硬くなる現象","d","加工硬化とは、低い温度で金属に応力を加えて塑性変形させると、内部にひずみが生じて金属が硬くなる現象をいう。"
"25","再結晶に関する記述のうち、正しいものはどれか。","再結晶によって加工硬化はさらに進む","再結晶は結晶構造の変化を伴う同素変態である","再結晶は常温以下でのみ起こる","再結晶によって加工硬化がなくなって軟化する","d","再結晶では、変形した大きなひずみを持つ結晶粒の境界に新しい結晶の核が生じて成長し、すべて新しい結晶に置き換わる。このため加工硬化もなくなって軟化する。"
"26","冷間加工の説明として、正しいものはどれか。","再結晶温度以下で行う加工で、加工硬化により強さが増す","融点直下で行う加工","常に軟化を伴う加工","再結晶温度以上で行う加工","a","冷間加工とは再結晶温度以下で行う加工をいい、加工硬化により強さが増す。再結晶温度以上で行う加工を熱間加工という。"
"27","温度が上がって結晶粒が粗大化したときの、単位体積当たりの結晶粒界の全面積の変化として正しいものはどれか。","大きくなる","小さくなる","初め大きくなり、その後小さくなる","変化しない","b","結晶粒が粗大化すると、単位体積当たりの結晶粒界の全面積は小さくなる。"
"28","すべり面となる原子面について、正しい記述はどれか。","結晶粒界に一致する面である","その面上に最も多くの原子が存在する細密原子面である","常に圧延方向に垂直な面である","その面上の原子が最も少ない面である","b","すべり面となる原子面は、一般に、その面上に最も多くの原子が存在する細密原子面である。"
"29","転位に関する記述のうち、正しいものはどれか。","転位が存在すると、すべりに必要な応力は数千倍になる","転位は格子欠陥の一種であり、これが移動することですべりが生じる","転位は塑性変形とは無関係である","転位は不純物原子そのものを指す","b","転位とは、すべり面を境に結合していない不完全な格子の乱れ（格子欠陥）をいい、この転位が順次移動することですべりが生じる。"
"30","金属を塑性変形させたときの結晶構造の変化として、正しいものはどれか。","非晶質になる","面心立方格子に変化する","結晶構造は変わらない","体心立方格子に変化する","c","塑性変形はすべりによって起こるものであり、塑性変形させても結晶構造は変わらない。"
