id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
21,次の文は，回路素子に交流電圧を加えたときの電圧と電流の位相について述べたものである。次の中 から正しいものを一つ選び，記号で答えなさい。,インダクタンスの場合、電圧は電流に対してπ/4 遅れる。,インダクタンスの場合、電圧と電流は同位相である。,抵抗の場合、電圧は電流に対してπ/4 遅れる。,抵抗の場合、電圧と電流は同位相である。,,d,31P 2.6.5 図2.6.11 回路素子としてインダクタンスの場合は、加えた電圧に対して電流はπ/2(rad)、すなわち90 度位相が 進む。抵抗の場合は、電圧と電流は同位相となる。,
22,抵抗に正弦波交流電流が流れているとき、抵抗両端の電圧に対して電流の位相はどのような関係にあ るか。次のうちから正しいものを一つ選べ。,同位相である。,π/2（rad）進む。,π/2（rad）遅れる。,π（rad）遅れる。,,a,31P 2.6.5 図2.6.11 コイルにはインダクタンスL 分と抵抗R 分があることから，交流回路ではRL 回路といわれる。図2.6.11 は横軸に基準位相として電流位相が示されていて，図中には電圧の位相状態が示されている。𝑉𝑅𝑚は抵 抗だけのときの位相で，横軸と重なっており，電流と同位相となる。𝑉𝐿𝑚はインダクタンスだけのとき の位相状態。これは縦軸に重なっており，電流に対しπ/2（90°）位相が進んでいることを表す。𝑉𝑚は コイル（インダクタンス分と抵抗分がある）の場合の電圧の位相状態を示す。電流よりθ位相が進んで いる。このθはθ = tan−1(𝜔𝐿𝑅 ⁄ )である。 設問は𝑉𝑅𝑚（抵抗だけの場合）に対して電流の位相を問うており，(a)が正しい。,
23,インダクタンスに交流電圧を加えて電流を流したとき、電圧に対する電流の位相はどうなるか。次の うちから正しいものを選べ。,同位相である。,π/2（rad）遅れる。,π/2（rad）進む。,π（rad）遅れる。,,b,（新問題集に解説あり） 31P 2.6.5 図2.6.11 コイルにはインダクタンスL 分と抵抗R 分があることから，交流回路ではRL 回路といわれる。図2.6.11 は横軸に基準位相として電流位相が示されていて，図中には電圧の位相状態が示されている。𝑉𝑅𝑚は抵 抗だけのときの位相で，横軸と重なっており，電流と同位相となる。𝑉𝐿𝑚はインダクタンスだけのとき の位相状態。これは縦軸に重なっており，電流に対しπ/2（90°）位相が進んでいることを表す。𝑉𝑚は コイル（インダクタンス分と抵抗分がある）の場合の電圧の位相状態を示す。電流よりθ位相が進んで いる。このθはθ = tan−1(𝜔𝐿𝑅 ⁄ )である。 設問は𝑉𝐿𝑚（インダクタンスだけの場合の電圧）に対して電流の位相を問うており，b)が正しい。 注＞電流と電圧，どちらを基準とするかで位相の遅れ，進み，の表現が変わるので，注意すること。,
24,試験コイル両端における電圧と電流の位相差φはどのような関係で表わされるか。次のうちから正し いものを選べ。ただし、ω：角周波数(rad/s)、L：インダクタンス(H)、R：抵抗(Ω)とする。,tanφ＝R/ωL,tanφ＝ωL/R,tanφ＝ωL- R,tanφ＝-ωL+ R,,b,31P 2.6.5 図2.6.11 図2.6.12 2.84 式 コイルにはインダクタンスL 分と抵抗R 分があることから，交流回路ではRL 回路といわれる。図2.6.11 は横軸に基準位相として電流位相が示されていて，図中には電圧の位相状態が示されている。𝑉𝑅𝑚は抵 抗だけのときの位相で，横軸と重なっており，電流と同位相となる。𝑉𝐿𝑚はインダクタンスだけのとき の位相状態。これは縦軸に重なっており，電流に対しπ/2（90°）位相が進んでいることを表す。𝑉𝑚は コイル（インダクタンス分と抵抗分がある）の場合の電圧の位相状態を示す。電流よりθ°位相が進ん でいる。このθはθ = tan−1(𝜔𝐿𝑅 ⁄ )である。 設問は，コイルの𝑉𝑚（インダクタンス分𝐿と抵抗分𝑅がある場合の電圧）の位相θで，θ = tan−1(𝜔𝐿𝑅 ⁄ ) で表される。図2.6.11 のとおり，θ＝0°が電流の位相なのでθは電流と電圧の位相差を表す。b)が正 しい。 注＞位相差の変数記号として，θ，φはよく使われる。 問題集はφ＝ の式であったが tanφ＝ に変わった。,
25,次の文は、コイルのインピーダンスについて述べたものである。正しいものを一つ選べ。,インピーダンスは抵抗とインダクタンスからなる。,インピーダンスはインダクタンスとリアクタンスからなる。,インピーダンスは抵抗とリアクタンスからなる。,インピーダンスは抵抗とキャパシタンスからなる。,,c,（新問題集に解説あり） 31P 2.6.5 式2.83 Z = √𝑅2 + (𝜔𝐿)2 Z：インピーダンス，𝑅：抵抗，𝜔𝐿：リアクタンス(オメガ・エル),
26,次の文は金属の磁気的性質について述べたものである。正しいものを一つ選べ。,非磁性体は磁石に吸引される金属である。,強磁性体は磁束を集束する金属である。,非磁性体の代表的なものは強磁性を示す。,強磁性体の代表的なものとして銅合金がある。,,b,（新問題集に解説あり） 40P 3.3，42P 3.3.3 (a) 非磁性体は磁石に吸引されない。☓ (b) 強磁性体は比透磁率がかなり大きく，その分磁束を多く通す能力がある。〇 (c) 非磁性体は強磁性を示さない。☓ (d) 強磁性体の代表的なものは鉄，コバルト，ニッケルなど。☓,
27,次の文は金属の抵抗率について述べたものである。正しいもの一つを選べ。,電気抵抗は抵抗率に反比例する。,抵抗率の逆数を導電率という。,抵抗率の単位は（Ω/ｍ）である。,抵抗率は形状によって変化する。,,b,37P 3.2.2(2) 3.9 式 抵抗率の単位は、Ωｍである。,
28,次の文は金属の抵抗率について述べたものである。正しいもの一つを選べ。,電気抵抗は抵抗率に反比例する。,抵抗率の逆数を比抵抗率という。,抵抗率の単位は（Ω/ｍ）である。,抵抗率は導電率の逆数である。,,d,37P 3.2.2(2) 3.9 式 抵抗率の単位は、Ωｍである。,
29,次の文は金属の抵抗率について述べたものである。正しいもの一つを選べ。,抵抗率は導電率に比例する。,抵抗率の単位は（Ω/ｍ）である。,抵抗率の逆数を比抵抗率という。,抵抗率は物質定数であり形状によって変化しない。,,d,36P 3.2.2(1) 導体の抵抗であり導体の形状によって変化しない物質定数である。,
30,次の文は金属の抵抗率について述べたものである。正しいもの一つを選べ。,導体の断面積に反比例する。,導体の形状によって変化しない。,導体の長さに比例する。,導体の電気の流しやすさを示す。,,b,36P 3.2.2(1) 導体の抵抗であり導体の形状によって変化しない物質定数である。,
31,次の文は、導体中を流れる電流について述べたものである。 これらの中から正しいものを一つ選び、記号で答えなさい。,負の電荷をもった自由電子が、陰極に移動することで導体中に電流が流れる。,導体の温度が上昇すると、抵抗率が高くなる。,冷間圧延などの塑性加工を行うと、金属の原子配列が不規則となり電流が流れ易くなる。,銅にスズなどの不純物が添加されると、格子欠陥が発生し電流が流れ易くなる。,,b,37P 3.2.3(1) 抵抗率は温度の上昇とともに大きくなる。,
32,次の文は，金属の電磁気的性質について述べた。正しいものを一つ選び，記号で答えなさい。,鋼の導電率は温度が上昇すると増加する。,冷問加工した銅線を焼鈍すると抵抗率は減少する。,銅に不純物を添加すると抵抗率は減少する。,焼鈍した炭素鋼を冷間加工すると導電率が高くなる。,,b,"（新問題集に解説あり） 37P 3.2.3 図3.2.2，図3.2.3，図3.2.4 「金属材料概論」2018 15P～ (a) 加熱→抵抗率は増加する。⇒答えは☓ (b) 焼鈍（焼なまし）→ひずみ小→格子欠陥少⇒導電率は大⇒答えは○ (c) 不純物の添加→抵抗率は増加する。⇒答えは☓ (d) 冷間加工→抵抗率は増加⇒答えは☓ 補＞導電率が大→抵抗率は小となる。 導電率が小→抵抗率は大となる。 焼鈍,温度の上昇,不純物の存在,冷間加工により抵抗率は増加する。 注＞焼なまし（焼鈍 ．．．．．．． ） ． ：加工（塑性変形）した金属を加熱し、その後ゆっくり冷却することをという。 結晶格子のひずみを除去する。⇒導電率，透磁率が大きくなる。 冷間加工とは、再結晶温度以下（一般的に常温）で加工（塑性変形）することをいう。",
33,次の文は，金属の電磁気的性質について述べた。正しいものを一つ選び，記号で答えなさい。,冷問加工した鋼を焼鈍すると透磁率は低下する。,鋼を加熱すると、抵抗率は低くなる。,強磁性材は低温で、非磁性の性質を失う。,焼鈍した炭素鋼を冷間加工すると、透磁率は低くなる。,,d,37P 3.2.3 図3.2.2，図3.2.3，図3.2.4 「金属材料概論」2018 15P～ (a) 焼鈍→抵抗率は増加する。⇒答えは☓ (b) 加熱→抵抗率は増加する。⇒答えは☓ (c) キュリー温度以上で非磁性の性質となる。⇒答えは☓ (d) 正しい。⇒答えは○ 注＞問題集3.3-9 の類似問題 「抵抗率」と「透磁率」の読み間違いに注意！！,
34,次の文の[ ]内に挿入する数値または用語として適正なものを次に内から一つ選び，記号で答えなさ い。「鉄のキュリー温度は約[①]であり、この温度以上では、強磁性体である鉄も[②]となる。」,①1130℃ ②非磁性体,①770℃ ②絶縁体,①770℃ ②非磁性体,①1130℃ ②導体,,c,46P 表3.3.1 強磁性体をキュリー温度以上に保てば、強磁性体の性質を喪失させるとこができる。,
35,次の文は、IACS％について述べたものである。正しいものを一つ選べ。,金属（純銅）の導電率を基準とした割合で表す単位である。,金属（純銅）の透磁率を基準とした割合で表す単位である。,金属（純鉄）の導電率を基準とした割合で表す単位である。,金属（純鉄）の透磁率を基準とした割合で表す単位である。,,a,37P 3.2.2 IACS％とは，標準軟銅（純銅を焼きなまししたもの）の導電率（σ＝1/ρ＝1/(1.724×10-8Ωｍ)＝0.58 ×108S/ⅿ)を100％として他の金属の導電率をパーセント表示する方法。,
36,工業分野で用いられている金属の導電率を表す単位として%IACS がある。この単位はどのような金属 を基準にして導電率を比較しているか。正しいものを一つ選び記号で答えよ。,冷間加工した純銅,焼鈍した純銅,冷間加工した黄銅,焼鈍した黄銅,,b,"52P 4.2 導電率の単位として%IACS（International Annealed Cupper Standard）が広く用いられている。これは 国際的に採択された焼鈍標準軟銅（20 ℃の抵抗率 1.724×10-8Ωｍ）の導電率を 100 %IACS とした導電 率を表したものである。正答は（ｂ）となる。 応用例として, 抵抗率 ρ（Ωm）が既知である金属の導 電率の値を，導電率 %IACS へ変換する場合は，次式で求められる。 (%𝐼𝐴𝐶𝑆) = 1.724 × 10−8 𝜌 × 100",
37,次の文は，強磁性体の性質または特性について述べたものである。正しいものを一つ選び，記号で答え なさい。,試験コイルに近づけると非磁性体の場合よりも磁束が少なくなる。,渦電流探傷試験において磁気特性の不均一のために雑音が発生する。,比透磁率は磁界の強さに関係なく常に１である。,透磁率は磁界の強きに比例する。,,b,（問題集に解説あり） 40P 3.3 a)強磁性体は透磁率が高く，試験コイルの磁界により磁束が多くなる。 b)○（3.3.4 項，磁気ノイズ参照） c)強磁性体の比透磁率は表3.3.1（44P）のように1 ではなく，かなり大き い。 d)右図は，磁界の強さH に対し，初磁化曲線の磁束密度B と透磁率μ を 示すものである。透磁率は磁界の強さに比例していない。,
38,次の金属材料について、透磁率が最も高いものはどれか。次の中から一つ選び、記号で答えなさい。,炭素鋼S45C（焼入れ）,純鉄,炭素鋼S15C（焼なまし）,炭素鋼S45C（焼なまし）,,b,"44P 表3.3.1 (a) 炭素鋼S45C 200 (b) 純鉄 6,000～8,000 (c) 炭素鋼S15C 2,000 (d) 炭素鋼S45C 1,000",
39,次の文は，上置コイルによる渦電流探傷試験において，リフトオフが大きくなった場合の現象につい て述べたものである。正しいものを一つ選び，記号で答えなさい。,試験コイルのインピーダンスが小さくなる。,試験体の内部におけるきずの検出感度が高くなる。,試験体表面のきずの検出感度が低くなる。,試験体の表面性状の変化に敏感となる。,,c,57P 4.3.3，66P 4.5.6，98P 6.4.4，70P 5.3，137P 7.4.4(4)， レベルⅢテキスト110P 7.3.1(1)によると，「リフトオフ変化に伴うインピーダンス変化は，試験コイ ルと試験体間の電磁気的な結合度の変化によるもので，貫通コイルや内挿コイルにおける充填率の変化 と同様な現象を示す。」とあり，これを頭に入れて，レベルⅡテキスト4.3.3 項の57P 左10 行目より， 「次に，結合係数k が1 より小さくなると，・・・・コイル1 の作る磁束が有効に伝わらず・・・・こ れは所謂(いわゆる)，感度の低い状態を示しているのである。」ということ。 設問は，電磁気的な結合度が小さくなるので(c）が正しい。,
40,渦電流の浸透深さに関する記述について、次の文の中から正しいものを一つ選べ。,渦電流の振幅が表面における値の約10％となる深さのことである。,渦電流の振幅が表面における値の約37％となる深さのことである。,渦電流の振幅が表面における値の約50％となる深さのことである。,渦電流の振幅が表面における値の約70％となる深さのことである。,,b,19P 2.4.4，52P 4.2.2 4.8 式 4.9 式 4.9 式のとおり。 Jn＝1/ｅ ＝1/2.71828 ≅0.367 ⇒37％,
41,次の文は、一定の大きさの交流を流した試験コイルによって試験体に誘導される渦電流について述べ たものである。正しいものを一つ選べ。,試験体表面における渦電流は、周波数が低いほど大きい。,試験体表面における渦電流は、導電率が低いほど大きい。,試験体表面における渦電流は、透磁率が低いほど大きい。,試験体表面における渦電流は、試験体の抵抗率が低いほど大きい。,,d,（新問題集に解説あり） 52P 4.2 図4.2.1 4.8 式 テキストの解説では，図4.2.1 も4.8 式も正規化していて渦電流の表面強度を1 にして扱っているの で，試験体表面の渦電流の絶対的強度を比較できる解説はない。ただ，4.8 式の表皮深さδの式におい てδが浅い場合はδが深い場合と比較して渦電流（密度）が表面に集中しているものと想像できる。 4.8 式からδが浅くなるための条件として，分母にある周波数f，導電率σ，透磁率μが大きいことが あげられる。d)は抵抗率が低い→導電率が大きいので正解である。 補＞新問題集解説に，表面の渦電流の大きさを𝐽0 = √𝜔𝜇𝜎∙𝐻0𝑍 としている。すなわち，周波数が高い， 導体の透磁率，導電率が高いほど大きい。また，作用する磁界の強さに比例する。,
42,次の文は、試験プローブによって試験体に誘導される渦電流について述べたものである。正しいもの を一つ選べ。,試験体の抵抗率が低いほど、試験体表面の渦電流密度は低い。,周波数が高いほど、試験体表面の渦電流密度は高い。,試験体の導電率が高いほど、試験体表面の渦電流密度は低い。,試験体の透磁率が低いほど、表面の渦電流密度は高い。,,b,52P 4.2 (a)と(c)は抵抗率＝1/導電率なので，同じ意味の記述。 式4.8 から，周波数，透磁率，導電率が大きくなると渦電流が表面に集中するので表面の電流密度が大 きくなる。(b)が正しい。 注＞テキストの解説では，図4.2.1 も4.8 式も正規化していて渦電流の表面強度を1 にして扱っている ので，試験体表面の渦電流の絶対的強度を比較できる解説はない。ただ，4.8 式の表皮深さδの式にお いてδが浅い場合はδが深い場合と比較して渦電流が表面に集中しているものと想像できる。 4.8 式からδ が浅くなるための条件として，分母にある周波数f，導電率σ，透磁率μが大きいことが あげられる。,
43,次の文は導体に誘導された渦電流の位相について述べたものである。正しいを一つ選びなさい。,導体の表面から内部に進むにしたがって、渦電流の位相は進む。,表皮深さδの位置で位相の遅れは、１rad（約57.3 度）となる。,同じ深さで比較すると，導電率が低い材料ほど位相の遅れは大きくなる。,同じ深さで比較すると，試験周波数が高くなるほど位相の遅れは小さくなる。,,b,23P 2.5.5 2.50 式，52P 4.2.2 4.8 式 図4.2.1 図4.2.2 (a）図4.2.2 より，位相は遅れる。☓ (b）2.50 式のx をδと置くとθ＝1（red）。○ (c）4.8 式より，導電率σが低いとδは深い。⇒位相の遅れは小さい。☓ (d）4.8 式より，周波数が高いとδは浅い。⇒位相の遅れは大きい。☓,
44,次の文は渦電流について述べたものである。正しいものを選べ。,表面から内部に入るにしたがって渦電流密度は高くなる。,渦電流密度は表皮深さδまで一定であり、それ以上の深さで減衰する。,渦電流密度は表皮深さδにおいて表面の値の１/ｅ（約37％）となる。,磁性体における渦電流は、内部に入るほど増加する。,,c,19P 2.4.4，52P 4.2.2 4.8 式 4.9 式 Jn＝1/ｅ ＝1/2.71828 ≅0.367 ⇒37％,
45,次の文は、貫通プローブによって管に誘導される渦電流について述べたものである。 正しいものを一つ選べ。,渦電流は管の軸方向に誘導される。,渦電流は管の半径方向に誘導される。,渦電流は管の円周方向に誘導される。,渦電流は管の外面から内面に向かって誘導される。,,c,51P 図4.1.6 の通り,
