"id","question","choice_a","choice_b","choice_c","choice_d","answer","explanation"
"21","炭素鋼の疲労限と引張強さの関係として、一般的なものはどれか。","引張強さの約1/10","引張強さの約1/2","引張強さの約2倍","引張強さと同等","b","炭素鋼の疲労限は引張強さの約1/2である。"
"22","疲労限を示す材料として、正しいものはどれか。","銅合金","マグネシウム合金","鉄鋼やチタン合金","アルミニウム合金","c","疲労限（疲れ限度）を示す材料は鉄鋼やチタン合金に限られる。ほとんどの非鉄合金には疲労限はなく、特定の繰返し数での応力振幅値をもって疲労強さ（時間強さ）を求めている。"
"23","S-N曲線に関する記述のうち、正しいものはどれか。","横軸に応力振幅値、縦軸に繰返し数をとる","破断までの繰返し数は応力振幅値に反比例する","応力振幅値が小さいほど破断までの繰返し数は減少する","横軸は繰返し数の対数で表され、反比例の関係にはない","d","S-N曲線は縦軸に応力振幅値、横軸に破断までの応力サイクルの回数を対数で表示した曲線であり、繰返し数Nに反比例しているわけではない。"
"24","高サイクル疲労と低サイクル疲労を区分するおおよその繰返し数はどれか。","10の2乗～10の3乗回","10の4乗～10の5乗回","10の7乗～10の8乗回","10の10乗回以上","b","10の4乗～10の5乗を境に、これ以下の場合を低サイクル疲労といい、それ以上の場合を高サイクル疲労という。"
"25","疲労き裂が発生しやすい位置として、正しいものはどれか。","結晶粒の中心","板厚中央部","材料の内部","材料の表面","d","疲労き裂は材料の表面から発生することが多い。曲げ応力などを考えても表面の応力振幅値が一番大きくなる。"
"26","クリープの説明として、正しいものはどれか。","繰返し荷重によって生じる損傷","衝撃荷重によって生じる破壊","腐食環境で生じる割れ","一定負荷応力のもとで、時間の経過と共に生じる変形","d","一定負荷応力のもとで時間の経過と共に生じる変形をクリープといい、特に高温において顕著に起こる。"
"27","クリープの進展の第2期に関する記述として、正しいものはどれか。","クリープ速度が徐々に低下する","クリープ速度がほぼ一定である","クリープひずみが生じない","クリープ速度が急激に増大する","b","クリープは3期に分かれて進展し、第1期は進展速度が緩やかになっていき、第2期でほぼ一定のクリープ速度となり、第3期において急激にクリープ速度が増大する。"
"28","クリープ破壊の破面に関する記述のうち、正しいものはどれか。","ディンプル模様が観察される","リバーパターンが観察される","ストライエーションが観察される","粒界破壊が観察される","d","高温クリープでの破壊は粒界における空孔の核生成、成長、合体及び最終破断の一連の過程によって起こる。したがって、その破面を観察すると粒界破壊が観察される。"
"29","クリープ特性と結晶粒の大きさの関係として、正しいものはどれか。","結晶粒の大きさは無関係である","結晶粒界が多いほど良好である","結晶粒が大きい方がクリープ特性は良好である","結晶粒が微細なほどクリープ特性は良好である","c","クリープは結晶粒界にボイドの発生を伴うため、粒界の面積が小さくなる大きな結晶粒の方がクリープ特性は良好である。タービンブレードなどでは単結晶が用いられることもある。"
"30","クリープが顕著になる温度として、正しいものはどれか。","材料の融点を絶対温度で表した時の約40％以上","材料の融点を絶対温度で表した時の約20％以上","材料の融点を絶対温度で表した時の約80％以上","常温以上","a","クリープは、材料の融点を絶対温度で表した時の約40％以上の温度で顕著になる。"
"31","クリープ損傷の評価に用いられる方法として、正しいものはどれか。","塩水噴霧試験","シャルピー衝撃試験","レプリカ法による金属組織の顕微鏡観察","硬さ試験のみ","c","クリープが結晶粒界にボイドの発生を伴うことから、レプリカ法で金属組織を顕微鏡観察することで評価する方法が行われてきている。"
"32","応力腐食割れ（SCC）が発生する要因の組合せとして、正しいものはどれか。","材料と環境の組合せと、そこに加わる引張応力","繰返し応力と高温","材料と温度と圧縮応力","水素と硬化組織と拘束応力","a","応力腐食割れ（SCC）は、材料と環境の組合せと、そこに加わる引張応力との相互作用によって発生する。"
"33","応力腐食割れの伝播経路に関する記述のうち、正しいものはどれか。","必ず粒内を伝播する","必ず粒界を伝播する","伝播せず一点にとどまる","粒界を伝播するものと粒内を伝播するものがある","d","割れは粒界を伝播するものや粒内を伝播するものがあり、それぞれ粒界型応力腐食割れ、粒内型応力腐食割れと呼ばれている。"
"34","応力腐食割れの防止対策として、正しいものはどれか。","環境の湿度を上げる","溶接入熱を大きくする","表面に引張の残留応力を付加する","ショットピーニングなどで表面に圧縮の残留応力を付加する","d","応力腐食割れの防止には、材料、環境、応力のいずれかを改善する。表面に圧縮の残留応力を付加して防止を図ることもあり、ショットピーニングによる圧縮残留応力の付加などが行われる。"
"35","フラクトグラフィーの説明として、正しいものはどれか。","材料の内部組織を観察する手法","硬さ分布を測定する手法","残留応力を測定する手法","破損した物体の破面を観察し、破壊原因や破壊の機構の情報を得る解析手法","d","フラクトグラフィーとは、破損した物体の破面を観察し、破壊原因や破壊の機構の情報を得る解析、手法のことである。"
"36","応力拡大係数Kを用いる理由として、正しいものはどれか。","き裂先端では応力集中係数が無限大となって現実と矛盾するため","塑性変形が大きいため","応力集中係数が計算できないため","残留応力を無視できないため","a","き裂は先端が閉じていて曲率が限りなく小さいものと定義され、この場合の応力集中係数は無限大となって現実と矛盾する。このため、き裂先端近傍の応力分布とその大きさを表すために応力拡大係数Kが用いられる。"
"37","3つの破壊モードのうち、応力拡大係数が最も大きくなるものはどれか。","面内せん断形のモードII","開口形のモードI","面外せん断形のモードIII","三者とも同じ","b","応力拡大係数はき裂の方向と力のかかわり方の組合せで3つの破壊モードに分類されるが、この中で開口形のモードIのKIが最も大きくなる。"
"38","破壊靱性値KICに関する記述のうち、正しいものはどれか。","KI値がKICに達した場合にき裂が進展すると判断する","KICは応力集中係数の一種である","KICは板厚に全く依存しない","KI値がKICに達した場合に降伏すると判断する","a","線形破壊力学で求めたKI値が破壊靱性値KICに達した場合に破壊が進展すると判断する。"
"39","平面ひずみ破壊靱性の説明として、正しいものはどれか。","板厚が十分に厚くなったときに破壊靱性値がとる下限値","板厚が薄いときの破壊靱性値の上限値","降伏点で定義される破壊靱性値","温度に依存しない破壊靱性値","a","破壊靱性値はき裂の前縁部の変形拘束に依存するため試験片の厚みにも依存する。板厚が十分に厚くなると下限値をとるようになり、これを平面ひずみ破壊靱性と呼んでいる。"
"40","降伏比に関する記述のうち、正しいものはどれか。","降伏点を引張強さで割った値で、高くなるとぜい性破壊が危惧される","伸びを絞りで割った値である","引張強さを降伏点で割った値で、高いほど安全である","降伏点を安全率で割った値である","a","降伏比は引張強さに対する降伏点又は耐力の比率であり、降伏点が高くなると降伏比も上昇し、ぜい性破壊が危惧される。"
"41","原子力の設計における許容応力の規定として、正しいものはどれか。","引張強さそのもの","引張強さの1/3又は降伏強さ（0.2％耐力）の2/3のうちの小さい値","降伏強さそのもの","引張強さの2/3又は降伏強さの1/3のうちの大きい値","b","原子力の設計においては、引張強さの1/3又は降伏強さ（又は0.2％耐力）の2/3のうちの小さい値を許容応力とするように規定されている。"
"42","水圧鉄管の設計に用いられる安全率として、正しいものはどれか。","1.2","1.8","3.0","5.0","b","水圧鉄管の設計では安全率を1.8とした設計が行われる。"
