id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
13,次の文は，界面化学に関する基礎理論について述べたものである。正しいものを選べ。,気／液，液／固のように一方が液相である界面を表面と呼ぶ。,液体の表面積を最小にしようとする力は表面張力である。,液体の表面張力は表面を形成している分子の熱エネルギーによるものである。,表面張力とは，液体が固体に付着したときに起きる現象をいう。,,b,表面：一方が気相である場合で，気/液（水面＝表面），気/固（試験体 表面など）の界面である。 液体の表面張力とは，表面を形成している自由エネルギーによるも の。また，気体中でも起きる。,
14,次の文は，界面現象について述べたものである。正しいものを選べ。,"界面とは気相, 液相, 固相のうちの2 相が接触している境界面のことを言い, 6 種類存在する。","一般に物質は気相, 液相及び固相の3 組のうち,いずれかの相を呈している。",一方が固相である界面を表面と呼んでいる。,表面張力は表面を形成している原子の運動エネルギーによって生ずる。,,b,"界面は液/液, 気/液, 気/固, 固/液, 固/固の5 種類である。また, 一方が 気相である界面を表面という。表面張力は分子の自由エネルギーによ るものである。",
15,次の文は，浸透液のぬれについて述べたものである。正しいものを選べ。,接触角が90°より大きい場合には，液体が固体表面をぬらすという。,浸透液のぬれは，固/気界面が固/液界面に置き換わることである。,固/液界面に置き換わることは，固体の表面張力が液体の表面張力より小さいことである。,ぬれの程度は液体の表面張力によって決まり，固体の表面張力の影響を受けることはない。,ぬれの程度は液体の種類と固体の種類によって決まり，固体の表面粗さとは関係ない。,b,液体が固体表面をぬらすのは接触角が90°より小さい場合である。 “ぬれ”は固体/気体から固体/液体への置換現象である。 液体が持つ表面張力より固体の表面張力が強いと固体表面の気体に 液体がとって代わる。 “ぬれ”は表面粗さによっても変わる。,
16,物質はおかれている環境の温度，圧力等で気相，液相，固相の何れかの相を呈している。次の界 面のうち表面と呼ばれるものはどれか。正しいものを選べ。,気相／気相の境界を表面と呼ぶ。,液相／固相の境界を表面と呼ぶ。,固相／固相の境界を表面と呼ぶ。,気相／液相の境界を表面と呼ぶ。,,d,一方が気相である場合（気/液，気/固界面）を表面と言う。 ただし，気/気界面は存在しない。,
17,次のうち，ぬれの現象について正しいものを選べ。,気/固界面を液/固界面に置き換える現象,液/固界面を気/固界面に置き換える現象,液/固界面を固/固界面に置き換える現象,気/固界面を固/固界面に置き換える現象,,a,固体表面の気体（空気）を液体（浸透液）に置き換える現象,
18,次の文は，浸透液の粘性と浸透現象の関係を述べたものである。正しいものを選べ。,粘性が大きくなるときずの中へ浸透する浸透速度は速くなる。,粘性が大きくなるときずの中へ浸透する浸透時間は短くなる。,粘性が小さくなるときずの中へ浸透する浸透速度は遅くなる。,粘性が小さくなるときずの中へ浸透する浸透速度は速くなる。,粘性が小さくなってもきずの中へ浸透する浸透速度・浸透時間は変わらない。,d,浸透液の粘性が小さいと浸透速度は速くなる。したがって浸透時間 は短くなる。逆に温度が低下して粘性が大きくなると，浸透速度は 遅くなる。,
19,次の文は，乳化現象について述べたものである。正しいものを選べ。,界面化学で言う乳化現象とは，2 つの性質の異なる液体が溶け合った現象をいう。,一般に言われている乳化現象とは，互いに溶け合う性質のない液体が溶け合わずに2 つに分離 している状態をいう。,乳化現象とは，例えば互いに溶け合う性質のない2 つの液体のうち，一方の液体が微粒子とな って他の液体の中に分散することをいう。,浸透探傷試験における乳化現象とは，例えば浸透液と油ベース乳化剤のように異なった種類の 液同士が混じり合っている状態をいう。,,c,乳化現象は，互いに溶け合わない性質の液体のうち，一方の液体が他 方の液体中で微粒子状に分散している状態をいう（分散とは，混じり 合っていると言うことではない）。 浸透処理工程中で，乳化現象は洗浄処理のときに起こっている。,
20,次の文は，界面について述べたものである。正しいものを選べ。,全ての物質は気体，液体，固体の何れかの相に属し，それぞれの状態を気相，液相，固相と呼 ぶ。,各々の相の境界を界面と言い，例えば，気相と液相の境界を気／液界面という。しかし，同じ 相の境界には界面を生じないため，気／気界面，液／液界面，固／固界面は存在しない。,界面のうち，気／液，液／固界面のように，一方が液相である界面を表面と呼ぶ。,液体の表面には常に表面積を最小にしようとする力が働いている。この力を自由エネルギーと いい，単位はＮ／ｍが用いられる。,,a,液/液界面，固/固界面は存在する。 （気体界面での散乱が速いため界面は存在しない） 液/液界面の例として，水と油が二層に分かれる。 固/固界面の例として，クラッド鋼などがある。,
21,次の文は，油ベース乳化剤を使った乳化処理並びに乳化現象について述べたものである。正しい ものを選べ。,乳化時間は，試験体表面の粗さ，検出すべききずの種類と大きさ，乳化剤の種類等によって決 定する。,乳化処理とは，余剰浸透液に乳化剤を適用し，洗浄処理前にあらかじめ乳化現象を起こさせて おく処理をいう。,乳化処理は，後乳化性浸透液及び水洗性浸透液に適用するもので，これにより水による洗浄処 理が可能となる。,乳化現象は，乳化処理及び洗浄処理において起こるものである。,,a,乳化剤の適用に関しては，油ベースと水ベースでは基本的に異なる異 なることを理解しておくこと。 水洗性浸透液には，乳化処理を適用しない。,
22,目の構造のうち，カメラのフィルムに相当するものは次のうちどれか。正しいものを選べ。,角膜,結膜,水晶体,網膜,脈絡膜,d,視知覚に関係する要素として網膜はとくに重要で，虹彩，水晶体，硝 子体を通した光を受けて，カメラのフィルムのように生体内にその情 報を取り込む役目を持つ。,
23,次の文は，目の構造，機能について述べたものである。正しいものを選べ。,杆体は網膜の中心部分に集中しており，解像力の優れた明瞭な色の像を見るのに働く。,錐体は網膜の中心部以外の全体に分布しており，ものの明暗を知覚するのに働く。,明るい所でものをみる場合を明所視といい，暗い所で物をみる場合を暗所視という。,明るい所から暗い所に入った場合は明順応，暗い所から明るい所に入った場合は暗順応という 現象が起こる。,灰色に近いほど彩度は高い。,c,明るい所から暗い所に入った場合は暗順応，暗い所から明るい所に 入った場合は明順応という。 巻末の【参考資料】参照,
24,次の文は，紫外線や蛍光について述べたものである。正しいものを選べ。,蛍光とは，物質に波長の長い光を当てたとき，その物質から当たった光より短い波長の光を発 する現象を言う。,蛍光物質に紫色の光を当てると黄緑色の光を発する。,蛍光浸透探傷試験で使用されるブラックライトからは315～400nm の紫外線が放射されている。,黄緑色の光の波長は600～650nm である。,,c,蛍光とは，物質に波長の短い光を当てた時，光が当たっている間だけ その物質から当たった光より長い波長の光を発する現象。 波長が 315～400nm の紫外線を当てると波長が 500～550nm 付近の黄 緑色の蛍光を発する。,
25,次の文は，前処理剤について述べたものである。正しいものを選べ。,水に溶けるものに対して水は前処理剤として使用できる。,界面活性剤を添加した水は前処理剤としては不適切である。,揮発性の高い溶剤は前処理剤として使用できない。,グリースを除去するために有機溶剤を前処理剤として使用できない。,油脂類を溶解するために水を前処理剤として使用できる。,a,溶剤除去性浸透探傷試験の除去液に使用する有機溶剤は前処理剤と しても用いられ，揮発性が高い。,
26,次の文は，浸透液について述べたものである。正しいものを選べ。,溶剤除去性浸透液の成分は，基本的には後乳化性浸透液と同じであるため，乳化剤を用いて乳 化処理を行えば水洗浄は可能となる。,水洗性浸透液は乳化剤がはじめから添加されているため，水分が混入しても性能の低下はな い。,後乳化性浸透液に水分が混入すると著しく性能が低下する。,後乳化性浸透液は有機溶剤に溶けないため溶剤除去性浸透液の代用としては使用できない。,一般に溶剤除去性浸透液に水分が混入するとゲル化して液の流動性が悪くなるため，浸透液と して使用できなくなる。,a,溶剤除去性浸透液も後乳化性浸透液も油性であるので，乳化処理を行 えば水洗可能になる。これら油性の浸透液は水分が多少混入しても， 水分は上澄み液となって二層に分かれるので，著しい性能の低下は起 こらない。,
27,次の文は，浸透液について述べたものである。正しいものを選べ。,浸透液は鉱物油で作られているので，温度が低くなるほど粘性は低くなる。,浸透液に要求される性質としては，引火点が低い方がよい。,浸透液に含まれている溶剤は，浸透性との関係はない。,水洗性浸透液で最も多量に含まれている成分は，水である。,蛍光浸透液に黄緑色に蛍光を発する染料を用いるのは，黄緑色の視感度が高いからである。,e,浸透液は鉱物油で作られているので，温度が低くなるほど粘性は高く なる。 浸透液に要求される性質としては，引火点が高い方がよい。 浸透液に含まれている溶剤は，浸透性との関係がある。 水洗性浸透液の主成分は溶剤で，水洗浄を可能にするため界面活性剤 （乳化剤）が添加されている。,
28,次の文は，浸透液の粘性について述べたものである。正しいものを選べ。,浸透液の粘性が低くなると，きずの中へ浸透するのに時間がかかる。,浸透液の粘性が高くなると，きずの中へ浸透する時間は長くなる。,浸透液の粘性と浸透時間は無関係である。,浸透液の温度と粘性は無関係である。,,b,粘性が減少すれば液体の流動速度は速くなり，浸透時間は短くな る。,
29,次の文は，浸透液に要求される性質ついて述べたものである。正しいものを選べ。,洗浄性が良いこと。,毒性が少ないこと。,揮発性が高いこと。,染色浸透液は彩度があざやかで輝度が高いこと。,,b,浸透液に要求される一般的な性質は，浸透性が良い，蛍光輝度が高 いか赤の色相があざやかで明度が高い，洗浄性または除去性がよ い，中性で腐食性がない，引火点が高い，毒性が少ない，温度安定 性がよいことである。,
30,次は，製造時にのみ発生するきずの名称について述べたものである。正しいものを選べ。,ブローホール，引き割れ，ざくきず，湯回り不良，応力腐食割れ,疲労割れ，引き割れ，クレータ割れ，溶融不良，ホット・ティア,引け巣，白点，アンダーカット，ブローホール，砂かみ,非金属介在物，クリープ割れ，ラミネーション，白点，溶込不良,ブローホール，ピンホール，エロージョン，コロージョン，孔食,c,稼働中（保守検査時）のきずには，疲労割れ，応力腐食割れ，腐 食，熱疲労割れ，クリープ割れ，エロージョン，コロージョン，キ ャビテーション，引っかききず，などがある。 製造中のきずは，上記のきずを含んでいないものを選ぶとよい。 巻末の【参考資料】参照,
31,保守検査において検出されるきずで，その製品の使用開始後に発生するきずのみの組合せはどれ か。正しいものを選べ。,疲労割れ，ラミネーション，応力腐食割れ,ラミネーション，シーム，引っかききず,応力腐食割れ，疲労割れ，引っかききず,腐食，アンダーカット，疲労割れ,,c,巻末の【参考資料】参照,
32,次の文は，浸透探傷試験で検出可能なきずについて述べたものである。正しいものを選べ。,すべての材料の表面に開口しているきずであれば必ず検出できる。,材料のうち，金属であれば表面に開口しているきずは必ず検出できるが，非金属材料の場合に は検出できない。,すべての材料の表面に開口しているきずであっても検出できない場合もある。,材料のうち，導電性の材料の表面開口きずは必ず検出できる。,,c,開口しているきずであっても，内部に異物があったり，幅が広く浅 いきずは検出できない場合がある。,
33,次の文は，用途によって使用する種々の浸透探傷剤について述べたものである｡正しいものを選 べ。,プラスチックに使用する浸透探傷剤は，追加要求としてプラスチックを溶解しない性質だけあ ればよい。,高温用浸透探傷剤の中には，300℃でも使用できるものがある。,素材用は，比較的大きなきずを対象にした浸透探傷剤である。,燃えないタイプのエアゾール製品は，不燃性の噴射ガスと不燃性の探傷剤で構成されており， 火気に対しては安全であり，環境に対しても問題がない。,,c,プラスチックに使用する浸透探傷剤は，プラスチックに対して変色， 変形，劣化などの影響を与えないことが要求される。 高温用探傷剤は，現状では250℃位までとされている。 素材用とは，鋼板製造におけるスラブなどを対象にしている。 燃えないタイプのエアゾール製品は，引火の危険性はないが，代替 フロンなどが使用されている場合があり，環境への配慮が必要とな る。,
34,次の文は，浸透探傷試験に使用される乾燥装置について述べたものである。正しいものを選べ。,乾燥器はできるだけ静かにゆっくりと乾燥させるのが良く，ファンなどで空気の流れを作るこ とはできるだけ避けた方が良い。,乾燥器を使用する本来の目的は，表面の水分の除去より，試験体の温度を上げることに重点が ある。,乾燥器内の温度は一定の方が良く，温度制御機能が必要である。,乾燥器は赤外線を使った輻射熱式方法が良い。,水分を蒸発させるためには温度設定は100℃以上に設定する。,c,浸透探傷試験に使用する乾燥機は熱風循環式のものがよい。水分を蒸 発させるための設定温度は70℃程度である。,
35,次の文は，ブラックライトについて述べたものである。正しいものを選べ。,照射される紫外線の波長域は500～550nm である。,照射される紫外線の強度は試験面で最低でも1000μW/cm2 必要である。,ブラックライトの水銀灯のスイッチはランプの寿命の点からこまめに切った方が良い。,ブラックライトは長時間利用していると次第に紫外線の強度が低下してくるが，これはフィル タが劣化してくるためである。,,b,"ブラックライトから照射される紫外線の波長域は315～400nm で,蛍光 物質に当てると500～550nm 付近の輝度の高い黄緑の蛍光を発する。 長時間点灯してもフィルターの紫外線透過率は殆ど低下しない。 ランプ点灯時間，スイッチ切入，フィルターやランプの汚れにより 紫外線の強度低下が起こる。",
36,次の文は，対比試験片について述べたものである。正しいものを選べ。,タイプ1 対比試験片は黄銅板にクロムめっきを施し，その上に保護膜として薄いニッケルめっ きを施してある｡,タイプ3 対比試験片はアルミニウム合金板を420～430℃に加熱した後，冷水により焼き割れを 発生させたものである｡,タイプ3 対比試験片の表面は極めて滑らかであり，実際の試験体表面はこれとはかけ離れたも のが多い。,タイプ3 対比試験片は割れの寸法を調整することは困難であるが，タイプ1 対比試験片はめっ き層の厚さを調整することによって，割れの深さを調整することができる｡,,d,タイプ1 対比試験片（めっき割れ）は，黄銅板にニッケルめっきを 施し，その上に保護膜として薄いクロムめっきを施している。 タイプ3 対比試験片（アルミ焼割れ）は，割れの深さを調整すること ができない｡割れを発生させる加熱温度は，520～530℃である。 巻末の【参考資料】参照,
37,次の文は，対比試験片の使用目的について不適切な内容を述べたものである。正しいものを選 べ。,自動化された浸透探傷試験のラインの各処理装置が正常に稼働しているかどうかのチェックに 使用できる。,対比試験片のきずが検出できれば，対比試験片に表示されているきずの幅と深さと同じきずが 実際の試験体にあればすべて検出されるのでその目的のために使用できる。,使用中の探傷剤の性能点検に使用される。,新しい探傷剤の選定時の性能確認に使用される。,探傷剤の購入時の性能確認に使用される。,b,対比試験片は，探傷剤の性能を比較するためと，連続して使用して いる探傷剤の性能が低下していないことを点検するために用いられ る。,
38,次の文は，対比試験片について述べたものである。正しいものを選べ。,浸透時間を求めるために用いられる。,連続して使用している探傷剤の性能が低下していないことを点検するために用いられる。,めっき割れ試験片で検出したきずの深さは試験体でのきずの深さの保証値である。,アルミ焼割れ試験片は繰返しの使用によっても，試験片の性能劣化が起こりにくい。,めっき割れ試験片は使い捨てである。,b,対比試験片は，探傷剤の性能を比較するためと，連続して使用して いる探傷剤の性能が低下していないことを点検するために用いられ る。,
39,次のうち，浸透探傷試験を行う前に把握しておく試験体の確認事項はどれか。正しいものを選べ。,試験の対象となる試験体の材料や寸法，形状，表面状態及び使用条件の情報,試験の対象となる試験体の材料や形状，表面及び内部きずの情報,試験の対象となる試験体の形状と表面状態のみの情報,試験の対象となる試験体の材料と大きさ，表面状態及び内部きずの情報,,a,適確な浸透探傷試験を行い信頼度の高い評価をするためには，試験 の対象となる試験体の材料や寸法，形状，表面状態によって適切な 試験方法が選択され，適切な手順で試験が適確に行わなければなら ない。,
40,次のうち，主として発注者が発行する文書はどれか。正しいものを選べ。,手順書と要領書,手順書と指示書,指示書,仕様書,要領書,d,仕様書：顧客が組織に要求内容を提示する文書。仕様書には適合すべ き法規，規格，作業の方法，手段が記述されている。 手順書（要領書）：仕様書の要求事項を確認するための文書。目的を達 成するための順序を一々名前を挙げて詳細に記した文書で，使用すべ き方法，装置，材料，作業の順序，判定基準及び試験記録について記 述されている。レベル3 の技術者が作成する。 指示書：非破壊検査技術者が間違いなく探傷できるようにするた め，NDT 手順書で記述されていないような部分で重要，詳細な探傷 方法等を確実に行えるよう順を追って具体的に記述されたものであ る。レベル2 以上の技術者が作成する。,
41,次のうち，誰がやっても同じ結果が得られるように具体的に分かりやすく作業の内容を示した り，作業手順に従って，順を追って作業を進める際の注意事項を示したりする文書はどれか。正し いものを選べ。,指示書,手順書,要領書,仕様書,,a,仕様書：顧客が組織に要求内容を提示する文書。仕様書には適合すべ き法規，規格，作業の方法，手段が記述されている。 手順書（要領書）：仕様書の要求事項を確認するための文書。目的を達 成するための順序を一々名前を挙げて詳細に記した文書で，使用すべ き方法，装置，材料，作業の順序，判定基準及び試験記録について記 述されている。レベル3 の技術者が作成する。 指示書：非破壊検査技術者が間違いなく探傷できるようにするため， NDT 手順書で記述されていないような部分で重要，詳細な探傷方法等 を確実に行えるよう順を追って具体的に記述されたものである。レベ ル2 以上の技術者が作成する。,
42,次の文は，試験方法の選択について述べたものである。正しいものを選べ。,試験体の使用目的，使用条件及び機器構造物の安全上の重要度等から，検出すべききずの種類 と大きさを決定し，それに適した試験方法を選択しなければならない。,試験方法を選択する場合には，コストを最優先にしなければならない。,環境条件の整備，作業性，経済性を無視してでも，最も検出精度のよい試験方法を選択すべき である。,試験方法を選択する場合には，試験体の重要性は考慮する必要があるが，材質や処理数量等は 考慮する必要がない。,,a,試験方法の選択には，環境条件の整備，作業性，経済性も十分に考慮 する必要がある。,
43,次は，どの浸透探傷試験方法を選択するか決める場合に考慮する項目を示したものである。正し いものを選べ。,試験体の温度,試験体内部のきずの有無,試験体の表面粗さ,試験体の材質,,c,浸透探傷試験の選択は，あらゆる角度から見て優劣を総合的に評価 して決める。 試験体の重要性・材質と大きさ・処理数量・試験面の粗さ・予測さ れるきずの種類と大きさ・試験環境（屋内外，換気，大気の有無）・ 電源や水道の有無・探傷剤の性能・作業性・経済性など。 選択肢の中で最も影響度の高いのは，表面粗さである。,
45,次に示す浸透探傷試験の基本的選択として正しいものを選べ。,きずの検出性に着目した場合，幅が広く浅い割れの探傷に水洗性浸透探傷試験を選択した。,疲労割れ研磨割れなど幅が非常に狭い割れの探傷に水洗性染色浸透探傷試験を選択した。,試験体に着目した場合，小型量産部品及びネジや溝など鋭角な隅部の探傷に水洗性蛍光浸透探 傷試験を選択した。,試験体に着目した場合，粗い面の探傷に後乳化性浸透探傷試験を選択した。,,c,疲労割れ，研磨割れ等の幅が非常に狭い割れの探傷には，後乳化性 蛍光浸透探傷試験，溶剤除去性蛍光浸透探傷試験が適する。 巻末の【参考資料】参照,
46,次の文は，疲労割れを検出するために大型部品や構造物を部分的に探傷する場合に最も適切な探 傷方法示したものである。正しいものを選べ。,水洗性蛍光浸透探傷試験,後乳化性蛍光浸透探傷試験,溶剤除去性蛍光浸透探傷試験,水洗性染色浸透探傷試験,,c,疲労割れ→微細なきずの探傷なので蛍光浸透探傷を選択する。 大型部品や構造物を部分的に探傷する場合→携帯性に富んだ溶剤除 去性を選択する。 したがって，溶剤除去性蛍光浸透探傷試験を選択する。,
47,次の文は，浸透探傷試験の適用対象について述べたものである。正しいものを選べ。,構造物を全面探傷する場合は，溶剤除去性浸透探傷試験が適する。,試験場所を暗くすることが困難な場合は，蛍光浸透探傷試験が適する。,幅が広く浅い割れの検出には溶剤除去性蛍光浸透探傷試験が適する。,小型量産部品やねじ，キー溝などの鋭角な隅部の探傷には水洗性蛍光浸透探傷試験が適する。,,d,参考資料「浸透探傷試験の一般的な適用対象」参照,
48,次の探傷方法において，乾燥処理を必要としない試験方法はどれか。正しいものを選べ。,水洗性蛍光浸透探傷試験・・・・・乾式現像法,後乳化性蛍光浸透探傷試験・・・・乾式現像法,溶剤除去性蛍光浸透探傷試験・・・速乾式現像法,水洗性染色浸透探傷試験・・・・・速乾式現像法,,c,溶剤除去性蛍光浸透探傷試験・速乾式現像法は検査処理中に水を使用 しないため，乾燥処理は不要である。,
49,次の項目は，水洗性蛍光浸透探傷試験・速乾式現像法の操作手順を示したものである。正しいも の選べ。,前処理－浸透処理－洗浄処理－現像処理－乾燥処理－観察－後処理,前処理－浸透処理－除去処理－現像処理－乾燥処理－観察－後処理,前処理－浸透処理－乳化処理－洗浄処理－加熱処理－観察－後処理,前処理－浸透処理－洗浄処理－乾燥処理－現像処理－観察－後処理,,d,水洗性は水による洗浄処理のため試験体表面が濡れているので，洗浄 処理後に試験体表面を乾燥させてから速乾式現像剤を適用する。 （速乾式現像剤は試験面が乾燥している状態で適用する）,
50,次の項目は，各浸透探傷試験の操作手順を示したものである。正しいものを選べ。,水洗性蛍光浸透探傷試験・乾式現像法 前処理－浸透処理－洗浄処理－現像処理－観察－後処理,溶剤除去性蛍光浸透探傷試験・湿式現像法 前処理－浸透処理－除去処理－現像処理－乾燥処理－観察－後処理,後乳化性蛍光浸透探傷試験・速乾式現像法 前処理－浸透処理－乳化処理－洗浄処理－現像処理－観察－後処理,水洗性染色浸透探傷試験･速乾式現像法 前処理－浸透処理－洗浄処理－乾燥処理－現像処理－加熱処理－観察－後処理,,b,速乾式及び乾式現像法を適用する場合は試験面が乾燥していること が必要である。 湿式現像法は現像処理後に乾燥処理を行う。 加熱処理は無現像法を適用した場合。,
51,次の文は，後乳化性蛍光浸透探傷試験の適用対象について述べたものである｡正しい組合せを選 べ｡ ① 微細な割れ，幅が広く浅い割れに適用できる｡ ② 小型の量産部品，ねじやキー溝など鋭角な隅部をもつ試験体に適用できる｡ ③ 大型部品や構造物を部分的に探傷する場合に適用できる｡ ④ 疲労割れ，研磨割れなど幅が非常に狭い割れに適用できる｡ ⑤ 水道及び電気設備のない場合に適用できる｡,①と③,①と④,②と③,③と④,,b,巻末の【参考資料】参照,
52,次の文は，浸透探傷試験の操作手順を示したものである。水洗性蛍光浸透液・湿式現像剤を適用 する場合の操作手順について，正しいものを選べ。,前処理→浸透処理→洗浄処理→現像処理→乾燥処理→観察→後処理,前処理→浸透処理→洗浄処理→乾燥処理→現像処理→観察→後処理,前処理→浸透処理→洗浄処理→加熱乾燥処理→観察→後処理,前処理→浸透処理→乳化処理→洗浄処理→現像処理→乾燥処理→観察→後処理,,a,b）は乾式現像法，速乾式現像法の場合，c）は無現像法の場合， d）の乳化処理は後乳化性浸透液の場合,
53,次の文は，前処理について述べたものである。正しいものを選べ。,高粘度のグリースの汚れは，グラインダーによる除去が効果的である。,泥，粘土等の無機質の汚れには，有機溶剤を使用して溶解除去する方法が効果的である。,粘度の高い油脂類の汚れは少量の界面活性剤を加えた水を使用して洗浄する方法が効果的であ る。,化学的な処理方法として酸洗い，アルカリ洗浄などを行った場合は中和，水洗いを行う必要が ある。,,d,高粘度のグリース及び油脂類（重油など）は超音波洗浄，蒸気脱脂に よる前処理が必要である。 巻末の【参考資料】参照,
