id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
17,"次の文は，浸透液の粘性について述べたものである。正しいものを選べ。","浸透液の粘性係数が大きくなると，きずの中へ浸透する時間は長くなる。","浸透液は温度が低くなるほど粘性係数が減少する。","浸透液の粘性係数は，温度には無関係である。","浸透液の粘性係数は，浸透液の種類によってのみ決まる。","",a,"浸透液の温度が低くなる→粘性が増す（粘性係数が大きくなる）→浸透速度が小さくなる→浸透に要する時間が長くなる→浸透時間を長くする"
18,"次の文は，浸透液の粘性と浸透現象の関係を述べたものである。正しいものを選べ。","粘性が大きくなるときずの中へ浸透する浸透速度は速くなる。","粘性が大きくなるときずの中へ浸透する浸透時間は短くなる。","粘性が小さくなるときずの中へ浸透する浸透速度は遅くなる。","粘性が小さくなるときずの中へ浸透する浸透速度は速くなる。","粘性が小さくなってもきずの中へ浸透する浸透速度・浸透時間は変わらない。",d,"浸透液の粘性が小さいと浸透速度は速くなる。したがって浸透時間は短くなる。逆に温度が低下して粘性が大きくなると，浸透速度は遅くなる。"
19,"次の文は，界面について述べたものである。正しいものを選べ。","全ての物質は気体，液体，固体の何れかの相に属し，それぞれの状態を気相，液相，固相と呼ぶ。","各々の相の境界を界面と言い，例えば，気相と液相の境界を気／液界面という。しかし，同じ相の境界には界面を生じないため，気／気界面，液／液界面，固／固界面は存在しない。","界面のうち，気／液，液／固界面のように，一方が液相である界面を表面と呼ぶ。","液体の表面には常に表面積を最大にしようとする力が働いている。この力を自由エネルギーといい，単位はＮ／ｍが用いられる。","",a,"液/液界面，固/固界面は存在する。（気体界面での散乱が速いため界面は存在しない）液/液界面の例として，水と油が二層に分かれる。固/固界面の例として，クラッド鋼などがある。"
20,"次の文は，浸透液の粘性について述べたものである。正しいものを選べ。","浸透液の粘性が低くなると，きずの中へ浸透するのに時間がかかる。","浸透液の温度が高くなるほど，きずの中へ浸透する時間は長くなる。","浸透液の粘性は，温度には無関係である。","浸透液の粘性が高くなると，きずの中へ浸透する時間は長くなる。","",d,"浸透液の粘性が低くなる(温度が高くなる)→粘度が減少する→時間が早くなる。浸透液の粘性係数が大きくなる(温度が低くなる)→浸透速度が遅くなる。浸透液の粘性は温度に大きく関係する。"
21,"次の文は，油ベース乳化剤を使った乳化処理並びに乳化現象について述べたものである。正しいものを選べ。","乳化時間は，試験体表面の粗さ，検出すべききずの種類と大きさ，乳化剤の種類等によって決定する。","乳化処理とは，余剰浸透液に乳化剤を適用し，洗浄処理前にあらかじめ乳化現象を起こさせておく処理をいう。","乳化処理は，後乳化性浸透液及び水洗性浸透液に適用するもので，これにより水による洗浄処理が可能となる。","乳化現象は，乳化処理及び洗浄処理において起こるものである。","",a,"乳化剤の適用に関しては，油ベースと水ベースでは基本的に異なることを理解しておくこと。水洗性浸透液には，乳化処理を適用しない。"
22,"視知覚について述べたものである。正しいものを選べ。","きずを確認しやすいのは明るさよりも色である。","見分けやすい色の順序は白，黄，赤，緑。","見分けやすい色の順序は赤，緑，黄，白。","最も物の形を確認しやすい色の組合せは緑／青。","最も物の形を確認しやすい色の組合せは黄／赤。",c,"視認性で，見分けやすい色の順序は赤，緑，黄，白。判読性で，最も物の形を確認しやすい色の組合せは黒／黄。"
23,"次は，色の三属性について述べたものである。正しいものを選べ。","視認性，判読性，注目性","赤，緑，黄","色相，明度，彩度","白，赤，緑","",c,"a）は，指示模様を観察する場合の知覚の高低に係わる主な機能である。"
24,"注目性に優れている順に並べたものである。正しいものを選べ。","黄・赤・黄緑・赤橙","赤・赤橙・黄・黄緑","赤・黄緑・赤橙・黄","黄緑・赤橙・黄・赤","赤橙・黄・赤・黄緑",b,"高明度，高彩度の色とか刺激的な色は注目性に優れており，単色の色としての順を挙げれば，黄味がかった赤，赤橙，黄，黄緑である。因みに，色の組合せで最も優れているのは赤／黄である。"
25,"浸透探傷試験で使用するブラックライトの紫外線領域はどれか。正しいものを選べ。","A領域","B領域","C領域","D領域","",a,"356nmにピークのあるA領域紫外線（UV-A波：315～400nm）。UV-A (315-400 nm)，UV-B (280-315 nm) 及び UV-C (100-280 nm) の三つの領域に分かれる。紫外線は波長が短いほど人体に有害である。"
26,"次の文は，紫外線や蛍光について述べたものである。正しいものを選べ。","蛍光とは，物質に波長の長い光を当てたとき，その物質から当たった光より短い波長の光を発する現象を言う。","蛍光物質に紫色の光を当てると黄緑色の光を発する。","蛍光浸透探傷試験で使用されるブラックライトからは315～400nmの紫外線が放射されている。","黄緑色の光の波長は600～650nmである。","",c,"蛍光とは，物質に波長の短い光を当てた時，光が当たっている間だけその物質から当たった光より長い波長の光を発する現象。波長が315～400nmの紫外線を当てると波長が500～550nm付近の黄緑色の蛍光を発する。"
27,"次に示す探傷剤のうち，水の混入による影響が最も大きいものを一つ選べ。","湿式現像剤","乳化剤（水ベース）","後乳化性浸透液","乳化剤（油ベース）","",d,"油ベース乳化剤は界面活性剤が入っているため，水が混入するとゲル化が起こり性能の低下が著しくなる。したがって，水の混入による影響が最も大きくなる。"
28,"次の文は，前処理剤について述べたものである。正しいものを選べ。","水に溶けるものに対して水は前処理剤として使用できる。","界面活性剤を添加した水は前処理剤としては不適切である。","揮発性の高い溶剤は前処理剤として使用できない。","グリースを除去するために有機溶剤を前処理剤として使用できない。","油脂類を溶解するために水を前処理剤として使用できる。",a,"溶剤除去性浸透探傷試験の除去液に使用する有機溶剤は前処理剤としても用いられ，揮発性が高い。"
29,"次の文は，浸透液について述べたものである。正しいものを選べ。","溶剤除去性浸透液の成分は，基本的には後乳化性浸透液と同じであるため，乳化剤を用いて乳化処理を行えば水洗浄は可能となる。","水洗性浸透液は乳化剤がはじめから添加されているため，水分が混入しても性能の低下はない。","後乳化性浸透液に水分が混入すると著しく性能が低下する。","後乳化性浸透液は有機溶剤に溶けないため溶剤除去性浸透液の代用としては使用できない。","一般に溶剤除去性浸透液に水分が混入するとゲル化して液の流動性が悪くなるため，浸透液として使用できなくなる。",a,"溶剤除去性浸透液も後乳化性浸透液も油性であるので，乳化処理を行えば水洗可能になる。これら油性の浸透液は水分が多少混入しても，水分は上澄み液となって二層に分かれるので，著しい性能の低下は起こらない。"
30,"次の文は，乳化剤について述べたものである。正しいものを選べ。","乳化剤は，後乳化性浸透液を水洗浄できるようにする探傷剤である。","乳化剤のうち油ベース乳化剤は濃度が濃いため，水で希釈して使用する。","油ベース乳化剤の適用法は注ぎかけ法，浸漬法，はけ塗り法が主である。","乳化剤と浸透液は外観色では区別できない。","",a,"乳化剤の主成分は界面活性剤であり，浸透液と相溶性を持ち水洗を可能にする役割がある。"
31,"次の文は，水エアゾールについて述べたものである。正しいものを選べ。","水をベースにして作った浸透液，洗浄液及び現像剤をエアゾール缶に充填したものである。","浸透液だけ水をベースにして作り，エアゾール缶に充填したものである。","現像剤だけ水をベースにして作り，エアゾール缶に充填したものである。","余剰浸透液の除去に使われる水をエアゾール缶に充填したものである。","水蒸気の圧力で噴霧させるタイプのエアゾールである。",d,"ガス圧力で噴霧させるエアゾール缶で，水のみが充填されている。"
32,"次は，製造時にのみ発生するきずの名称について述べたものである。正しいものを選べ。","ブローホール，引き割れ，ざくきず，湯回り不良，応力腐食割れ","疲労割れ，引き割れ，クレータ割れ，溶融不良，ホット・ティア","引け巣，白点，アンダーカット，ブローホール，砂かみ","非金属介在物，クリープ割れ，ラミネーション，白点，溶込不良","ブローホール，ピンホール，エロージョン，コロージョン，孔食",c,"稼働中（保守検査時）のきずには，疲労割れ，応力腐食割れ，腐食，熱疲労割れ，クリープ割れ，エロージョン，コロージョン，キャビテーション，引っかききず，などがある。製造中のきずは，上記のきずを含んでいないものを選ぶとよい。"
33,"次の文は，現像装置について述べたものである。正しいものを選べ。","現像装置には大別すると乾式現像装置と湿式現像装置の2種類ある。","乾式現像装置ではスプレー法や浸漬法及び振り掛け法が適用できる。","湿式現像法はエアーフライング法と浸漬法及び注ぎかけ法で適用できる。","無現像法では現像のために必要とする装置は何もない。","",a,"現像処理装置を使う現像法は，乾式現像法と湿式現像法である。無現像法は熱風乾燥器を使用する。"
34,"次の文は，浸透探傷試験用装置について述べたものである。正しいものを選べ。","洗浄処理装置としてはトリクレン蒸気洗浄器がある。","乳化装置では，浸透液の適用に注ぎかけ装置や静電気塗布装置などを用いる場合もある。","洗浄装置では，水温と水圧が調整できる加温加圧装置が適する。","油ベース乳化剤の乳化槽には浸透液になじむように撹拌器を取り付けてある。","",c,"前処理装置としてはトリクレン蒸気洗浄器がある。浸透処理では浸透液の適用に注ぎかけ装置や静電気塗布装置などを用いる場合もある。油ベース乳化剤の乳化槽には浸透液の層を乱さないよう撹拌はせず静かに浸漬する。"
35,"次の文は，浸透探傷試験に使用される乾燥装置について述べたものである。正しいものを選べ。","乾燥器はできるだけ静かにゆっくりと乾燥させるのが良く，ファンなどで空気の流れを作ることはできるだけ避けた方が良い。","乾燥器を使用する本来の目的は，表面の水分の除去より，試験体の温度を上げることに重点がある。","乾燥器内の温度は一定の方が良く，温度制御機能が必要である。","乾燥器は赤外線を使った輻射熱式方法が良い。","水分を蒸発させるためには温度設定は100℃以上に設定する。",c,"浸透探傷試験に使用する乾燥機は熱風循環式のものがよい。水分を蒸発させるための設定温度は70℃程度である。"
36,"次の文は，乾燥方法について述べたものである。正しいものを選べ。","試験体を直接加熱する電熱器は温度が早く一定になり安価な乾燥器である。","赤外線乾燥器は低い温度で乾燥できる特徴がある。","ヘアードライヤーは現場で小物を乾燥させることができる。","試験体表面に付着した水分を加熱しないで乾燥するときずの検出ができない。","熱風循環式乾燥器は観察時に発生する水蒸気で試験体をぬらすことがある。",c,"湿式現像における乾燥処理は熱風で乾燥させるのが基本である。このため，熱風循環式乾燥器，ヘアードライヤ－などで乾燥させる。電熱器，赤外線ヒーターは局部過熱になるため使用しない。"
37,"次の文は，ブラックライトについて述べたものである。正しいものを選べ。","試験体とブラックライトの距離が近いほど，紫外線強度は弱くなる。","ブラックライトに使用されている高圧水銀灯は，緩慢ではあるが劣化していくので，定期的に紫外線強度を測定する必要がある。","LEDのブラックライトは，一般に高圧水銀灯，紫外線透過フィルタ及び安定器によって構成されている。","ブラックライトの紫外線強度は，紫外線強度計，照度計のどちらでも測定できる。","",b,"従来のブラックライト（紫外線照射装置）は，高圧水銀灯に紫外線透過フィルタを取り付けた紫外線照射灯と安定器によって構成されたものが一般的だったが，現在は高放射照度の紫外線照射装置としてメタルハライドランプまたは紫外線LEDを用いた小型軽量タイプも使用されている。"
38,"次の文は，紫外線の単位について述べたものである。正しいものを選べ。","nm（ナノメートル）は，10－６（10のマイナス6乗）mである。","nmは，光の波長の単位である。","μW/cm2は，蛍光指示模様の明るさの単位である。","試験面の紫外線放射照度は，1000W/m2以上である。","ブラックライトの強度を表す単位はμW/m2が用いられている。",b,"nmは光の波長の単位で，10－９ mである。W/m２及びμW/cm２は紫外線放射照度の単位で，蛍光指示模様の観察には試験面において10 W/m２（1000μW/cm２）以上が必要である。"
39,"次の文は，ブラックライトについて述べたものである。正しいものを選べ。","照射される紫外線の波長域は500～550nmである。","照射される紫外線の強度は試験面で最低でも1000μW/cm2必要である。","ブラックライトの水銀灯のスイッチはランプの寿命の点からこまめに切った方が良い。","ブラックライトは長時間利用していると次第に紫外線の強度が低下してくるが，これはフィルタが劣化してくるためである。","",b,"ブラックライトから照射される紫外線の波長域は315～400nmで,蛍光物質に当てると500～550nm付近の輝度の高い黄緑の蛍光を発する。長時間点灯してもフィルターの紫外線透過率は殆ど低下しない。ランプ点灯時間，スイッチ切入，フィルターやランプの汚れにより紫外線の強度低下が起こる。"
40,"次の文は，浸透探傷試験に用いられるブラックライトについて述べたものである。正しいものを選べ。","ブラックライトに使用されている水銀灯は，長時間連続で使用した場合，一定の使用時間を過ぎると急激に劣化していく。","ブラックライトは使用中に電源を切ると点灯するまでに1～2時間は必要である。","ブラックライトのフィルタは可視光線だけでなく，315nm以下の短い波長の紫外線も遮断する役割を持っている。","ブラックライトの強度は照度計で定期的に測定しなければならない。","ブラックライトの強度は，中心軸から30度くらいそれたところが常に最も強い。",c,"ブラックライトに使用されている水銀灯は，使用時間と共に徐々に劣化していく。ブラックライトは使用中に電源を切ると点灯するまでに5～6分は必要である。ブラックライトの強度は紫外線強度計で定期的に測定しなければならない。ブラックライトの強度は，中心軸が最も強い。"
41,"次の文は，対比試験片について述べたものである。正しいものを選べ。","タイプ1対比試験片は黄銅板にクロムめっきを施し，その上に保護膜として薄いニッケルめっきを施してある｡","タイプ3対比試験片はアルミニウム合金板を420～430℃に加熱した後，冷水により焼き割れを発生させたものである｡","タイプ3対比試験片の表面は極めて滑らかであり，実際の試験体表面はこれとはかけ離れたものが多い。","タイプ3対比試験片は割れの寸法を調整することは困難であるが，タイプ1対比試験片はめっき層の厚さを調整することによって，割れの深さを調整することができる｡","",d,"タイプ1対比試験片（めっき割れ）は，黄銅板にニッケルめっきを施し，その上に保護膜として薄いクロムめっきを施している。タイプ3対比試験片（アルミ焼割れ）は，割れの深さを調整することができない｡割れを発生させる加熱温度は，520～530℃である。"
42,"次の文は，対比試験片の内容で不適切なことについて述べたものである。正しいものを選べ。","対比試験片の使用目的には探傷剤の性能比較が挙げられる。","対比試験片を使用すれば試験条件を決定することができる。","対比試験片にはアルミ焼割れ試験片やメッキ割れ試験片がある。","アルミ焼割れ試験片にはアルミニウム合金板が使用されている。","めっき割れ試験片は黄銅板上にニッケルメッキとクロムメッキが施されたものが使用されている。",b,"対比試験片と実際の試験体では，材質，試験面の状態，割れの形状や大きさが異なるので，対比試験片の条件が試験体の条件には合致しない。"
43,"次の文は，アルミ焼割れ試験片について述べたものである。正しいもの選べ。","アルミニウム合金の表面にめっき割れを発生させたものである。","試験片の作製が難しい。","一定の深さの割れを再現性よく作ることができる。","使用を繰返すうちに，割れの破面の酸化等により探傷結果の再現性が悪くなる。","割れの形状が自然の割れに近いが，種々の大きさの割れが存在しない。",d,"アルミ焼割れ試験片はアルミニウム合金を加熱・急冷して表面に焼き割れを発生させたもので，作製は比較的容易，割れの幅や深さはばらばらである。"
44,"次の文は，アルミ焼割れ試験片について述べたものである。誤っているものを選べ。","試験片が容易に製作できる。","割れの形状が自然きずに近い。","アルミニウム合金である。","割れの深さがほとんど一定である。","きずは焼割れである。",d,"アルミ焼割れ試験片はアルミニウム合金を加熱・急冷して表面に焼き割れを発生させたもので，作製は比較的容易，割れの幅や深さはばらばらである。"
45,"次の文は，対比試験片の使用目的について不適切な内容を述べたものである。正しいものを選べ。","自動化された浸透探傷試験のラインの各処理装置が正常に稼働しているかどうかのチェックに使用できる。","対比試験片のきずが検出できれば，対比試験片に表示されているきずの幅と深さと同じきずが実際の試験体にあればすべて検出されるのでその目的のために使用できる。","使用中の探傷剤の性能点検に使用される。","新しい探傷剤の選定時の性能確認に使用される。","探傷剤の購入時の性能確認に使用される。",b,"対比試験片は，探傷剤の性能を比較するためと，連続して使用している探傷剤の性能が低下していないことを点検するために用いられる。"
46,"次の文は，対比試験片について述べたものである。正しいものを選べ。","浸透時間を求めるために用いられる。","連続して使用している探傷剤の性能が低下していないことを点検するために用いられる。","めっき割れ試験片で検出したきずの深さは試験体でのきずの深さの保証値である。","アルミ焼割れ試験片は繰返しの使用によっても，試験片の性能劣化が起こりにくい。","めっき割れ試験片は使い捨てである。",b,"対比試験片は，探傷剤の性能を比較するためと，連続して使用している探傷剤の性能が低下していないことを点検するために用いられる。"
47,"次の文は，タイプ3対比試験片について述べたものである。正しいものを選べ。","加熱急冷を利用するので，割れの寸法を調整することは容易である。","試験片の製作が比較的難しい。","試験片の割れの形状が自然の割れに近い。","繰返しの使用によっても，試験片の性能劣化が起こりにくい。","",c,"割れ寸法の調整が難しい。試験片の製作が簡単である。繰返しの使用で性能が劣化する。"
48,"次のうち，浸透探傷試験を行う前に把握しておく試験体の確認事項はどれか。正しいものを選べ。","試験の対象となる試験体の材料や寸法，形状，表面状態及び使用条件の情報","試験の対象となる試験体の材料や形状，表面及び内部きずの情報","試験の対象となる試験体の形状と表面状態のみの情報","試験の対象となる試験体の材料と大きさ，表面状態及び内部きずの情報","",a,"適確な浸透探傷試験を行い信頼度の高い評価をするためには，試験の対象となる試験体の材料や寸法，形状，表面状態によって適切な試験方法が選択され，適切な手順で試験が適確に行わなければならない。"
49,"次のうち，主として発注者が発行する文書はどれか。正しいものを選べ。","手順書と要領書","手順書と指示書","指示書","仕様書","要領書",d,"仕様書：顧客が組織に要求内容を提示する文書。仕様書には適合すべき法規，規格，作業の方法，手段が記述されている。"
50,"次のうち，誰がやっても同じ結果が得られるように具体的に分かりやすく作業の内容を示したり，作業手順に従って，順を追って作業を進める際の注意事項を示したりする文書はどれか。正しいものを選べ。","指示書","手順書","要領書","仕様書","",a,"指示書：非破壊検査技術者が間違いなく探傷できるようにするため，NDT手順書で記述されていないような部分で重要，詳細な探傷方法等を確実に行えるよう順を追って具体的に記述されたものである。レベル2以上の技術者が作成する。"
51,"次は，どの浸透探傷試験方法を選択するか決める場合に考慮する項目を示したものである。正しいものを選べ。","試験体の温度","試験体内部のきずの有無","試験体の表面粗さ","試験体の材質","",c,"浸透探傷試験の選択は，あらゆる角度から見て優劣を総合的に評価して決める。試験体の重要性・材質と大きさ・処理数量・試験面の粗さ・予測されるきずの種類と大きさ・試験環境（屋内外，換気，大気の有無）・電源や水道の有無・探傷剤の性能・作業性・経済性など。選択肢の中で最も影響度の高いのは，表面粗さである。"
52,"次の文は，探傷方法を決定するために考慮する項目について述べたものである。最も正しいものを選べ。","試験体の材質と大きさ","検出すべききずの種類と大きさ","試験を行う環境","作業性及び経済性","",b,"試験方法の決定で最も重要なことは，きずの検出である。"
53,"次の文は，浸透探傷試験方法について述べたものである。正しいものを選べ。","ボルトやナットのようなねじ部を持つ試験体の検査には，水洗性蛍光浸透探傷試験が適している。","後乳化性蛍光浸透探傷試験は，航空機エンジン部品のような重要な部品の保守検査にのみ適用される試験法である。","鍛造品の割れの検査には，水洗性染色浸透探傷試験が最適な試験法である。","量産の小型鍛造品の検査には，溶剤除去性蛍光浸透探傷試験が適している。","水洗性蛍光浸透探傷試験と水洗性染色浸透探傷試験の洗浄性を比較すると，表面粗さの粗い試験体に対しては同程度の洗浄処理で余剰浸透液を洗浄することができる。",a,"後乳化性蛍光浸透探傷試験は保守検査のみではなく，製造時検査にも適用される。鍛造品の割れ検査は，表面状態，環境等により最適な試験法は変わる。量産の小型鍛造品は水洗性浸透探傷試験が適する。"
54,"次に示す浸透探傷試験の基本的選択として正しいものを選べ。","きずの検出性に着目した場合，幅が広く浅い割れの探傷に水洗性浸透探傷試験を選択した。","疲労割れ研磨割れなど幅が非常に狭い割れの探傷に水洗性染色浸透探傷試験を選択した。","試験体に着目した場合，小型量産部品及びネジや溝など鋭角な隅部の探傷に水洗性蛍光浸透探傷試験を選択した。","試験体に着目した場合，粗い面の探傷に後乳化性浸透探傷試験を選択した。","",c,"疲労割れ，研磨割れ等の幅が非常に狭い割れの探傷には，後乳化性蛍光浸透探傷試験，溶剤除去性蛍光浸透探傷試験が適する。"
