id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
11,"次の文は、音圧反射率について述べたものである。[１]に適する数値を一つ選び、記号で答えよ。 ただし、答は小数点以下第２位を四捨五入せよ。 片側に銅をクラッドした鋼板を鋼の側から周波数5MHz の探触子で垂直探傷した。境界面における接合 が完全であっても、境界面エコーが現れる。境界面における音圧反射率は[１]％となる。なお、材料の 定数は次のとおりである。 材 質 鋼 銅 音 速 5,900 m/s 4,700 m/s 密 度 7.8 g/cm３ 8.9 g/cm３",2.4,2.9,4.8,9.6,c,"音圧反射率ｒ ＝P /P ＝(Z －Z )/(Z ＋Z )より １→２ Ｒ Ｉ ２ １ １ ２ 鋼：Z ＝5,900×7,800＝ 46.02×10６kg/ｍ２ｓ １ 銅：Z ＝4,700×8,900＝ 41.83×10６kg/ｍ２ｓ ２ (41.83×10６－46.02×10６)/(46.02×10６＋41.83×10６)＝0.04769 →4.8％ Z <Z の時、計算結果はﾏｲﾅｽであるが、位相の反転だけなので、負号 ２ １ は無視する。",
13,"次の文は、垂直探傷における超音波の反射と通過について述べたものである。［１］に適する数値を 一つ選び、記号で答えよ。ただし、小数点以下第1 位を四捨五入せよ。 局部水浸法で厚さ30mm の鋼板を垂直探傷し、表面エコー高さを100％に調整したときの第1 回底面エ コー高さは［１］％となる。ただし、材料中の減衰及び音場の拡散は考慮に入れないものとする。また、 鋼材の密度は7.8ｇ/cm３、縦波音速は5,920m/s、水の密度は1ｇ/cm３、音速は1,480m/s とする。",6,12,13,94,c,音響ｲﾝﾋﾟｰﾀﾞﾝｽ Ｚ＝ρ×Ｃ（ρ：密度、Ｃ：音速） Ｚ＝1.0×1.48＝1.48（水） Ｚ＝7.8×5.92＝46.18（鋼） 1 2 水から鋼への境界面の音圧反射率は ｒ ＝(Ｚ-Ｚ)/(Ｚ+Ｚ)＝(46.18-1.48)/(1.48+46.18)＝0.938 １→２ 2 1 1 2 ⇒表面ｴｺｰ高さｈ =93.8% Ｂ また音圧往復通過率は Ｔ ＝1-ｒ２ ＝1－0.938２≒0.12 １→２ １→２ ⇒底面ｴｺｰ高さｈ =12% Ｂ 表示器上に現れるｴｺｰの大きさは、超音波の受信音圧に比例するの で、表面ｴｺｰ高さｈ を93.8%から100%にすると考えると、 Ｂ 底面ｴｺｰ高さｈ =12%は、93.8：100 = 12：χ Ｂ χ=12×100/93.8=12.79≒13%となる。,
14,次の文は、水から鋼に超音波が入射するときの現象に関する記述である。正しいものを一つ選び、 記号で答えよ。,水から鋼に垂直に入射した場合、水中では横波は伝搬しないため、境界面での反射は生じない。,水から鋼に斜めに入射した場合、水中では横波は伝搬しないため、鋼中に横波は伝搬しない。,縦波臨界角より大きな角度で水から鋼に斜め入射した場合、鋼中には横波だけが伝搬する。,水中の音速は鋼中の横波音速より小さいため、横波臨界角は存在しない。,c,縦波臨界角：屈折縦波が伝搬しないようになるときの入射角（α ） LC 縦波臨界角以上で超音波を入射させれば縦波は伝搬し ない。 横波臨界角：屈折横波が伝搬しないようになるときの入射角（α ） SC 横波臨界角以上で超音波を入射させれば横波は伝搬し ない。 水から鋼に入射する場合の縦波及び横波臨界角はｽﾈﾙの法則より以 下のように求めることができる。 縦波臨界角α ＝sin-（1 C/C ×sin90°）＝sin-（1 1480/5900）≒14.5° LC 1 Ｌ 横波臨界角α ＝sin-（1 C/C ×sin90°）＝sin-（1 1480/3230）≒27.3° SC 1 Ｓ C:水中の縦波音速(m/s)、C：鋼材中の縦波音速(m/s) 1 L C：鋼材中の横波音速(m/s) S 以上の関係を図に表わすと以下のようになる。 このように、縦波臨界角と横波臨界角の間で超音波が入射すると、 屈折横波だけが伝搬する。問題文では「縦波臨界角より大きい」とな っているが、これを正解とした。 （縦波臨界角を超え、更に横波臨界角を超えると横波も伝搬しない） 14.5° 27.3°,
15,次の文は、きずによる超音波の反射について述べたものである。正しいものを一つ選び、記号で答えよ。,円形平面きずの面積が2 倍になるとビーム路程が同じ場合、エコー高さは常に2 倍になる。,円形平面きずの直径が2 倍になるとビーム路程は同じ場合、エコー高さは常に2 倍になる。,近距離音場内の小さなきずからのエコー高さは、複雑な変化を示す。,近距離音場内のきずエコー高さは、ビーム路程が短いほど高くなる。,c,"円形平面きずのｴｺｰ高さP は、P=P・AA/λ2χ2で求まる。ここでP F F 0 E F 0 は円形振動子から発する超音波の音圧、A は振動子面積、A はきずの E F 面積、λは波長、χはきずまでの距離。この式から円形平面きずのｴ ｺｰ高さは、きずの面積に比例し、きずまでの距離の自乗及び波長の自 乗に反比例する。ただし、きずの寸法が推定できるのは、きずの寸法 が限界寸法以下の時であり、限界寸法より大きくなると、きず寸法が 異なってもｴｺｰ高さは一定となる。よってa),b)は誤りである。 近距離音場内の音圧の分布は、複雑な変化をしており、ﾋﾞｰﾑ路程の 変化に応じたｴｺｰ高さの変化はしない。よってc)は正しく、d)は誤り である。",
16,次の文は、超音波探傷における波長の影響について述べたものである。正しいものを選べ。,波長が長いほど、小さいきずを見つけやすい。,波長が短いほど、金属中における散乱減衰が大きくなる。,波長が短いほど、近距離音場限界距離は短くなる。,波長が長いほど、指向角は小さくなる。,b,a)波長が短いほど小さいきずを見つけやすい。 b)正しい c) 波長が短いほど近距離音場限界距離は長くなる。χ ＝D２/4λ ０ d)波長が長いほど指向角は大きくなる。φ ＝70×λ/D ０,
17,次の文は、超音波の波長について述べたものである。正しいものを一つ選び、記号で答えよ。,波長は、超音波の音速を周波数で除した値である。,波長は、超音波の周波数と媒質の密度との積で表される。,波長が短いほど、散乱減衰が大きくなり、音響インピーダンスは大きくなる。,波長が長いほど、散乱減衰が小さくなり、音響インピーダンスが大きくなる。,a,波長λと音速C と周波数ｆの間には、次のような関係式が成り立 つ。λ＝ C/ｆ この式からも分かるように、「波長は、超音波の音速を周波数で除 した値である。」a)は正しい。 結晶粒に対し波長λが短いと散乱減衰は大きくなり、波長λが長い と散乱減衰は小さくなる。また、音響ｲﾝﾋﾟｰﾀﾞﾝｽZ はZ＝ρ×C の式 からも分かるように、波長の影響を受けない。,
18,次の文は、試験周波数と振動子直径が同じ垂直探触子で、縦波の探触子と横波の探触子の指向角と 近距離音場限界距離について述べたものである。正しいものを一つ選び、記号で答えよ。,横波の探触子に比べて、縦波の探触子の方が指向角は大きく、近距離音場限界距離は長い。,横波の探触子に比べて、縦波の探触子の方が指向角は小さく、近距離音場限界距離は長い。,横波の探触子に比べて、縦波の探触子の方が指向角は大きく、近距離音場限界距離は短い。,横波の探触子に比べて、縦波の探触子の方が指向角は小さく、近距離音場限界距離は短い。,c,円形振動子の指向角φは、φ＝70λ/D で求まる。 横波・縦波のλは、試験周波数が同じであれば、それぞれの音速か らλ＝Ｃ/ｆの関係より横波音速3230m/s、縦波音速5900m/s とする と、縦波λ＞横波λとなる。 よって、指向角φは縦波の方が大きい。⇒ｂ）及びｄ）は誤りであ る。 また、近距離音場限界距離χ は、χ ＝Ｄ２/４λで求まる。 ０ ０ 横波・縦波のλは、縦波λ＞横波λであるため、近距離音場限界距 離χ は、横波χ ＞縦波χ となる。 ０ ０ ０ よって、縦波の近距離音場限界距離χ は、横波の近距離音場限界 ０ 距離χ より短い。 ０,
19,次の文は、超音波の伝達特性について述べたものである。正しいものを一つ選び、記号で答えよ。,探傷面が粗い試験体では平滑な試験体に比べ、他の条件が同じ場合であっても、きずエコー高さは低く なる。,標準試験片のように表面が平滑な試験片では、接触媒質の種類を変えると、エコー高さは大きく異なる。,標準試験片のように表面が平滑な試験片の垂直探傷では、接触媒質層の厚さの変動によるエコー高さ の差は少ない。,探傷面が粗い試験体の超音波探傷では、周波数が低い方が感度の低下量は大きくなる。,a,きずの検出に関して、表面粗さの影響が大きく関わっている。これは 探触子の接触面における接触媒質の層が一様でないことが原因とし て挙げられる。探傷面が粗い試験体では、平滑な試験体に比べて感度 の低下量が大きくなり、きずｴｺｰ高さは低くなる。表面が平滑な場合 でも接触媒質層の厚さが厚いとｴｺ-高さは低くなり、差は大きい。 またｴｺｰ高さの変化の程度は接触媒質の厚さと波長との関係によっ ても変化する。厚さがλ/4、3λ/4 の時ｴｺｰ高さは低くなる。,
20,次の文は、縦波と横波について述べたものである。正しいものを一つ選び、記号で答えよ。,横波は、せん断波とも呼ばれている。,グリセリンペーストを用いれば横波垂直探触子から発生した横波を直接試験体中に伝搬させることが できる。,横波垂直探触子では縦波と横波が同時に発生している。,横波垂直探触子から発生する横波は、縦波からのモード変換によって試験体中に伝搬している。,a,横波垂直探触子は横方向に振動する圧電素子で横波を発生するた め、油やｸﾞﾘｾﾘﾝでは横波を伝搬させることができない。このため、 横波伝搬用専用の接触媒質を用いる。,
21,次の文は、一般的に超音波探傷試験で連続波ではなくパルス波を使用する理由について述べたもので ある。正しいものを一つ選び、記号で答えよ。,連続波を使用すると、超音波探傷器を大型化する必要があり、小型化するためパルス波を使用する。,連続波を使用すると、きずからの反射波が送信波と干渉して十分なエコー高さが得られないためであ る。,連続波を使用すると、何時送信した波か分からないため時間軸の情報の判別ができない。,連続波を使用すると、反射源からのエネルギが大きく増幅直線性が得られないためである。,c,ﾊﾟﾙｽ波は、時間的・空間的に部分的に存在する波である。連続波は時 間的・空間的に連続して存在する波である。連続波では障害物に向か う波と障害物から反射して戻る波が重なり、何時、送信した波かが分 からずに時間軸の情報が明確ではない。一方、ﾊﾟﾙｽ波は、時間あるい は空間の限られた範囲だけで発生させている波なので、反射の様子 が明瞭となり、反射波を時間的に区別しやすい。,
22,次の文は、表面波について述べたものである。正しいものを一つ選び、記号で答えよ。,表面波とは、水浸法において試験体表面で反射された波のことである。,鋼中の表面波の音速は、横波の音速に近く、その約０.９倍である。,表面波の振動方向は、縦波と同一である。,表面波は物質の表面に沿って伝搬する波であり、表面に開口した割れが存在すると超音波は１００％反 射される。,b,ｱｸﾘﾙ中の縦波の入射角を横波の臨界角にすると、横波の屈折角が 90°になり表面波が発生する。 表面波は表面近傍だけにｴﾈﾙｷﾞが集中して伝わる波で縦振動(疎密) と横振動(横ずれ)を混合したような挙動を示す。表面波の音 速は鋼の場合2980m/s であり、横波3230m/s のおよそ0.9 倍とな る。（2980/3230≒0.9）,
23,次の文は、鋼板の板波探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,厚さ3mm 程度の薄板の探傷には、板波が利用される。,板波を発生させるには、SH 波探触子を使用する。,板波には、対称モードと非対称モードがあるが、それぞれ異なった一定の音速であるので、入射角を 変化させていずれかのモードにして探傷する。,板波探傷には、板波探傷用の特殊な接触媒質を使用する。,a,板波は、板材中を伝搬する波で、平行な2 つの表面の存在により発生 する波である。減衰が少なく、長距離を伝搬して広範囲を効率的に探 傷できる特徴を有している。主に薄板中を伝搬させる波として使用 される。板波は、Lamb 波（ﾗﾑ波）とSH 板波の2 種類に分類され、ﾗﾑ 波は対称(S)ﾓｰﾄﾞと非対称(A)ﾓｰﾄﾞがあり、周波数によって音速が異 なる速度分散性と多くの振動ﾓｰﾄﾞがある多ﾓｰﾄﾞという特徴を有して いる。,
24,次の文は、ｸﾘｰﾋﾟﾝｸﾞ波について述べたものである。正しいものを一つ選び、記号で答えよ。,ｸﾘｰﾋﾟﾝｸﾞ波は、余り減衰しないので、伝搬距離の長い部位の探傷が可能である。,ｸﾘｰﾋﾟﾝｸﾞ波は、縦波屈折角を80 度程度にしたときに表面を伝搬する縦波のことである。,ｸﾘｰﾋﾟﾝｸﾞ波は、横波屈折角を90 度になるようにしたとき、最もよく伝搬する。,裏面で発生する2 次ｸﾘｰﾋﾟﾝｸﾞ波を用いると、X 開先溶接部の内部きずを検出することができる。,b,ｸﾘｰﾋﾟﾝｸﾞ波とは、振動様式で言えば縦波である。屈折角が90 度に 近い状態で伝搬する縦波をｸﾘｰﾋﾟﾝｸﾞ波と呼んでいるだけで、 ｸﾘｰﾋﾟﾝｸﾞ波探触子は、特殊な振動様式の波を送受信するものでは ない。したがって、ｸﾘｰﾋﾟﾝｸﾞ波探触子は、屈折角が大きい（80 度前 後）縦波斜角探触子であり、もちろん横波も発生している。表面及 び表面近傍のきずの検出、例えば溶接部の止端割れなどの検出に良 いとされている。ｸﾘｰﾋﾟﾝｸﾞ波は減衰が著しく、超音波の伝搬距離は 30～40mm 程度である。,
25,次の文は、各種の超音波について述べたものである。正しいものを一つ選び、記号で答えよ。,横波は、超音波が伝搬する媒体の粒子の振動方向が、振動の伝わっていく方向と同じ方向になってい る波であり、一般的にはモード変換によって発生させている。,縦波は、超音波が伝搬する媒体の粒子の振動方向が、振動の伝わっていく方向と垂直になっている波 であり、固体中のみ伝搬する。,表面波は、材料の表面層だけ伝搬する波で、表面から1/10 波長分の非常に浅い層にエネルギの大部 分が集中している波である。,クリーピング波は、縦波屈折角が80 度に近いとき、材料中の表面に沿って伝搬し、波動様式は縦波 である。,d,"横波は、粒子の振動方向が振動の伝わる方向と直角になっている波 で、縦波は、粒子の振動方向が、振動の伝わる方向と一致している 波である。よってa),b)は誤り。 表面波は、その表面に波動ｴﾈﾙｷﾞが集中して振動し、伝搬していく波 で、表面から1 波長分の非常に浅い層にｴﾈﾙｷﾞの約9 割が集中してい る。よってc)も誤り。 ｄ）が正しい。",
26,"次の文は、音圧反射率について述べたものである。 に適する数値を解答群より一つ選び、記号で 答えよ。ただし計算結果は小数点以下第2 位を四捨五入せよ。 水浸法で鋼材を周波数5MHz の探触子で垂直探傷を行なった。この時の鋼材表面における音圧反射 率は ％となる。なお、各材料の音速と密度は次のとおりである。 材 質 炭 素 鋼 水 音 速 ５,９００m/s １,４８０m/s 密 度 ７.９g/cm３ １.０g/cm３",0.9,88.0,93.8,96.8,c,"音圧反射率ｒ ＝P /P ＝(Z －Z )/(Z ＋Z )より １→２ Ｒ Ｉ ２ １ １ ２ 水：Z ＝ρ×C=1,000×1,480＝ 1.48×10６kg/ｍ２ｓ １ 1 1 鋼：Z ＝ρ×C=7,900×5,900＝46.61×10６kg/ｍ２ｓ ２ 2 2 (46.61×10６-1.48×10６)/(1.48×10６＋46.61×10６)＝0.9384→ 93.8%",
27,次の文は、アクリル樹脂と鋼との平らな境界面にアクリル樹脂側から縦波超音波が斜め入射した場合に ついて述べたものである。正しいものを一つ選び、記号で答えよ。,入射角が縦波臨界角より小さい場合、鋼中には屈折横波だけが伝搬する。,入射角が縦波臨界角より小さい場合、鋼中には屈折縦波だけが伝搬する。,入射角が縦波臨界角より小さい場合、鋼中には屈折縦波と屈折横波が伝搬する。,入射角が縦波臨界角より小さい場合、鋼中には屈折縦波も屈折横波も伝搬しない。,c,縦波臨界角α ＝sin-（1 C/C ×sin90°）＝sin-（1 2730/5900）≒27.6° LC 1 Ｌ 横波臨界角α ＝sin-（1 C/C ×sin90°）＝sin-（1 2730/3230）≒57.7° SC 1 Ｓ C:アクリル樹脂中の縦波音速(m/s)、C：鋼材中の縦波音速(m/s) 1 L C：鋼材中の横波音速(m/s) ＊ﾃｷｽﾄⅡP16 図2.20 を参照 S 縦波臨界角と横波臨界角の関係を図に表わすと下図のようになる。 よって、入射角が縦波臨界角より小さい場合、鋼中には 屈折縦波、屈折横波の両方が伝搬する。 また、入射角が縦波臨界角と横波臨界角の間にある場合、鋼中には 屈折横波だけが伝搬する。,
28,次の文は、アクリル樹脂と鋼との平らな境界面にアクリル樹脂側から縦波超音波が斜め入射した場合に ついて述べたものである。正しいものを一つ選び、記号で答えよ。,入射角が縦波臨界角と横波臨界角の間にある場合、鋼中には屈折縦波だけが伝搬する。,入射角が縦波臨界角と横波臨界角の間にある場合、鋼中には屈折横波だけが伝搬する。,入射角が縦波臨界角と横波臨界角の間にある場合、鋼中には屈折縦波と屈折横波が伝搬する。,入射角が縦波臨界角と横波臨界角の間にある場合、鋼中には屈折縦波も屈折横波も伝搬しない。,b,前問解説欄の図を参考に『入射角が縦波臨界角と横波臨界角の間に ある場合』は、横波だけが伝搬する。,
33,次の文中は、角部における超音波の反射について述べたものである。 に適する数字を一つ選び、記 号で答えよ。 鋼材中で、横波超音波が図1 のように直角な角に入射角６８°で入射するとき、図２を利用して ２回の反射による音圧反射率を求めると ％となる。,13,20,42,83,c,ｺｰﾅｰ部の反射では底面及び端面で 2 回反射が起こる。68°の入射角 で横波超音波がｺｰﾅｰ部の底面に入射した場合、端面での入射角は 22°となる。よって 2 回の反射による音圧反射率は、図 2 のｸﾞﾗﾌで 横波入射角22°の音圧反射率を求めると、42％または43%となる。,ut_2022_10_q33.png
35,次の文は、円柱面エコーの発生原因について述べたものである。正しいものを一つ選び、記号で答えよ。,探触子の接触面積が大きくなり、指向角が小さくなった。,探触子の接触面積が大きくなり、指向角が大きくなった。,探触子の接触面積が小さくなり、指向角が大きくなった。,探触子の接触面積が小さくなり、指向角が小さくなった。,c,指向角 ψ ＝70λ/D(D：振動子直径) 丸棒の側面に探触子を接触 ０ させると接触面積が小さくなるため(見かけの振動子寸法が小さく なる)指向角が大きくなり丸棒側面から超音波が反射し円柱面ｴｺｰが 発生しやすくなる。,
36,次の文は、超音波探触子の振動子材料の機能について述べたものである。正しいものを一つ選び、記号 で答えよ。,超音波の振動が振動子に伝わると、光電効果により電子が発生し、電気信号を得ることができる。,振動子に電圧が印加されると、逆圧電効果により超音波が発生する。,振動子に交流電流が流れることにより、電磁誘導現象により超音波が発生する。,超音波の振動が振動子に伝わると、温度が上昇し、熱起電力により電気信号を得ることができる。,b,探触子には、超音波ﾊﾟﾙｽの送受信を担う振動子が組み込まれている。 振動子には種々の材料があり、圧電現象、逆圧電現象を利用してい る。これらを圧電効果と呼んでいる。圧電効果を呈する材料を圧電材 料と呼ぶがこの圧電材料が振動子の材料として使われている。この 振動子に瞬間的に高い電圧を加えて振動させることで超音波を発生 している。 逆圧電効果：圧電素子+高周波電圧⇒ひずむ(振動)⇒超音波発生 圧電効果： 圧電素子+超音波⇒ひずむ(振動)⇒高周波電圧発生,
37,次の文は、超音波パルスの発生について述べたものである。正しいものを一つ選び、記号で答えよ。,パルスの発生は、連続波が使用される。,パルスの発生は、三角波が使用される。,パルスの発生は、低周波が使用される。,パルスの発生は、矩形波が使用される。,d,超音波ﾊﾟﾙｽの発生には、矩形波（くけいは）が使用されている。,
38,次の文は、圧電効果について述べたものである。正しいものを一つ選び、記号で答えよ。,圧電効果は、圧力をかけると超音波が発生する現象である。,電圧をかけると圧力が発生する現象は、電圧力効果という。,圧電効果は、どんなセラミックスでも有する特長である。,圧電効果は、ピエゾ効果とよばれ、圧力をかけると電圧が発生する現象である。,d,探触子には、超音波パルスの送受信を担う振動子が組み込まれてい る。振動子には種々の材料があり、圧電現象、逆圧電現象を利用して いる。これらをまとめて、圧電効果又はピエゾ効果という。 ｾﾗﾐｯｸｽ（磁器）は酸化物等の無機物の焼結体である。代表的な圧電材 としてｼﾞﾙｺﾝﾁﾀﾝ酸鉛があるが、圧電効果はどんなｾﾗﾐｯｸｽでも有する 特徴ではない。,
