id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
12,次の文は，液体の接触角θが小さい液体に対する毛管現象について述べたものである。正しいも のを選べ。,毛管の内径が大きいほど，液の高さは高くなる。,重力加速度が大きいほど，液の高さは高くなる。,液体の密度が小さいほど，液の高さは高くなる。,表面張力が小さいほど，液の高さは高くなる。,,c,浸透液に細い管を立てたとき浸透液が管を上昇して静止する高さh は h＝2Γcosθ／rρg（Γ:表面張力，θ:接触角，r: ガラス管半径， ρ:密度，g:重力加速度）上式から設問の文章が理解できる。,
13,次の文は，界面化学に関する基礎理論について述べたものである。正しいものを選べ。,気／液，液／固のように一方が液相である界面を表面と呼ぶ。,液体の表面積を最小にしようとする力は表面張力である。,液体の表面張力は表面を形成している分子の熱エネルギーによるものである。,表面張力とは，液体が固体に付着したときに起きる現象をいう。,,b,表面：一方が気相である場合で，気/液（水面＝表面），気/固（試験体 表面など）の界面である。 液体の表面張力とは，表面を形成している自由エネルギーによるも の。また，気体中でも起きる。,
14,次の文は，浸透液のぬれについて述べたものである。正しいものを選べ。,接触角が90°より大きい場合には，液体が固体表面をぬらすという。,浸透液のぬれは，固/気界面が固/液界面に置き換わることである。,固/液界面に置き換わることは，固体の表面張力が液体の表面張力より小さいことである。,ぬれの程度は液体の表面張力によって決まり，固体の表面張力の影響を受けることはない。,ぬれの程度は液体の種類と固体の種類によって決まり，固体の表面粗さとは関係ない。,b,液体が固体表面をぬらすのは接触角が90°より小さい場合である。 “ぬれ”は固体/気体から固体/液体への置換現象である。 液体が持つ表面張力より固体の表面張力が強いと固体表面の気体に 液体がとって代わる。 “ぬれ”は表面粗さによっても変わる。,
15,物質はおかれている環境の温度，圧力等で気相，液相，固相の何れかの相を呈している。次の界 面のうち表面と呼ばれるものはどれか。正しいものを選べ。,気相／気相の境界を表面と呼ぶ。,液相／固相の境界を表面と呼ぶ。,固相／固相の境界を表面と呼ぶ。,気相／液相の境界を表面と呼ぶ。,,d,一方が気相である場合（気/液，気/固界面）を表面と言う。 ただし，気/気界面は存在しない。,
16,一般に物質はその置かれている環境の温度，圧力などの相違によって気相，液相及び固相のいず れかの相を呈していて，その界面は5 種類ある。次の中から，界面の存在する組合せとして正しい ものを選べ。,気/気界面，液/液界面，固/固界面,気/固界面，気/気界面，気/液界面,液/液界面，気/液界面，固/液界面,液/液界面，気/気界面，気/液界面,,c,存在する5 種類の界面は，液/液界面，気/液界面，気/固界面，固/液界 面，固/固界面であり，気/気界面は存在しない。,
17,次のうち，ぬれの現象について正しいものを選べ。,気/固界面を液/固界面に置き換える現象,液/固界面を気/固界面に置き換える現象,液/固界面を固/固界面に置き換える現象,気/固界面を固/固界面に置き換える現象,,a,固体表面の気体（空気）を液体（浸透液）に置き換える現象,
18,次の文は浸透液に細い管を上向きに立てた場合の毛管現象について述べたものである。正しいも のを選べ。,他の条件が同一の場合，毛管内径が小さいほど液面は高く上がる。,他の条件が同一の場合，表面張力が小さいほど液面は高く上がる。,他の条件が同一の場合，浸透液の密度が大きいほど浸透液は高く上がる。,他の条件が同一の場合，接触角が大きいほど液面は高く上がる。,,a,ｈ＝2Γcosθ/ρｇｒ の式から設問を理解して下さい。 ただし，ｈ：液面の高さ，Γ：表面張力，θ:接触角ρ：液体の密度， ｇ：重力加速度，ｒ：ガラス管半径,
19,次の文は，浸透液の中に毛細管の一端を入れて垂直にした場合の毛管現象について述べたもので ある。正しいものを選べ。,他の条件がすべて同じならば，表面張力の大きい浸透液の方が高く上がる。,毛細管の内径が大きい方が高く上がる。,毛細管の上端を閉じたものの方が，上端が開いているものより高く上がる。,浸透液の密度が高いものの方が高く上がる。,,a,ｈ＝２Γcosθ/ρｇｒの式から設問を理解して下さい。 ただし，ｈ：液面の高さ，Γ：表面張力， θ:接触角 ρ：液体の密度，ｇ：重力加速度，ｒ：ガラス管半径 毛細管の上端が閉じている場合は，空いている場合より液面の高さは 低くなる。,
20,次の文は，浸透液の粘性と浸透現象の関係を述べたものである。正しいものを選べ。,粘性が大きくなるときずの中へ浸透する浸透速度は速くなる。,粘性が大きくなるときずの中へ浸透する浸透時間は短くなる。,粘性が小さくなるときずの中へ浸透する浸透速度は遅くなる。,粘性が小さくなるときずの中へ浸透する浸透速度は速くなる。,粘性が小さくなってもきずの中へ浸透する浸透速度・浸透時間は変わらない。,d,浸透液の粘性が小さいと浸透速度は速くなる。したがって浸透時間 は短くなる。逆に温度が低下して粘性が大きくなると，浸透速度は 遅くなる。,
21,次の文は，浸透液の粘性について述べたものである。正しいものを選べ。,浸透液の粘性が低くなると，きずの中へ浸透するのに時間がかかる。,浸透液の温度が高くなるほど，きずの中へ浸透する時間は長くなる。,浸透液の粘性は，温度には無関係である。,浸透液の粘性が高くなると，きずの中へ浸透する時間は長くなる。,,d,浸透液の粘性が低くなる(温度が高くなる)→粘度が減少する→時間が 早くなる。浸透液の粘性係数が大きくなる→浸透速度が遅くなる。 浸透液の粘性は温度に大きく関係する。,
22,次の文は，乳化及び乳化現象について述べたものである。正しいものを選べ。,乳化とは油と水のように互いに交じり合わない液体が，溶け合わずに2 つに分離している状態 をいう。,水と油に分離している容器を機械的に強く振り，中の液を攪拌すると液全体が白く濁った状態 になるが，この状態は乳化した状態ではない。,水洗性浸透液の洗浄は乳化現象を利用している。,一般的に乳化剤は親水基と親油基のどちらか一方を持っている。,,c,乳化剤は親水基と親油基の両方を持っている。,
23,次の文は，油ベース乳化剤を使った乳化処理並びに乳化現象について述べたものである。正しい ものを選べ。,乳化時間は，試験体表面の粗さ，検出すべききずの種類と大きさ，乳化剤の種類等によって決 定する。,乳化処理とは，余剰浸透液に乳化剤を適用し，洗浄処理前にあらかじめ乳化現象を起こさせて おく処理をいう。,乳化処理は，後乳化性浸透液及び水洗性浸透液に適用するもので，これにより水による洗浄処 理が可能となる。,乳化現象は，乳化処理及び洗浄処理において起こるものである。,,a,乳化剤の適用に関しては，油ベースと水ベースでは基本的に異なる異 なることを理解しておくこと。 水洗性浸透液には，乳化処理を適用しない。,
24,視知覚について述べたものである。正しいものを選べ。,きずを確認しやすいのは明るさよりも色である。,見分けやすい色の順序は白，黄，赤，緑。,見分けやすい色の順序は赤，緑，黄，白。,最も物の形を確認しやすい色の組合せは緑／青。,最も物の形を確認しやすい色の組合せは黄／赤。,c,視認性で，見分けやすい色の順序は赤，緑，黄，白。 判読性で，最も物の形を確認しやすい色の組合せは黒／黄。,
25,次は，遠く距離が離れていても色を認知しやすい性質が強い色を左から順に並べたものである。 正しいものを選べ。,赤→白→黄→緑,白→赤→黄→緑,白→黄→赤→緑,白→黄→緑→赤,赤→緑→黄→白,e,視認性は，見分け易いか，見分け難いかの性質で，色が認知できる距 離で表し距離が遠いほど視認性が高く赤，緑，黄，白の順に見分けや すい。,
26,次は，色の三属性について述べたものである。正しいものを選べ。 〔新〕,視認性，判読性，注目性,赤，緑，黄,色相，明度，彩度,白，赤，緑,,c,ａ）は，指示模様を観察する場合の知覚の高低に係わる主な機能であ る。,
27,浸透探傷試験で使用するブラックライトの紫外線領域はどれか。正しいものを選べ。,A領域,B領域,C領域,D領域,,a,356nm にピークのあるA 領域紫外線（UV-A 波：315～400nm）。 UV-A (315-400 nm)，UV-B (280-315 nm) 及びUV-C (100-280 nm) の 三つの領域に分かれる（JIS Z 2300 による）。 紫外線は波長が短いほど人体に有害である。,
28,次の文は，紫外線や蛍光について述べたものである。正しいものを選べ。,蛍光とは，物質に波長の長い光を当てたとき，その物質から当たった光より短い波長の光を発 する現象を言う。,蛍光物質に紫色の光を当てると黄緑色の光を発する。,蛍光浸透探傷試験で使用されるブラックライトからは315～400nm の紫外線が放射されている。,黄緑色の光の波長は600～650nm である。,,c,蛍光とは，物質に波長の短い光を当てた時，光が当たっている間だけ その物質から当たった光より長い波長の光を発する現象。 波長が 315～400nm の紫外線を当てると波長が 500～550nm 付近の黄 緑色の蛍光を発する。,
29,次の文は，前処理剤について述べたものである。正しいものを選べ。,水に溶けるものに対して水は前処理剤として使用できる。,界面活性剤を添加した水は前処理剤としては不適切である。,揮発性の高い溶剤は前処理剤として使用できない。,グリースを除去するために有機溶剤を前処理剤として使用できない。,油脂類を溶解するために水を前処理剤として使用できる。,a,溶剤除去性浸透探傷試験の除去液に使用する有機溶剤は前処理剤と しても用いられ，揮発性が高い。,
30,次の文は，浸透液について述べたものである。正しいものを選べ。,浸透液は鉱物油で作られているので，温度が低くなるほど粘性は低くなる。,浸透液に要求される性質としては，引火点が低い方がよい。,浸透液に含まれている溶剤は，浸透性との関係はない。,水洗性浸透液で最も多量に含まれている成分は，水である。,蛍光浸透液に黄緑色に蛍光を発する染料を用いるのは，黄緑色の視感度が高いからである。,e,浸透液は鉱物油で作られているので，温度が低くなるほど粘性は高く なる。 浸透液に要求される性質としては，引火点が高い方がよい。 浸透液に含まれている溶剤は，浸透性との関係がある。 水洗性浸透液の主成分は溶剤で，水洗浄を可能にするため界面活性剤 （乳化剤）が添加されている。,
31,次の文は，浸透液の粘性について述べたものである。正しいものを選べ。,浸透液の粘性が低くなると，きずの中へ浸透するのに時間がかかる。,浸透液の粘性が高くなると，きずの中へ浸透する時間は長くなる。,浸透液の粘性と浸透時間は無関係である。,浸透液の温度と粘性は無関係である。,,b,粘性が減少すれば液体の流動速度は速くなり，浸透時間は短くな る。,
32,次の文は，浸透液に要求される性質ついて述べたものである。正しいものを選べ。,懸濁性が良いこと。,毒性が少ないこと。,揮発性がないこと。,染色浸透液は彩度があざやかで輝度が高いこと。,,b,浸透液に要求される一般的な性質は，浸透性が良い，蛍光輝度が高 いか赤の色相があざやかで明度が高い，洗浄性または除去性がよ い，中性で腐食性がない，引火点が高い，毒性が少ない，温度安定 性がよいことである。,
33,次の文は，乳化剤について述べたものである。正しいものを選べ。,乳化剤は，後乳化性浸透液を水洗浄できるようにする探傷剤である。,乳化剤のうち油ベース乳化剤は濃度が濃いため，水で希釈して使用する。,油ベース乳化剤の適用法は注ぎかけ法，浸漬法，はけ塗り法が主である。,乳化剤と浸透液は外観色では区別できない。,,a,乳化剤の主成分は界面活性剤であり，浸透液と相溶性を持ち水洗を 可能にする役割がある。,
34,次は，製造時にのみ発生するきずの名称について述べたものである。正しいものを選べ。,ブローホール，引き割れ，ざくきず，湯回り不良，応力腐食割れ,疲労割れ，引き割れ，クレータ割れ，溶融不良，ホット・ティア,引け巣，白点，アンダーカット，ブローホール，砂かみ,非金属介在物，クリープ割れ，ラミネーション，白点，溶込不良,ブローホール，ピンホール，エロージョン，コロージョン，孔食,c,稼働中（保守検査時）のきずには，疲労割れ，応力腐食割れ，腐 食，熱疲労割れ，クリープ割れ，エロージョン，コロージョン，キ ャビテーション，引っかききず，などがある。 製造中のきずは，上記のきずを含んでいないものを選ぶとよい。 巻末の【参考資料】参照,
35,次は，きず名を列挙したものである。溶接部のきずだけの組合せとして正しいものを選べ。 ①引け巣 ②コールドシャット ③シーム ④砂かみ ⑤ラップ ⑥バースト ⑦クレータ割れ ⑧オーバラップ ⑨ブローホール ⑩ラミネーション ⑪融合不良,①②④,③⑤⑨,⑦⑧⑪,⑥⑦⑩,,c,巻末の【参考資料】参照,
36,次の文は，浸透探傷試験で検出可能なきずについて述べたものである。正しいものを選べ。,すべての材料の表面に開口しているきずであれば必ず検出できる。,材料のうち，金属であれば表面に開口しているきずは必ず検出できるが，非金属材料の場合に は検出できない。,すべての材料の表面に開口しているきずであっても検出できない場合もある。,材料のうち，導電性の材料の表面開口きずは必ず検出できる。,,c,開口しているきずであっても，内部に異物があったり，幅が広く浅 いきずは検出できない場合がある。,
37,次の文は，浸透探傷試験に使用する浸透液の感度レベルについて述べたものである｡正しいもの を選べ。 〔新〕,染色浸透液，蛍光浸透液ともに2 種類。,染色浸透液，蛍光浸透液ともに3 種類。,染色浸透液は1 種類，蛍光浸透液は3 種類。,染色浸透液は2 種類，蛍光浸透液は5 種類。,,d,染色浸透液(レベル1 普通感度，レベル2 普通感度) 蛍光浸透液(レベル1/2 超低感度，レベル1 低感度，レベル2 普通感 度，レベル3 高感度，レベル4 超高感度),
38,探傷剤の性質について述べたものである。正しいものを選べ。,水洗性蛍光の浸透液は水で洗い落とすことはできない。,水洗性蛍光の浸透液は溶剤で洗い落とすことはできない。,後乳化性蛍光の浸透液は溶剤で洗い落とすことはできない。,後乳化性蛍光の浸透液は水だけでは完全に洗い落とすことはできない。,,d,後乳化性蛍光の浸透液には乳化剤（界面活性剤）が添加されていな いため，水だけでは完全に洗い落とすことはできない。,
39,次の文は，浸透探傷試験に使用される乾燥装置について述べたものである。正しいものを選べ。,乾燥器はできるだけ静かにゆっくりと乾燥させるのが良く，ファンなどで空気の流れを作るこ とはできるだけ避けた方が良い。,乾燥器を使用する本来の目的は，表面の水分の除去より，試験体の温度を上げることに重点が ある。,乾燥器内の温度は一定の方が良く，温度制御機能が必要である。,乾燥器は赤外線を使った輻射熱式方法が良い。,水分を蒸発させるためには温度設定は100℃以上に設定する。,c,浸透探傷試験に使用する乾燥機は熱風循環式のものがよい。水分を蒸 発させるための設定温度は70℃程度である。,
40,次の文は，乾燥方法について述べたものである。正しいものを選べ。,試験体を直接加熱する電熱器は温度が早く一定になり安価な乾燥器である。,赤外線乾燥器は低い温度で乾燥できる特徴がある。,ヘアードライヤーは現場で小物を乾燥させる場合に使用できる。,試験体表面に付着した水分を加熱しないで乾燥するときずの検出ができない。,熱風循環式乾燥器は観察時に発生する水蒸気で試験体をぬらすことがある。,c,湿式現像における乾燥処理は熱風で乾燥させるのが基本である。このた め，熱風循環式乾燥器，ヘアードライヤ－などで乾燥させる。 電熱器，赤外線ヒーターは局部過熱になるため使用しない。,
41,次の文は，ブラックライトについて述べたものである。正しいものを選べ。,試験体とブラックライトの距離が近いほど，紫外線強度は弱くなる。,ブラックライトに使用されている高圧水銀灯は，緩慢ではあるが劣化していくので，定期的に 紫外線強度を測定する必要がある。,LED のブラックライトは，一般に高圧水銀灯，紫外線透過フィルタ及び安定器によって構成さ れている。,ブラックライトの紫外線強度は，紫外線強度計，照度計のどちらでも測定できる。,,b,従来のブラックライト（紫外線照射装置）は，高圧水銀灯に紫外線 透過フィルタを取り付けた紫外線照射灯と安定器によって構成され たものが一般的だったが，現在は高放射照度の紫外線照射装置とし てメタルハライドランプまたは紫外線LED を用いた小型軽量タイプ も使用されている。 試験面の紫外線放射照度は紫外線強度計で測定する （単位：μW/cm２，又はW/m２）。 照度計は可視光（白色光）の照度を測定する（単位：lx ルクス）。,
42,次の文は，紫外線の単位について述べたものである。正しいものを選べ。 〔新〕,nm（ナノメートル）は，10－６（10 のマイナス6 乗）m である。,nm は，光の波長の単位である。,μW/cm2 は，蛍光指示模様の明るさの単位である。,試験面の紫外線放射照度は，1000W/m2 以上である。,ブラックライトの強度を表す単位はμW/m2 が用いられている。,b,nm は光の波長の単位で，10－９ m である。 W/m２及びμW/cm２は紫外線放射照度の単位で，蛍光指示模様の観察 には試験面において10 W/m２（1000μW/cm２）以上が必要である。,
43,次の文は，ブラックライトについて述べたものである。正しいものを選べ。,照射される紫外線の波長域は500～550nm である。,照射される紫外線の強度は試験面で最低でも1000μW/cm2 必要である。,ブラックライトの水銀灯のスイッチはランプの寿命の点からこまめに切った方が良い。,ブラックライトは長時間利用していると次第に紫外線の強度が低下してくるが，これはフィル タが劣化してくるためである。,,b,"ブラックライトから照射される紫外線の波長域は315～400nm で,蛍光 物質に当てると500～550nm 付近の輝度の高い黄緑の蛍光を発する。 長時間点灯してもフィルターの紫外線透過率は殆ど低下しない。 ランプ点灯時間，スイッチ切入，フィルターやランプの汚れにより 紫外線の強度低下が起こる。",
44,次の文は，浸透探傷試験に用いられるブラックライトについて述べたものである。正しいものを 選べ。,ブラックライトに使用されている水銀灯は，長時間連続で使用した場合，一定の使用時間を過 ぎると急激に劣化していく。,ブラックライトは使用中に電源を切ると点灯するまでに1～2 時間は必要である。,ブラックライトのフィルタは可視光線だけでなく，315nm 以下の短い波長の紫外線も遮断する 役割を持っている。,ブラックライトの強度は照度計で定期的に測定しなければならない。,ブラックライトの強度は，中心軸から30 度くらいそれたところが常に最も強い。,c,ブラックライトに使用されている水銀灯は，使用時間と共に徐々に劣 化していく。ブラックライトは使用中に電源を切ると点灯するまでに 5～6 分は必要である。 ブラックライトの強度は紫外線強度計で定期 的に測定しなければならない。ブラックライトの強度は，中心軸が最 も強い,
45,次の文は，対比試験片について述べたものである。正しいものを選べ。,タイプ1 対比試験片は黄銅板にクロムめっきを施し，その上に保護膜として薄いニッケルめっ きを施してある｡,タイプ3 対比試験片はアルミニウム合金板を420～430℃に加熱した後，冷水により焼き割れを 発生させたものである｡,タイプ3 対比試験片の表面は極めて滑らかであり，実際の試験体表面はこれとはかけ離れたも のが多い。,タイプ3 対比試験片は割れの寸法を調整することは困難であるが，タイプ1 対比試験片はめっ き層の厚さを調整することによって，割れの深さを調整することができる｡,,d,タイプ1 対比試験片（めっき割れ）は，黄銅板にニッケルめっきを 施し，その上に保護膜として薄いクロムめっきを施している。 タイプ3 対比試験片（アルミ焼割れ）は，割れの深さを調整すること ができない｡割れを発生させる加熱温度は，520～530℃である。 巻末の【参考資料】参照,
46,次の文は，アルミ焼割れ試験片について述べたものである。正しいもの選べ。,アルミニウム合金の表面にめっき割れを発生させたものである。,試験片の作製が難しい。,一定の深さの割れを再現性よく作ることができる。,使用を繰返すうちに，割れの破面の酸化等により探傷結果の再現性が悪くなる。,割れの形状が自然の割れに近いが，種々の大きさの割れが存在しない。,d,アルミ焼割れ試験片はアルミニウム合金を加熱・急冷して表面に焼き 割れを発生させたもので，作製は比較的容易，割れの幅や深さはばら ばらである。 巻末の【参考資料】参照,
47,次の文は，アルミ焼割れ試験片について述べたものである。誤っているもの選べ。,試験片が容易に製作できる。,割れの形状が自然きずに近い。,アルミニウム合金である。,割れの深さがほとんど一定である。,きずは焼割れである。,d,同上,
48,次の文は，対比試験片の使用目的について不適切な内容を述べたものである。正しいものを選 べ。,自動化された浸透探傷試験のラインの各処理装置が正常に稼働しているかどうかのチェックに 使用できる。,対比試験片のきずが検出できれば，対比試験片に表示されているきずの幅と深さと同じきずが 実際の試験体にあればすべて検出されるのでその目的のために使用できる。,使用中の探傷剤の性能点検に使用される。,新しい探傷剤の選定時の性能確認に使用される。,探傷剤の購入時の性能確認に使用される。,b,対比試験片は，探傷剤の性能を比較するためと，連続して使用して いる探傷剤の性能が低下していないことを点検するために用いられ る。,
49,次の文は，対比試験片について述べたものである。正しいものを選べ。,浸透時間を求めるために用いられる。,連続して使用している探傷剤の性能が低下していないことを点検するために用いられる。,めっき割れ試験片で検出したきずの深さは試験体でのきずの深さの保証値である。,アルミ焼割れ試験片は繰返しの使用によっても，試験片の性能劣化が起こりにくい。,めっき割れ試験片は使い捨てである。,b,対比試験片は，探傷剤の性能を比較するためと，連続して使用して いる探傷剤の性能が低下していないことを点検するために用いられ る。,
50,次の文は，タイプ3 対比試験片について述べたものである。正しいものを選べ。,加熱急冷を利用するので，割れの寸法を調整することは容易である。,試験片の製作が比較的難しい。,試験片の割れの形状が自然の割れに近い。,繰返しの使用によっても，試験片の性能劣化が起こりにくい。,,c,割れ寸法の調整が難しい。試験片の製作が簡単である。繰返しの使 用で性能が劣化する。,
51,次のうち，浸透探傷試験を行う前に把握しておく試験体の確認事項はどれか。正しいものを選べ。,試験の対象となる試験体の材料や寸法，形状，表面状態及び使用条件の情報,試験の対象となる試験体の材料や形状，表面及び内部きずの情報,試験の対象となる試験体の形状と表面状態のみの情報,試験の対象となる試験体の材料と大きさ，表面状態及び内部きずの情報,,a,適確な浸透探傷試験を行い信頼度の高い評価をするためには，試験 の対象となる試験体の材料や寸法，形状，表面状態によって適切な 試験方法が選択され，適切な手順で試験が適確に行わなければなら ない。,
52,次のうち，主として発注者が発行する文書はどれか。正しいものを選べ。,手順書と要領書,手順書と指示書,指示書,仕様書,要領書,d,仕様書：顧客が組織に要求内容を提示する文書。仕様書には適合すべ き法規，規格，作業の方法，手段が記述されている。 手順書（要領書）：仕様書の要求事項を確認するための文書。目的を達 成するための順序を一々名前を挙げて詳細に記した文書で，使用すべ き方法，装置，材料，作業の順序，判定基準及び試験記録について記 述されている。レベル3 の技術者が作成する。 指示書：非破壊検査技術者が間違いなく探傷できるようにするた め，NDT 手順書で記述されていないような部分で重要，詳細な探傷 方法等を確実に行えるよう順を追って具体的に記述されたものであ る。レベル2 以上の技術者が作成する。,
53,次のうち，誰がやっても同じ結果が得られるように具体的に分かりやすく作業の内容を示した り，作業手順に従って，順を追って作業を進める際の注意事項を示したりする文書はどれか。正し いものを選べ。,指示書,手順書,要領書,仕様書,,a,仕様書：顧客が組織に要求内容を提示する文書。仕様書には適合すべ き法規，規格，作業の方法，手段が記述されている。 手順書（要領書）：仕様書の要求事項を確認するための文書。目的を達 成するための順序を一々名前を挙げて詳細に記した文書で，使用すべ き方法，装置，材料，作業の順序，判定基準及び試験記録について記 述されている。レベル3 の技術者が作成する。 指示書：非破壊検査技術者が間違いなく探傷できるようにするため， NDT 手順書で記述されていないような部分で重要，詳細な探傷方法等 を確実に行えるよう順を追って具体的に記述されたものである。レベ ル2 以上の技術者が作成する。,
54,次は，どの浸透探傷試験方法を選択するか決める場合に考慮する項目を示したものである。正し いものを選べ。,試験体の温度,試験体内部のきずの有無,試験体の表面粗さ,試験体の材質,,c,浸透探傷試験の選択は，あらゆる角度から見て優劣を総合的に評価 して決める。 試験体の重要性・材質と大きさ・処理数量・試験面の粗さ・予測さ れるきずの種類と大きさ・試験環境（屋内外，換気，大気の有無）・ 電源や水道の有無・探傷剤の性能・作業性・経済性など。 選択肢の中で最も影響度の高いのは，表面粗さである。,
55,次の文は，探傷方法を決定するために考慮する項目について述べたものである。最も正しいもの を選べ。,試験体の材質と大きさ,検出すべききずの種類と大きさ,試験を行う環境,作業性及び経済性,,b,試験方法の決定で最も重要なことは，きずの検出である。,
