id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
11,次の文は、超音波探傷における波長の影響について述べたものである。正しいものを選べ。,波長が長いほど、小さいきずを見つけやすい。,波長が短いほど、金属中における散乱減衰が大きくなる。,波長が短いほど、近距離音場限界距離は短くなる。,波長が長いほど、指向角は小さくなる。,b,a)波長が短いほど小さいきずを見つけやすい。 b)正しい c) 波長が短いほど近距離音場限界距離は長くなる。χ ＝D２/4λ ０ d)波長が長いほど指向角は大きくなる。φ ＝70×λ/D ０,
12,次の文は、超音波の伝達特性について述べたものである。正しいものを一つ選び、記号で答えよ。,探傷面が粗い試験体では平滑な試験体に比べ、他の条件が同じ場合であっても、きずエコー高さは低く なる。,標準試験片のように表面が平滑な試験片では、接触媒質の種類を変えると、エコー高さは大きく異なる。,標準試験片のように表面が平滑な試験片の垂直探傷では、接触媒質層の厚さの変動によるエコー高さ の差は少ない。,探傷面が粗い試験体の超音波探傷では、周波数が低い方が感度の低下量は大きくなる。,a,きずの検出に関して、表面粗さの影響が大きく関わっている。これは 探触子の接触面における接触媒質の層が一様でないことが原因とし て挙げられる。探傷面が粗い試験体では、平滑な試験体に比べて感度 の低下量が大きくなり、きずｴｺｰ高さは低くなる。表面が平滑な場合 でも接触媒質層の厚さが厚いとｴｺ-高さは低くなり、差は大きい。,
13,次の文は、縦波と横波について述べたものである。正しいものを一つ選び、記号で答えよ。,横波は、せん断波とも呼ばれている。,グリセリンペーストを用いれば横波垂直探触子から発生した横波を直接試験体中に伝搬させることが できる。,横波垂直探触子では縦波と横波が同時に発生している。,横波垂直探触子から発生する横波は、縦波からのモード変換によって試験体中に伝搬している。,a,横波垂直探触子は横方向に振動する圧電素子で横波を発生するた め、油やｸﾞﾘｾﾘﾝでは横波を伝搬させることができない。このため、 横波伝搬用専用の接触媒質を用いる。,
14,次の文は、表面波について述べたものである。正しいものを一つ選び、記号で答えよ。,表面波とは、水浸法において試験体表面で反射された波のことである。,鋼中の表面波の音速は、横波の音速に近く、その約０.９倍である。,表面波の振動方向は、縦波と同一である。,表面波は物質の表面に沿って伝搬する波であり、表面に開口した割れが存在すると超音波は１００％反 射される。,b,ｱｸﾘﾙ中の縦波の入射角を横波の臨界角にすると、横波の屈折角が 90°になり表面波が発生する。 表面波は表面近傍だけにｴﾈﾙｷﾞが集中して伝わる波で縦振動(疎密) と横振動(横ずれ)を混合したような挙動を示す。表面波の音 速は鋼の場合2980m/s であり、横波3230m/s のおよそ0.9 倍とな る。（2980/3230≒0.9）,
15,次の文は、鋼板の板波探傷について述べたものである。正しいものを一つ選び、記号で答えよ。,厚さ3mm 程度の薄板の探傷には、板波が利用される。,板波を発生させるには、SH 波探触子を使用する。,板波には、対称モードと非対称モードがあるが、それぞれ異なった一定の音速であるので、入射角を 変化させていずれかのモードにして探傷する。,板波探傷には、板波探傷用の特殊な接触媒質を使用する。,a,板波は、板材中を伝搬する波で、平行な2 つの表面の存在により発生 する波である。減衰が少なく、長距離を伝搬して広範囲を効率的に探 傷できる特徴を有している。主に薄板中を伝搬させる波として使用 される。板波は、Lamb 波（ﾗﾑ波）とSH 板波の2 種類に分類され、ﾗﾑ 波は対称(S)ﾓｰﾄﾞと非対称(A)ﾓｰﾄﾞがあり、周波数によって音速が異 なる速度分散性と多くの振動ﾓｰﾄﾞがある多ﾓｰﾄﾞという特徴を有して いる。,
16,次の文は、ｸﾘｰﾋﾟﾝｸﾞ波について述べたものである。正しいものを一つ選び、記号で答えよ。,ｸﾘｰﾋﾟﾝｸﾞ波は、余り減衰しないので、伝搬距離の長い部位の探傷が可能である。,ｸﾘｰﾋﾟﾝｸﾞ波は、縦波屈折角を80 度程度にしたときに表面を伝搬する縦波のことである。,ｸﾘｰﾋﾟﾝｸﾞ波は、横波屈折角を90 度になるようにしたとき、最もよく伝搬する。,裏面で発生する2 次ｸﾘｰﾋﾟﾝｸﾞ波を用いると、X 開先溶接部の内部きずを検出することができる。,b,ｸﾘｰﾋﾟﾝｸﾞ波とは、振動様式で言えば縦波である。屈折角が90 度に 近い状態で伝搬する縦波をｸﾘｰﾋﾟﾝｸﾞ波と呼んでいるだけで、 ｸﾘｰﾋﾟﾝｸﾞ波探触子は、特殊な振動様式の波を送受信するものでは ない。したがって、ｸﾘｰﾋﾟﾝｸﾞ波探触子は、屈折角が大きい（80 度前 後）縦波斜角探触子であり、もちろん横波も発生している。表面及 び表面近傍のきずの検出、例えば溶接部の止端割れなどの検出に良 いとされている。,
17,次の文は、各種の超音波について述べたものである。正しいものを一つ選び、記号で答えよ。,横波は、超音波が伝搬する媒体の粒子の振動方向が、振動の伝わっていく方向と同じ方向になってい る波であり、一般的にはモード変換によって発生させている。,縦波は、超音波が伝搬する媒体の粒子の振動方向が、振動の伝わっていく方向と垂直になっている波 であり、固体中のみ伝搬する。,表面波は、材料の表面層だけ伝搬する波で、表面から1/10 波長分の非常に浅い層にエネルギの大部 分が集中している波である。,クリーピング波は、縦波屈折角が80 度に近いとき、材料中の表面に沿って伝搬し、波動様式は縦波 である。,d,"横波は、粒子の振動方向が振動の伝わる方向と直角になっている波 で、縦波は、粒子の振動方向が、振動の伝わる方向と一致している 波である。よってa),b)は誤り。 表面波は、その表面に波動ｴﾈﾙｷﾞが集中して振動し、伝搬していく波 で、表面から1 波長分の非常に浅い層にｴﾈﾙｷﾞの約9 割が集中してい る。よってc)も誤り。 ｄ）が正しい。",
18,次の文は、垂直探触子の近距離音場限界距離以遠での中心軸上の超音波の音圧について述べたもので ある。正しいものを一つ選び、記号で答えよ。,中心軸上の音圧は、振動子の面積に比例し、波長及び距離に反比例する。,中心軸上の音圧は、振動子の面積及び波長に比例し、距離に反比例する。,中心軸上の音圧は、振動子の面積及び距離に比例し、波長に反比例する。,中心軸上の音圧は、振動子の面積に反比例し、波長及び距離に比例する。,a,中心軸上の音圧分布における遠距離音場分布は、中心軸上の距離の 増加と共に単調減少するが、次式にて音圧P の近似値を得ることが できる。P=(A/λχ)×P A:振動子の面積、λ：波長、χ：距離 0 この式からも分かるように、振動子の中心軸上の音圧は、遠距離音 場では、振動子の面積A に比例し、距離χ及び波長λに反比例してい る。,
19,"次の文は、音圧反射率について述べたものである。 に適する数値を解答群より一つ選び、記号で 答えよ。ただし計算結果は小数点以下第2 位を四捨五入せよ。 水浸法で鋼材を周波数5MHz の探触子で垂直探傷を行なった。この時の鋼材表面における音圧反射 率は ％となる。なお、各材料の音速と密度は次のとおりである。 材 質 炭 素 鋼 水 音 速 ５,９００m/s １,４８０m/s 密 度 ７.９g/cm３ １.０g/cm３",0.9,88.0,93.8,96.8,c,"音圧反射率ｒ ＝P /P ＝(Z －Z )/(Z ＋Z )より １→２ Ｒ Ｉ ２ １ １ ２ 水：Z ＝ρ×C=1,000×1,480＝ 1.48×10６kg/ｍ２ｓ １ 1 1 鋼：Z ＝ρ×C=7,900×5,900＝46.61×10６kg/ｍ２ｓ ２ 2 2 (46.61×10６-1.48×10６)/(1.48×10６＋46.61×10６)＝0.9384→ 93.8%",
20,次の文は、アクリル樹脂と鋼との平らな境界面にアクリル樹脂側から縦波超音波が斜め入射した場合に ついて述べたものである。正しいものを一つ選び、記号で答えよ。,入射角が縦波臨界角より小さい場合、鋼中には屈折横波だけが伝搬する。,入射角が縦波臨界角より小さい場合、鋼中には屈折縦波だけが伝搬する。,入射角が縦波臨界角より小さい場合、鋼中には屈折縦波と屈折横波が伝搬する。,入射角が縦波臨界角より小さい場合、鋼中には屈折縦波も屈折横波も伝搬しない。,c,縦波臨界角α ＝sin-（1 C/C ×sin90°）＝sin-（1 2730/5900）≒27.6° LC 1 Ｌ 横波臨界角α ＝sin-（1 C/C ×sin90°）＝sin-（1 2730/3230）≒57.7° SC 1 Ｓ C:アクリル樹脂中の縦波音速(m/s)、C：鋼材中の縦波音速(m/s) 1 L C：鋼材中の横波音速(m/s) ＊ﾃｷｽﾄⅡP16 図2.20 を参照 S 縦波臨界角と横波臨界角の関係を図に表わすと下図のようになる。 よって、入射角が縦波臨界角より小さい場合、鋼中には 屈折縦波、屈折横波の両方が伝搬する。 また、入射角が縦波臨界角と横波臨界角の間にある場合、鋼中には 屈折横波だけが伝搬する。,
21,"次の文は、アルミニウム溶接部の斜角探傷について述べたものである。［１］～［３］に適する数値をそ れぞれ一つ選び、記号で答えよ｡ 板厚が25ｍｍのアルミニウム合金の突合せ溶接部を5Z10×10A70（STB 屈折角71.0 度）を用いて測定範 囲を200ｍｍにして探傷したところ、図１の探触子位置で最大エコー高さを示し、図２の探傷図形が得 られた。測定範囲の調整および屈折角の測定はSTB-A1（縦波音速5,900m/s、横波音速3,230m/s）を用 いて行い、特に補正を加えていない。 ただし、答えの小数点以下第２位を四捨五入せよ。なお、このア ルミニウム合金中の縦波音速を6,380m/s、横波音速を3,150m/s とする。 1) この探触子のアルミニウム合金中の屈折角は［１］度となる。 2) きずの位置を計算せよ。 きずの深さ位置［２］ｍｍ 溶接の中心からのずれ ：［３］ｍｍ（右の場合は－、左の場合は＋とする）",30.3,67.2,71.0,75.8,b,(1)ｱﾙﾐﾆｳﾑ合金中の屈折角 θ ＝ sin－１（ sin71.0 ﾟ×3150／3230）＝67.2 ﾟ ＡＬ ※C ：ｱﾙﾐﾆｳﾑ合金中の横波音速、C ：鋼中の横波音速 ＡＬ Ｆｅ (2)きずの位置：表示器上のﾋﾞｰﾑ路程は100mm であるから Ｗ ＝(C ／C ）× Ｗ ＝（3150/3230）×100＝97.52mm ＡＬ ＡＬ Ｆｅ Ｆｅ きずの深さ位置をｄとすると ｄ＝2t－Ｗ cosθ ＝2×25-97.5×cos67.2°＝12.2mm ＡＬ ＡＬ 探触子－きず距離をｙとすると ｙ＝Ｗ sinθ ＝97.5×sin67.2＝89.9mm ＡＬ ＡＬ Ｙ－ｙ＝91-89.9＝1.1mm→左側＋1.1mm,ut_2022_04_q21.png
22,次の文中は、角部における超音波の反射について述べたものである。 に適する数字を一つ選び、記 号で答えよ。 鋼材中で、横波超音波が図1 のように直角な角に入射角６８°で入射するとき、図２を利用して ２回の反射による音圧反射率を求めると ％となる。,13,20,42,83,c,ｺｰﾅｰ部の反射では底面及び端面で 2 回反射が起こる。68°の入射角 で横波超音波がｺｰﾅｰ部の底面に入射した場合、端面での入射角は 22°となる。よって 2 回の反射による音圧反射率は、図 2 のｸﾞﾗﾌで 横波入射角22°の音圧反射率を求めると、42％または43%となる。,ut_2022_04_q22.png
23,次の文は、遅れエコーについて述べたものである。正しいものを一つ選び、記号で答えよ。,円柱材の試験体を側面から垂直探傷したとき、モード変換が原因で遅れエコーが現われる。,遅れエコーは、指向角が鋭いほど発生しやすい。,幅の広い試験体を垂直探傷した場合、底面エコーの後に一定間隔で遅れエコーが現われる。,幅が狭く長い試験体を長手方向に垂直探傷し、きずエコーを検出した場合、きずからの遅れエコーが 発生する場合がある。,d,超音波の拡がりに比べて、幅の狭い被検体の軸方向面に探触子を配 置すると、超音波が伝搬方向に垂直な側面に当たってﾓｰﾄﾞ変換を起 こし、遅れｴｺｰと呼ばれるｴｺｰが現われる。垂直探触子を用いて細長い 材料の端から軸方向に向かって超音波を送信すると、直進する超音 波もあれば、超音波の拡がりで側面に斜め入射した成分が反射し、 ﾓｰﾄﾞ変換が生じるものもある。 超音波ﾋﾞｰﾑが側面にあたってﾓｰﾄﾞ変換を起こすと、速度の遅い横波 で伝搬するため、必ず底面ｴｺｰよりも遅れて一定間隔で受信される。,
25,次の文は、円柱面エコーの発生原因について述べたものである。正しいものを一つ選び、記号で答えよ。,探触子の接触面積が大きくなり、指向角が小さくなった。,探触子の接触面積が大きくなり、指向角が大きくなった。,探触子の接触面積が小さくなり、指向角が大きくなった。,探触子の接触面積が小さくなり、指向角が小さくなった。,c,指向角 ψ ＝70λ/D(D：振動子直径) 丸棒の側面に探触子を接触 ０ させると接触面積が小さくなるため(見かけの振動子寸法が小さく なる)指向角が大きくなり丸棒側面から超音波が反射し円柱面ｴｺｰが 発生しやすくなる。,
27,次の超音波探触子のうち、一般的によく使用されているものを一つ選び、記号で答えよ。,水晶,ファインセラミックス,ジルコンチタン酸鉛,ニオブ酸リチウム,c,ジルコンチタン酸鉛系の振動子は、感度が高く、多くの探触子に採用 されており、PZT なる商標名の振動子は有名である。,
28,次の文は、超音波探触子の振動子材料の機能について述べたものである。正しいものを一つ選び、記号 で答えよ。,超音波の振動が振動子に伝わると、光電効果により電子が発生し、電気信号を得ることができる。,振動子に電圧が印加されると、逆圧電効果により超音波が発生する。,振動子に交流電流が流れることにより、電磁誘導現象により超音波が発生する。,超音波の振動が振動子に伝わると、温度が上昇し、熱起電力により電気信号を得ることができる。,b,探触子には、超音波ﾊﾟﾙｽの送受信を担う振動子が組み込まれている。 振動子には種々の材料があり、圧電現象、逆圧電現象を利用してい る。これらを圧電効果と呼んでいる。圧電効果を呈する材料を圧電材 料と呼ぶがこの圧電材料が振動子の材料として使われている。この 振動子に瞬間的に高い電圧を加えて振動させることで超音波が発生 している。,
29,次の文は、圧電効果について述べたものである。正しいものを一つ選び、記号で答えよ。,圧電効果は、圧力をかけると超音波が発生する現象である。,電圧をかけると圧力が発生する現象は、電圧力効果という。,圧電効果は、どんなセラミックスでも有する特長である。,圧電効果は、ピエゾ効果とよばれ、圧力をかけると電圧が発生する現象である。,d,探触子には、超音波パルスの送受信を担う振動子が組み込まれてい る。振動子には種々の材料があり、圧電現象、逆圧電現象を利用して いる。これらをまとめて、圧電効果又はピエゾ効果という。 ｾﾗﾐｯｸｽ（磁器）は酸化物等の無機物の焼結体である。代表的な圧電材 としてｼﾞﾙｺﾝﾁﾀﾝ酸鉛があるが、圧電効果はどんなｾﾗﾐｯｸｽでも有する 特徴ではない。,
30,次の垂直探触子のうち、指向角(φ0)の最も大きな探触子はどれか、正しいものを一つ選び、記号で答 えよ。,５Ｚ２０Ｎ,２Ｚ２０Ｎ,３Ｃ１５Ｎ,２Ｚ３０Ｎ,b,波長 λ＝C/ｆ（C：音速、ｆ：周波数） 指向角 φ＝70λ/D （D：振動子直径） 0 E E この式により低い周波数で、かつ、振動子直径の小さいものほど指向 角は大きくなる。,
31,次の文は、超音波ビームの指向性について述べたものである。正しいものを一つ選び、記号で答え よ。,周波数が高くなると指向角は小さくなる。,波長が長くなると指向角は小さくなる。,媒質の音速が速くなると指向角は小さくなる。,振動子の直径が小さいと指向角は小さくなる。,a,指向角φ は、振動子の直径D と波長λにより次式で表される。 ０ E 指向角 φ＝70λ/D 0 E 題意より、指向角φ が小さくなる条件は、振動子の直径Ｄ が大き ０ Ｅ いか、波長λが短い場合に指向角φ は小さくなる。 ０ また波長λはλ＝C/ｆで求まり、λが短くなる条件は、周波数ｆが高 いか、材料の音速Ｃが遅い場合にλは短くなり、指向角φ も小さく ０ なる。,
32,次の文は、正方形の探触子を有する斜角探触子の指向角について述べたものである。正しいものを一つ 選び、記号で答えよ。,５Ｚ１０×１０Ａ７０の場合、鋼の試験体中では上下方向と左右方向の指向角が等しい。,５Ｚ１０×１０Ａ７０の場合、鋼の試験体中では上下方向に比べて、左右方向の指向角が小さい。,５Ｚ１０×１０Ａ７０の場合、鋼の試験体中では左右方向に比べて、上下方向の指向角が小さい。,５Ｚ１０×１０Ａ４５の場合、鋼の試験体中では上下方向と左右方向の指向角が等しい。,b,斜角探触子の場合、試験体中における指向性は、見掛けの振動子の大 きさは左右方向では変わらないが、上下方向が小さくなる為、鋼の試 験体中では上下方向に比べて、左右方向の指向角のほうが小さくな る。,
33,次の垂直探触子のうち、近距離音場限界距離の最も長い探触子はどれか。正しいものを一つ選び、記号 で答えよ。,１０Ｃ５Ｎ,３Ｚ１０Ｎ,２Ｃ１５Ｎ,５Ｚ２０Ｎ,d,近距離音場限界距離χ０は次式で示される。 χ０＝D２/４λ＝D２ｆ/４C、ここでD：円形探触子の直径、 ｆ：周波数、λ：伝達媒質中の波長、C：伝達媒質中の音速,
34,次の文は、超音波ビームの規準化距離(n)について述べたものである。 に適する数値を一つ選 び、記号で答えよ。 鍛鋼品を2Z20N で垂直探傷し、ビーム路程205mm のところにきずを検出した。このビーム路程を規準化 距離に換算すると、ｎは である。ただし、鋼中の縦波音速を5900m/s とする。,2.4,4.8,6.0,6.5,c,DGS 線図の横軸は、近距離音場限界距離χ を用いて規準化した距離 ０ で表す。ｎ＝χ /χ は反射源までの、ｎ ＝χ /χ は底面までの Ｆ ０ Ｂ Ｂ ０ 規準化距離である。ﾋﾞｰﾑ路程205mm の所にきずを検出したのでχ Ｆ が205mm となり、近距離音場限界距離χ はχ ＝D２/4λで求める ０ ０ と、使用探触子が2MHz なので波長λは5.9/2=2.95mm なので χ ＝D２/4λ=400/4×2.95=33.9mm であるから、 ０ ｎ＝χ /χ ＝205/33.9=6.0 となる ⇒ ｃ） Ｆ ０,
