id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
11,次は材料に加える磁界と材料中の磁束密度の関係を表わす式について示したものである。正しいもの を選べ。ただし､H:磁界の強さ（A/m）､B:磁束密度（T）、σ:導電率（S/m）、μ:透磁率（H/m）である。,𝐻= 𝜇𝜎𝐵,𝐵＝𝜇𝐻,𝐻＝𝜎𝐵,𝐵＝𝜎𝐻,,b,14P 2.3.4 b)が正しい。 補＞透磁率μ（単位H/m）＝比透磁率μr（無名数，単位がない）×真空中の透磁率μ0（単位H/M）， 真空中の透磁率μ0＝4π×10-7（H/M）である。,
12,次の式は，真直ぐな電線に電流I（A）が流れているとき，電線中心からr（m）離れた点の磁界の強さ H（A/m）を表わすものである。次の中から正しいものを一つ選び，記号で答えなさい。,𝐻＝2𝜋𝑟/𝐼,𝐻＝𝐼/2𝜋𝑟,𝐻＝1/2𝜋𝑟,𝐻＝𝑟𝐼/2𝜋,,b,14P 2.3.3 図2.3.5および式2.25 アンペアの周回積分の法則（磁粉探傷試験レベル2 テキストより）：磁界の強さが一定H[A/m]のところを 一周したときの経路の長さをℓ[m]とするとき，Hℓ=I が成り立つ。 ℓは半径r の円の円周なので2πr。従って，H＝𝐼ℓ= 𝐼2𝜋𝑟 ⁄ ⁄ となる。 補＞以下も理解しておくこと。 円形電流の中心の磁界：図2.3.5 および2.24 式 𝐻＝𝐼2𝑟 ⁄ 直線電流の磁界：図2.3.3 および2.25 式 𝐻＝𝐼2𝜋𝑟 ⁄ 長いソレノイドコイル内の磁界：図2.3.6 および2.26 式 𝐻= 𝑛𝐼 「Ｉ」と「１」を間違えぬように。,
13,オイラーの公式はどれか。正しいものを選べ。,𝑒𝑗𝜃= sin 𝜃+ 𝑗sin 𝜃,𝑒𝑗𝜃= 𝑠𝑖𝑛⁡ 𝜃+ 𝑗𝑐𝑜𝑠𝜃,𝑒𝑗𝜃= cos 𝜃+ 𝑗𝑐𝑜𝑠𝜃,𝑒𝑗𝜃= cos 𝜃+ 𝑗sin 𝜃,,d,28P 2.6.2 2.67 式 2.67 式より，(d) 𝑒𝑗𝜃= cos 𝜃+ 𝑗sin 𝜃 が正しい。 補＞𝑒−𝑗𝜃= cos 𝜃−𝑗sin 𝜃も正しい。,
14,図は交流正弦波電流i と電圧v の波形を示している。電圧v の位相は電流ｉに対してどのような関係に あるか、正しいものを一つ選べ。,π/2（rad）進んでいる。,π/2（rad）遅れている。,π/4（rad）進んでいる。,π/4（rad）遅れている。,,a,25P 2.6.1 図2.6.2 及び図2.6.4 電流は 𝑖(𝑡) = 𝐼𝑚sin(𝜔𝑡) である。これに対し電圧は同じ周波数（ω = 2πf）の正弦波である。電圧の正 弦波の始点 v(𝑡) = 0 が電流に対し，π/2 だけ左にずれて（位相が進んで）いる。この正弦波は v(𝑡) = 𝑉𝑚sin (𝜔𝑡+ 𝜋 2) で表され，a)が正しい。 注＞電流と電圧，どちらを基準とするかで位相の遅れ，進みの表現が変わるので，注意すること。,et_2022_10_q14.png
15,次の文は，コイルのインダクタンスについて述べたものである。次の中から正しいものを一つ選び，記 号で答えなさい。,コイルの巻数の２乗と媒質の透磁率に反比例する。,コイルの巻数の２乗に反比例し，媒質の透磁率に反比例する。,コイルの巻数の２乗に比例し，媒質の透磁率に反比例する。,コイルの巻数の２乗と媒質の透磁率に比例する。,,d,16P 2.3.5 2.33 式，17P 2.4.1 2.34 式 2.34´式，旧ET2 テキスト1995 版11P 2.32 式 インダクタンスと巻き数の関係の結論は𝐿∝𝑁2であるが，2.33 式 𝑁φ = 𝐿𝐼 はそうならない。 ここでソレノイドコイルを考える。 長さ ℓ [m] ，断面積 S [m2]，単位長さ当たりの巻き数 n [回/m] ，巻き数 N (=nℓ) のコイルがあり， 内部の透磁率 はμ [H/m] とする。流れる電流の大きさを I [A] である。 I [A] の大きさの電流が流れるとき、コイル内部の磁束密度B [Wb/m2] は，ソレノイドコイルでは 2.26 式より， B = μH＝μnI 磁束 Φ [Wb] は，これに断面積 S を掛けたもの， Φ = BS = μnIS 発生する誘導起電力 V [V] は， 𝑉= − 𝑁 𝑑𝛷 𝑑𝑡・・・・2.34 式 Φ＝μnIS のうち変化する量は I であり，N＝nℓだから， 𝑉= − 𝑁 𝑑𝛷 𝑑𝑡= −𝑁 𝜇𝑛𝑆𝑑𝑖 𝑑𝑡 ＝− 𝜇𝑁2𝑆 ℓ ∙ 𝑑𝑖 𝑑𝑡・・・・① 2.34 式は下のようにも表せる。 𝑉= −𝐿 𝑑𝑖 𝑑𝑡・・・・2.34´式 従って，①と2.34´式より， 𝐿＝𝜇𝑁2𝑆 ℓ ゆえに(d)が正しい。 補＞新問題集問2.15 の解説も参照。,
16,抵抗に正弦波交流電流が流れているとき、抵抗両端の電圧に対して電流の位相はどのような関係にあ るか。次のうちから正しいものを一つ選べ。,同位相である。,π/2（rad）進む。,π/2（rad）遅れる。,π（rad）遅れる。,,a,（新問題集に解説あり） 31P 2.6.5 図2.6.11 コイルにはインダクタンスL 分と抵抗R 分があることから，交流回路ではRL 回路といわれる。図2.6.11 は横軸に基準位相として電流位相が示されていて，図中には電圧の位相状態が示されている。𝑉𝑅𝑚は抵 抗だけのときの位相で，横軸と重なっており，電流と同位相となる。𝑉𝐿𝑚はインダクタンスだけのとき の位相状態。これは縦軸に重なっており，電流に対しπ/2（90°）位相が進んでいることを表す。𝑉𝑚は コイル（インダクタンス分と抵抗分がある）の場合の電圧の位相状態を示す。電流よりθ位相が進んで いる。このθはθ = tan−1(𝜔𝐿𝑅 ⁄ )である。 設問は𝑉𝑅𝑚（抵抗だけの場合）に対して電流の位相を問うており，(a)が正しい。,
17,インダクタンスに交流電圧を加えて電流を流したとき、電圧に対する電流の位相はどうなるか。次の うちから正しいものを選べ。,同位相である。,π/2（rad）遅れる。,π/2（rad）進む。,π（rad）遅れる。,,b,（新問題集に解説あり） 31P 2.6.5 図2.6.11 コイルにはインダクタンスL 分と抵抗R 分があることから，交流回路ではRL 回路といわれる。図2.6.11 は横軸に基準位相として電流位相が示されていて，図中には電圧の位相状態が示されている。𝑉𝑅𝑚は抵 抗だけのときの位相で，横軸と重なっており，電流と同位相となる。𝑉𝐿𝑚はインダクタンスだけのとき の位相状態。これは縦軸に重なっており，電流に対しπ/2（90°）位相が進んでいることを表す。𝑉𝑚は コイル（インダクタンス分と抵抗分がある）の場合の電圧の位相状態を示す。電流よりθ位相が進んで いる。このθはθ = tan−1(𝜔𝐿𝑅 ⁄ )である。 設問は𝑉𝐿𝑚（インダクタンスだけの場合の電圧）に対して電流の位相を問うており，b)が正しい。 注＞電流と電圧，どちらを基準とするかで位相の遅れ，進み，の表現が変わるので，注意すること。,
18,次の文は、コイルのインピーダンスについて述べたものである。正しいものを選べ。,インピーダンスは抵抗とインダクタンスからなる。,インピーダンスはインダクタンスとリアクタンスからなる。,インピーダンスは抵抗とリアクタンスからなる。,インピーダンスは抵抗とキャパシタンスからなる。,,c,（新問題集に解説あり） 31P 2.6.5 式2.83 Z = √𝑅2 + (𝜔𝐿)2 Z：インピーダンス，𝑅：抵抗，𝜔𝐿：リアクタンス(オメガ・エル),
19,渦電流探傷試験における試験コイルの正規化インピーダンスは、何の影響が除去されているか。,試験体の導電率,試験周波数とコイルの巻数,試験体の透磁率,充填率,,b,30P 2.6.5 設問は、何の影響が除去されているか。でるが、何の影響を受けないかと理解する。,
20,試験コイル両端における電圧と電流の位相差φはどのような関係で表わされるか。次のうちから正し いものを選べ。ただし、ω：角周波数(rad/s)、L：インダクタンス(H)、R：抵抗(Ω)とする。,φ＝tan-1(R/ωL),φ＝tan-1(ωL/R),φ＝tan-1(ωL- R）,φ＝tan-1(ωL+ R）,,b,31P 2.6.5 図2.6.11 図2.6.12 2.84 式 コイルにはインダクタンスL 分と抵抗R 分があることから，交流回路ではRL 回路といわれる。図2.6.11 は横軸に基準位相として電流位相が示されていて，図中には電圧の位相状態が示されている。𝑉𝑅𝑚は抵 抗だけのときの位相で，横軸と重なっており，電流と同位相となる。𝑉𝐿𝑚はインダクタンスだけのとき の位相状態。これは縦軸に重なっており，電流に対しπ/2（90°）位相が進んでいることを表す。𝑉𝑚は コイル（インダクタンス分と抵抗分がある）の場合の電圧の位相状態を示す。電流よりθ°位相が進ん でいる。このθはθ = tan−1(𝜔𝐿𝑅 ⁄ )である。 設問は，コイルの𝑉𝑚（インダクタンス分𝐿と抵抗分𝑅がある場合の電圧）の位相θで，θ = tan−1(𝜔𝐿𝑅 ⁄ ) で表される。図2.6.11 のとおり，θ＝0°が電流の位相なのでθは電流と電圧の位相差を表す。b)が正 しい。 注＞位相差の変数記号として，θ，φはよく使われる。 6.42 と近似している。,
21,試験コイル両端における電圧と電流の位相差φはどのような関係で表わされるか。次のうちから正し いものを選べ。ただし、ω：角周波数(rad/s)、L：インダクタンス(H)、R：抵抗(Ω)とする。,tanφ＝R/ωL,tanφ＝ωL/R,tanφ＝ωL- R,tanφ＝-ωL+ R,,b,31P 2.6.5 図2.6.11 図2.6.12 2.84 式 コイルにはインダクタンスL 分と抵抗R 分があることから，交流回路ではRL 回路といわれる。図2.6.11 は横軸に基準位相として電流位相が示されていて，図中には電圧の位相状態が示されている。𝑉𝑅𝑚は抵 抗だけのときの位相で，横軸と重なっており，電流と同位相となる。𝑉𝐿𝑚はインダクタンスだけのとき の位相状態。これは縦軸に重なっており，電流に対しπ/2（90°）位相が進んでいることを表す。𝑉𝑚は コイル（インダクタンス分と抵抗分がある）の場合の電圧の位相状態を示す。電流よりθ°位相が進ん でいる。このθはθ = tan−1(𝜔𝐿𝑅 ⁄ )である。 設問は，コイルの𝑉𝑚（インダクタンス分𝐿と抵抗分𝑅がある場合の電圧）の位相θで，θ = tan−1(𝜔𝐿𝑅 ⁄ ) で表される。図2.6.11 のとおり，θ＝0°が電流の位相なのでθは電流と電圧の位相差を表す。b)が正 しい。 注＞位相差の変数記号として，θ，φはよく使われる。 問題集はφ＝ の式であったが tanφ＝ に変わった。 6.42 と近似している。,
22,次はコイルのインピーダンスに関する関係式を示す。ただし、R：抵抗、L：インダクタンス、Z：イ ンピーダンス、θ：位相、f：周波数、ω：角周波数（＝2πf）である。,θ＝tan-1 （ωL/R）,tanθ＝（R/ωL）,Z ＝√R＋ωL,Z 2 ＝ R 2 ＋ωL 2,,a,31P 2.6.5 式2.82，式2.83，式2.84 (a) tan 𝜃＝ 𝜔𝐿 𝑅 の式は，書き直すとθ＝tan−1 𝜔𝐿 𝑅となり正解。〇 (b) 同上。☓ (c) 𝑍= 𝑉𝐼 ⁄ が正しい式。☓ (d) Z = √𝑅2 + (𝜔𝐿)2 が正しい式。☓,
25,試験周波数が10kHｚのとき，試験コイルの抵抗が3.0Ω，インダクタンスが63.7μH であった。試験 コイルのインピーダンスは何Ωとなるか。次のうちから正しいものを一つ選び，記号で答えよ。,2.6,5.0,16.0,25.0,,b,31P 2.6.5 2.83 式 8.83 式，Z = √𝑅2 + (𝜔𝐿)2 = √𝑅2 + (2𝜋𝑓𝐿)2よりR=3Ω，L=63.7×10-6H，f=10×103Hz を代入すると，Z ≅ 5Ω，(b)が得られる。,
26,一定の交流電圧を加えた試験コイルに非磁性導体を近づけたとき，コイルのインピーダンスはどう変 化するか。次のうちから正しいものを一つ選び，記号で答えなさい。,リアクタンスの増加とともに抵抗は増加する。,リアクタンスの増加とともに抵抗は減少する。,リアクタンスの減少とともに抵抗は増加する。,リアタタンスの減少とともに抵抗は減少する。,,c,（新問題集に解説あり） 54P 4.3.2 図4.3.2，62P 4.5.1 図4.5.1 図4.3.2(b)に示される方向（時計でいう4 時の方向）。 また，図4.5.1 において，同じf/fc で，充填率が大きくなる方向へ変化する。（時計でいう4 時の方向）。 補＞54P の4.3.2 項の解説のとおり，非磁性体を試験コイルの中にセット(挿入)すると抵抗は増加し、リ アクタンスは減少する。一方，試験体を遠ざけた場合はこの逆となる。 なお，図4.5.1 の縦軸は，58P4.3.4 項に示す複素インピーダンス𝑍= 𝑅+ 𝑗𝜔𝐿の虚数部（imag ；リアクタ ンス𝑗𝜔𝐿）を𝑍0正規化したもの，横軸は実部（rial；抵抗𝑅）を𝑍0で正規化したものとなっている。また， 59P，図4.3.6 などでは正規化インピーダンスとして，4.19 式のようにω𝐿0で正規化している。どちらも 縦軸はリアクタンスの変化，横軸は抵抗の変化として考えること。,
27,空心の試験コイルに非磁性導体を挿入したとき，試験コイルのインピーダンスはどのように変化する か。次にうちから正しいものを一つ選べ。,試験コイルの抵抗とリアクタンスが共に増加する。,試験コイルの抵抗が増加し，リアクタンスが減少する。,試験コイルの抵抗が減少し，リアクタンスが増加する。,試験コイルの抵抗とリアクタンスが共に減少する。,,b,54P 4.3.2 図4.3.2，62P 4.5.1 図4.5.1 図4.3.2(b)に示される方向（時計でいう4 時の方向）。 また，図4.5.1 において，同じf/fc で，充填率が大きくなる方向へ変化する。（時計でいう4 時の方向）。 補＞54P の4.3.2 項の解説のとおり，非磁性体を試験コイルの中にセット(挿入)すると抵抗は増加し、リ アクタンスは減少する。一方，試験体を遠ざけた場合はこの逆となる。 なお，図4.5.1 の縦軸は，58P4.3.4 項に示す複素インピーダンス𝑍= 𝑅+ 𝑗𝜔𝐿の虚数部（ imag ；リアク タンス𝑗𝜔𝐿）を𝑍0正規化したもの，横軸は実部（ rial；抵抗𝑅）を𝑍0で正規化したものとなっている。ま た，59P，図4.3.6 などでは正規化インピーダンスとして，4.19 式のようにω𝐿0で正規化している。どち らも縦軸はリアクタンスの変化，横軸は抵抗の変化として考えること。,
28,次の文は、非磁性金属に接している試験コイルを、金属から遠ざけた場合に起こるコイルのインピー ダンス変化について述べたものである。正しいものを一つ選べ。,抵抗は増加し、リアクタンスも増加する。,抵抗は増加し、リアクタンスは減少する。,抵抗は減少し、リアクタンスは増加する。,抵抗は減少し、リアクタンスも減少する。,,c,62P 4.5.1 図4.5.1 図4.5.1 において，同じf/fc で，充填率が小さくなる方向。（時計でいう10 時の方向）。 図の縦軸はリアクタンス(ωL)、横軸は抵抗を示している。 補＞非磁性体を貫通コイルの中にセット(挿入)すると抵抗は増加し、リアクタンスは減少する。 （レベルⅠテキスト26P より） 従って遠ざけた場合は、この逆となる。,
29,図は貫通コイルに非磁性の金属棒を挿入したときの コイルのインピーダンス曲線を示す。棒の外径が小さくなる とＡ点からどの方向に変化するのか。正しいものを一つ選び 記号で答えよ。,１,２,３,４,,a,"57P 4.3.3，58P 4.3.4，62P 4.5.1 図の1 と3 はコイルと試験体の結合度すなわち充填率による変化を示しており,3 は充填率が増加した 場合であり, 1 は充填率が減少した場合である。2 はコイル内に挿入した試験体の導電率σ が減少した 場合, 又は周波数f を下げた場合の移動方向を示しており,4 は試験体の導電率σ が増加した場合, 又 は周波数f を上げた場合の移動方向を示している。したがって, 貫通プローブに挿入した金属棒の外径 が小さくなるということは充填率が低下する方向なので，正解は（a）となる。",et_2022_10_q29.png
30,貫通コイル内の試験体の直径が小さくなったとき、コイルの正規化インピーダンスはどのように変化 するか。次のうちから正しいものを選べ。,"点（0,0）の方向に変化する。","点（1,0）の方向に変化する。","点（0,1）の方向に変化する。","点（1,1）の方向に変化する。",,c,62P 4.5.1 図4.5.1 図4.5.1 において周波数f/fc がある値のとき，充填率が小さくなる方向はおおむね10 時の方向。 点（0，1）の方向に向かう。 点（1，1）は、2 時の方向 点（1，0）は、4 時の方向 点（0，0）は、8 時の方向である。,et_2022_10_q30.png
31,図は非磁性体丸棒を貫通コイルに挿入したときの、正規化インピーダンス曲 線を示す。点Ｐの状態から周波数を高くすると、正規化インピーダンスはど の方向に変化するか。次のうちから正しいものを選べ。,Ａ,Ｂ,Ｃ,Ｄ,,c,58P 4.3.4，62P 4.5.1 図4.5.1 図4.5.1 に，導電率σの変化の方向が示されている。これは試験周波数（f/fc）の変化と同じ方向である。 (c)が正しい。 補＞なお，図4.5.1 の縦軸は，複素インピーダンス𝑍= 𝑅+ 𝑗𝜔𝐿の虚数部（ imag ；リアクタンス𝑗𝜔𝐿）を 𝑍0で正規化したもの，横軸は実部（ rial；抵抗𝑅）を𝑍0で正規化したものとなっている。また，59P，図 4.3.6 などでは正規化インピーダンスとして，4.19 式のようにω𝐿0で正規化している。どちらも縦軸はリ アクタンスの変化，横軸は抵抗の変化として考えること。,et_2022_10_q31.png
32,図は非磁性体丸棒を貫通コイルに挿入したときの，正規化インピ ーダンス曲線を示す。点 P の状態から周波数を高くすると，正規 化インピーダンスはどの方向に変化するか。次のうちから正しい ものを一つ選び記号で答えよ。,A,B,C,D,,c,"62P 4.5.1 図4.5.1 図のA はコイル内に挿入した試験体の導電率σ が減少した場合, 又は周波数f を下げた場合の移動方 向を示しており, (a)は不正解である。B 及びD はコイルと試験体の結合度すなわち充填率による変化 を示しており, B は充填率が増加した場合であり, D は充填率が減少した場合であり, (b)及び(d)は不 正解である。C は試験体の導電率σ が増加した場合又は周波数f を上げた場合の移動方向を示してい る。したがって, 正答は(c)となる。 補＞62P 図4.5.1 のf/fc の大きくなる方向に着目する。",et_2022_10_q32.png
33,次の文は金属の抵抗率について述べたものである。正しいもの一つを選べ。,電気抵抗は抵抗率に反比例する。,抵抗率の逆数を導電率という。,抵抗率の単位は（Ω/ｍ）である。,抵抗率は形状によって変化する。,,b,37P 3.2.2(2) 3.9 式 抵抗率の単位は、Ωｍである。,
34,次の文は，金属の電磁気的性質について述べた。正しいものを一つ選び，記号で答えなさい。,冷問加工した鋼を焼鈍すると透磁率は低下する。,鋼を加熱すると、抵抗率は低くなる。,強磁性材は低温で、非磁性の性質を失う。,焼鈍した炭素鋼を冷間加工すると、透磁率は低くなる。,,d,37P 3.2.3 図3.2.2，図3.2.3，図3.2.4 「金属材料概論」2018 15P～ (a) 焼鈍→抵抗率は増加する。⇒答えは☓ (b) 加熱→抵抗率は増加する。⇒答えは☓ (c) キュリー温度以上で非磁性の性質となる。⇒答えは☓ (d) 正しい。⇒答えは○ 注＞問題集3.3-9 の類似問題 「抵抗率」と「透磁率」の読み間違いに注意！！,
35,次の文は，金属の電磁気的性質について述べた。正しいものを一つ選び，記号で答えなさい。,鋼の導電率は温度が上昇すると増加する。,冷問加工した銅線を焼鈍すると抵抗率は減少する。,銅に不純物を添加すると抵抗率は減少する。,焼鈍した炭素鋼を冷間加工すると導電率が高くなる。,,b,"（新問題集に解説あり） 37P 3.2.3 図3.2.2，図3.2.3，図3.2.4 「金属材料概論」2018 15P～ (a) 加熱→抵抗率は増加する。⇒答えは☓ (b) 焼鈍（焼なまし）→ひずみ小→格子欠陥少⇒導電率は大⇒答えは○ (c) 不純物の添加→抵抗率は増加する。⇒答えは☓ (d) 冷間加工→抵抗率は増加⇒答えは☓ 補＞導電率が大→抵抗率は小となる。 導電率が小→抵抗率は大となる。 焼鈍,温度の上昇,不純物の存在,冷間加工により抵抗率は増加する。 注＞焼なまし（焼鈍 ．．．．．．． ） ． ：加工（塑性変形）した金属を加熱し、その後ゆっくり冷却することをという。 結晶格子のひずみを除去する。⇒導電率，透磁率が大きくなる。 冷間加工とは、再結晶温度以下（一般的に常温）で加工（塑性変形）することをいう。",
36,次の金属材料について、透磁率が最も高いものはどれか。次の中から一つ選び、記号で答えなさい。,炭素鋼S45C（焼入れ）,純鉄,炭素鋼S15C（焼なまし）,炭素鋼S45C（焼なまし）,,b,"44P 表3.3.1 (a) 炭素鋼S45C 200 (b) 純鉄 6,000～8,000 (c) 炭素鋼S15C 2,000 (d) 炭素鋼S45C 1,000",
37,炭素鋼S15C（焼なまし）の最大比透磁率μrm に最も近い値はどれか。次の中から一つ選びなさい。,20,200,"2,000","20,000",,c,44P 表3.3.1 (a) 表記なし。✕ (b) S45C 焼入。✕ (c) 〇 (d) 表記なし。✕,
38,渦電流試験におけるリフトオフ効果が利用されているのは次のうちどれか。正しいものを選べ。,非磁性金属上の非導電性被膜の厚さ測定,非磁性金属上の金属被膜の厚さ測定,磁性体の材質判別,非磁性体の材質判別,,a,190P 9.1.2 (a)が正しい。 リフトオフ効果を利用するということは，膜が導電性でない物質である必要がある。,
39,渦電流の浸透深さに関する記述について、次の文の中から正しいものを選べ。,渦電流の振幅が表面における値の約10％となる深さのことである。,渦電流の振幅が表面における値の約37％となる深さのことである,渦電流の振幅が表面における値の約50％となる深さのことである。,渦電流の振幅が表面における値の約70％となる深さのことである。,,b,19P 2.4.4，52P 4.2.2 4.8 式 4.9 式 4.9 式のとおり。 Jn＝1/ｅ ＝1/2.71828 ≅0.367 ⇒37％,
40,次の文は渦電流について述べたものである。正しいものを選べ。,表面から内部に入るにしたがって渦電流密度は高くなる。,渦電流密度は表皮深さδまで一定であり、それ以上の深さで減衰する。,渦電流密度は表皮深さδにおいて表面の値の１/ｅ（約0.37）となる。,磁性体における渦電流は、内部に入るほど増加する。,,c,19P 2.4.4，52P 4.2.2 4.8 式 4.9 式 Jn＝1/ｅ ＝1/2.71828 ≅0.367 ⇒37％,
41,試験周波数が１kHz のとき，ある材料における表皮深さは2.4mm であった。周波数１０kHz に変えると き浸透深さはおそよ何mm となるか。次のうちから正しいものを一つ選び，記号で答えなさい。,0.24,0.76,1.55,7.6,,b,（新問題集に解説あり） 52P 4.2.2 4.8式 周波数が10倍なので4.8式より 1 √𝜋10𝑓𝜇𝜎= 1 √10√𝜋𝑓𝜇𝜎= 1 √10 ∙ 1 √𝜋𝑓𝜇𝜎= 1 √10 ∙𝛿= 1 √10 ∙0.0024＝0.00076 （ｍ） ∴b)が正解。,
42,渦電流探傷試験において，試験体における緩やかな寸法変化による雑音を抑圧するのに適切な方法は どれか。次のうちから正しいものを一つ選び，記号で答えなさい。,単一方式のプローブを用いる。,標準比較方式のプローブを用いる。,マルチコイルプローブを用いる。,差動方式のプローブを用いる。,,d,（新問題集に解説あり） 71P 5.4.2 （旧テキスト51P 5.4 図5.5） 差動方式（自己比較方式）はリフトオフ，温度変化の他，緩やかな変化を抑制できる。 他にハイパスフィルタを使う方法もある（旧テキスト65P 図6.18）。,
43,次は、上置プローブに組込まれているコイルを示した。リフトオフの信号が発生しにくいのはどれか。 正しいものを一つ選び記号で答えよ。,自己誘導形単一コイル,相互誘導形単一コイル,一様渦電流コイル,アレイコイル,,c,"72P 5.5.2(b) 単一コイルから得られる検出波形は絶対値指示といわれコイルのインピーダンス変化を全て出力する。き ず信号以外にも材質の違いによる信号や,環境温度の変化や，リフトオフの変化による影響が大きく， （ａ） と（ｂ）は不正解である。アレイコイルは，一般に複数の単一コイルを線上に配置し検査幅を広げた構造 となっており，やはりリフトオフの変化が出やすく，（ｄ）は不正解である。一様渦電流コイルは，小さ な検出コイルの上に，検出コイルより十分大きな直方体の励磁コイルが配置され，リフトオフの変化によ る影響が出にくい構造となっている。したがって，正答は（ｃ）となる。 補＞テキスト5.5.2 項のクロスポイントプローブ，θプローブもリフトオフの影響を受けにくい構造とな っている。NDT ﾌﾗｯｼｭ69-12 問3 に解説あり。",
