id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation
26,磁粉探傷試験における磁化電流の種類として、適切でないものはどれか。,交流,直流,半波整流電流,高周波電流,d,磁粉探傷試験で使用される磁化電流は、交流、直流、半波整流電流、全波整流電流などである。高周波電流は通常使用されない。
27,磁粉探傷試験で、きずの深さを推定する方法として、最も適切なものはどれか。,磁粉模様の濃さから推定,磁粉模様の長さから推定,磁粉探傷試験では深さの推定は困難,磁化電流値から推定,c,磁粉探傷試験では、きずの存在と表面での広がりは確認できるが、深さの正確な推定は困難である。
28,磁粉探傷試験において、試験体表面の状態が粗い場合の影響として、正しいものはどれか。,きず検出感度が向上する,バックグラウンドノイズが増加する,磁化が容易になる,脱磁が容易になる,b,試験体表面が粗い場合、磁粉が凹凸に付着してバックグラウンドノイズが増加し、きず検出が困難になることがある。
29,強磁性体の磁気特性を表すパラメータとして、適切でないものはどれか。,透磁率,保磁力,残留磁気,導電率,d,透磁率、保磁力、残留磁気は強磁性体の磁気特性を表すパラメータである。導電率は電気的特性であり、磁気特性ではない。
30,磁粉探傷試験で使用する磁粉の粒径について、正しい記述はどれか。,粒径が大きいほど感度が高い,粒径が小さいほど感度が高い,粒径は感度に影響しない,湿式法では粗い磁粉を使用する,b,磁粉の粒径が小さいほど微細なきずへの移動性が良く、感度が高くなる。ただし、細かすぎるとバックグラウンドが増加する。
31,磁粉探傷試験において、円筒形試験体の内面を検査する場合に適した磁化方法はどれか。,軸通電法,コイル法,中心導体法,極間法,c,中心導体法は、円筒形試験体の中空部に導体を通して電流を流す方法で、内面の周方向磁化に適している。
32,磁粉探傷試験における磁界強度計（ガウスメータ）の用途として、正しいものはどれか。,磁粉濃度の測定,試験体表面の磁界強度の測定,紫外線強度の測定,電流値の測定,b,磁界強度計（ガウスメータ）は、試験体表面の磁界強度を測定するために使用する。
33,溶接部の磁粉探傷試験において、ビード止端部に発生しやすいきずはどれか。,ブローホール,スラグ巻き込み,止端割れ,溶け込み不良,c,ビード止端部には応力集中が起こりやすく、止端割れが発生しやすい。
34,磁粉探傷試験の検査液の温度管理として、適切な温度範囲はどれか。,0～10℃,10～50℃,50～60℃,60℃以上,b,検査液の温度は一般的に10～50℃の範囲で管理する。極端な温度は磁粉の分散性や検査液の粘度に影響する。
35,磁粉探傷試験でB形標準試験片を使用する目的として、正しいものはどれか。,磁界の方向確認,磁粉と検査液の性能確認,脱磁の確認,紫外線強度の確認,b,B形標準試験片は、磁粉および検査液の性能（感度）を確認するために使用する。
36,強磁性体の磁区について、正しい記述はどれか。,磁区は外部磁界がないと存在しない,磁区内の磁気モーメントはランダムに配列している,磁区内の磁気モーメントは同一方向に揃っている,磁区の大きさは材料に関係なく一定である,c,磁区とは、強磁性体中で磁気モーメントが同一方向に揃った領域のことである。
37,磁粉探傷試験において、適切な磁化電流値を決定する際の基準として、正しいものはどれか。,試験体の長さ,試験体の断面積または直径,試験体の温度,検査液の濃度,b,磁化電流値は、試験体の断面積または直径に基づいて決定される。
38,磁粉探傷試験で軟鋼と硬鋼を比較した場合の特性として、正しい記述はどれか。,軟鋼の方が保磁力が大きい,硬鋼の方が保磁力が大きい,両者の保磁力は同じである,保磁力と硬さは関係がない,b,一般に、硬鋼は軟鋼よりも保磁力が大きい。硬度が高いほど保磁力が大きくなる傾向がある。
39,磁粉探傷試験における漏洩磁束について、正しい記述はどれか。,きずがないと漏洩磁束は発生しない,漏洩磁束はきずの深さに比例する,漏洩磁束は磁粉を引き付ける力となる,漏洩磁束は磁化方向に平行なきずで最大となる,c,漏洩磁束は、きず部分から空気中に漏れ出した磁束であり、この磁束が磁粉を引き付けて模様を形成する。
40,磁粉探傷試験で、同一試験体に対して連続法と残留法の両方が適用できる場合、正しい記述はどれか。,連続法の方が一般に感度が高い,残留法の方が一般に感度が高い,両者の感度は同じである,感度は磁化方法に依存しない,a,一般に連続法の方が残留法よりも検出感度が高い。残留法は磁化電流を切った後の残留磁気を利用するため、連続法に比べて磁界強度が弱くなる。
41,磁粉探傷試験のカラーコントラスト法について、正しい記述はどれか。,蛍光磁粉を使用する方法である,白色または赤色など有色の磁粉を使用する方法である,紫外線照射下で観察する方法である,暗所で観察する方法である,b,カラーコントラスト法（非蛍光法）は、白色や赤色など有色の磁粉を使用し、通常の可視光下で観察する方法である。
42,磁粉探傷試験において、磁極の位置を変えながら検査を行う理由として、正しいものはどれか。,試験体全体を均一に加熱するため,異なる方向のきずを検出するため,磁粉濃度を均一にするため,脱磁を容易にするため,b,磁極の位置を変えることで磁界の方向が変わり、異なる方向のきずを検出できるようになる。
43,磁粉探傷試験でリフティングパワー（吸引力）試験を行う目的として、正しいものはどれか。,磁粉濃度の確認,電磁石または電磁ヨークの磁化能力の確認,紫外線強度の確認,検査液の粘度の確認,b,リフティングパワー試験は、電磁石または電磁ヨークの磁化能力（吸引力）を確認するために行う。
44,鋳鋼品の磁粉探傷試験で注意すべき点として、正しいものはどれか。,鋳鋼品は非磁性体なので検査できない,鋳肌の粗さによるバックグラウンドノイズに注意する,鋳鋼品は残留法のみ適用できる,鋳鋼品には乾式法のみ適用できる,b,鋳鋼品は表面が粗い場合が多く、バックグラウンドノイズが発生しやすいので注意が必要である。
45,磁粉探傷試験における全周磁化法の特徴として、正しい記述はどれか。,一方向の磁化のみ行う,直交する二方向の磁化を同時または交互に行う,脱磁を行いながら磁化する,残留法のみに適用できる,b,全周磁化法は、直交する二方向の磁化を同時または交互に行い、あらゆる方向のきずを一度の操作で検出できる方法である。
46,磁粉探傷試験の観察において、照度が不足している場合の影響として、正しいものはどれか。,微細なきず指示模様を見逃す可能性がある,疑似模様が増加する,磁粉濃度が低下する,試験体が過熱する,a,照度が不足すると、微細なきず指示模様の視認性が低下し、見逃す可能性がある。
47,磁粉探傷試験で磁化電流として衝撃電流を使用する利点として、正しいものはどれか。,試験体の発熱が少ない,連続通電より感度が低い,脱磁が容易である,疑似模様が増加する,a,衝撃電流は短時間の通電であるため、試験体の発熱が少なく、熱による影響を軽減できる。
48,磁粉探傷試験において、試験体の形状による磁化の難易について、正しい記述はどれか。,L/D比が小さいほど磁化しやすい,L/D比が大きいほど磁化しやすい,形状は磁化に影響しない,断面が複雑なほど磁化しやすい,b,L/D比（長さと直径の比）が大きいほど反磁界の影響が小さくなり、磁化しやすくなる。
49,磁粉探傷試験における直流通電法と交流通電法の比較として、正しい記述はどれか。,交流通電法は残留法に適している,直流通電法は表面きずの検出に優れている,交流通電法は脱磁が容易である,直流通電法は脱磁が容易である,c,交流通電法は、通電を停止すると速やかに磁化が減少するため脱磁が容易である。
50,磁粉探傷試験で使用する検査液の粘度が高すぎる場合の影響として、正しいものはどれか。,磁粉の移動性が向上する,磁粉の移動性が低下する,バックグラウンドが減少する,きず検出感度が向上する,b,検査液の粘度が高すぎると、磁粉の移動性が低下し、きずへの集積が妨げられる。
51,磁粉探傷試験において、電流貫通法と中心導体法の違いとして、正しい記述はどれか。,電流貫通法は試験体に直接電流を流す,中心導体法は試験体に直接電流を流す,電流貫通法は導体を試験体の中空部に通す,両者に違いはない,c,電流貫通法（中心導体法）は、試験体の中空部に導体を通して電流を流す方法である。試験体自体には電流が流れない。
52,磁粉探傷試験において、脱磁後の残留磁気の確認方法として、適切なものはどれか。,沈殿管による確認,磁界強度計による確認,紫外線照射による確認,照度計による確認,b,脱磁後の残留磁気は、磁界強度計（ガウスメータ）で測定して確認する。
53,磁粉探傷試験において、試験体の角部や端部で注意すべき点として、正しいものはどれか。,これらの部位では磁粉が付着しにくい,これらの部位では疑似模様が発生しやすい,これらの部位では磁化が不可能である,これらの部位では脱磁が不要である,b,角部や端部は磁束が集中しやすく、疑似模様（漏洩磁束による模様）が発生しやすい。
54,磁粉探傷試験で極間法を使用する際、電磁石の脚部（磁極）と試験体表面の接触について、正しい記述はどれか。,接触は必要ない（非接触で磁化可能）,良好な接触が必要である,接触させてはならない,片側のみ接触させる,b,極間法では、電磁石の脚部と試験体表面の良好な接触が磁化効率に重要である。
55,磁粉探傷試験で検出されたきず指示模様の評価において、考慮すべき事項として適切でないものはどれか。,指示模様の長さ,指示模様の方向,指示模様の発生位置,検査員の経験年数,d,きず指示模様の評価には、長さ、方向、発生位置などの客観的な情報を考慮する。検査員の経験年数は評価基準ではない。
56,磁粉探傷試験において、試験体温度が高い場合（例：50℃以上）の影響として、正しいものはどれか。,検査液の蒸発や磁粉の性能低下の可能性がある,きず検出感度が向上する,磁化が容易になる,影響はない,a,試験体温度が高いと、検査液の蒸発や磁粉（特に蛍光磁粉）の性能低下が起こる可能性がある。
57,磁粉探傷試験の湿式法で使用する検査液の種類として、適切でないものはどれか。,水,灯油,専用の水溶性検査液,塩酸,d,検査液には水、灯油、専用の水溶性検査液などが使用される。塩酸は腐食性があり使用されない。
58,磁粉探傷試験において、線状指示模様と円形指示模様の区別として、JISで定められている基準はどれか。,長さと幅の比が2を超えるものを線状とする,長さと幅の比が3を超えるものを線状とする,長さが5mmを超えるものを線状とする,幅が2mmを超えるものを線状とする,b,JISでは、長さと幅の比が3を超える指示模様を線状指示模様、3以下のものを円形指示模様と区別している。
59,磁粉探傷試験の適用範囲として、適切でないものはどれか。,溶接部の表面きず検出,鍛造品の表面きず検出,アルミニウム合金の表面きず検出,鋳鋼品の表面きず検出,c,アルミニウム合金は非磁性材料であるため、磁粉探傷試験は適用できない。
60,磁粉探傷試験における磁粉の種類として、適切でないものはどれか。,蛍光磁粉,非蛍光磁粉（黒色）,非蛍光磁粉（赤色）,放射性磁粉,d,磁粉には蛍光磁粉と非蛍光磁粉（黒色、赤色、灰色など）がある。放射性磁粉は存在しない。
61,磁粉探傷試験において、C形標準試験片の使用目的として、正しいものはどれか。,磁粉濃度の確認,連続法と残留法の磁化の適否確認,紫外線強度の確認,電磁石の吸引力確認,b,C形標準試験片は、連続法と残留法の磁化の適否を確認するために使用する。
62,磁粉探傷試験報告書に記載すべき事項として、適切でないものはどれか。,試験体の識別,磁化方法と磁化条件,検査員の年齢,試験結果,c,報告書には試験体の識別、磁化方法・条件、試験結果などを記載する。検査員の年齢は記載事項ではない。
63,磁粉探傷試験において、同一箇所を複数回磁化して検査する理由として、正しいものはどれか。,脱磁を容易にするため,異なる方向のきずを検出するため,磁粉濃度を調整するため,検査液を乾燥させるため,b,異なる方向に磁化することで、様々な方向のきずを検出することができる。
64,磁粉探傷試験において、プロッド間隔の適正範囲として、一般的に推奨されるものはどれか。,50mm以下,75～200mm,250～300mm,300mm以上,b,プロッド法においても極間法と同様に、プロッド間隔は一般的に75～200mmが推奨される。
65,磁粉探傷試験で使用する蛍光磁粉の観察に必要な紫外線強度として、JISで規定されている最小値はどれか。,500μW/cm²,1000μW/cm²,2000μW/cm²,3000μW/cm²,b,JISでは、蛍光磁粉の観察に必要な紫外線強度の最小値は1000μW/cm²と規定されている。
66,磁粉探傷試験において、磁束密度の単位として正しいものはどれか。,アンペア毎メートル（A/m）,テスラ（T）,ヘンリー（H）,ウェーバ（Wb）,b,磁束密度の単位はテスラ（T）である。A/mは磁界の強さ、Hはインダクタンス、Wbは磁束の単位である。
67,磁粉探傷試験で、浅いきずと深いきずを比較した場合の漏洩磁束について、正しい記述はどれか。,浅いきずの方が漏洩磁束が大きい,深いきずの方が漏洩磁束が大きい,きずの深さは漏洩磁束に影響しない,漏洩磁束の大きさはきずの幅のみに依存する,b,一般に、きずが深いほど漏洩磁束が大きくなり、磁粉模様が明瞭になる傾向がある。
68,磁粉探傷試験における連続法の手順として、正しい順序はどれか。,磁化→磁粉適用→磁化停止→観察,磁粉適用→磁化→磁化停止→観察,磁化→磁粉適用→観察→磁化停止,磁粉適用→観察→磁化→磁化停止,a,連続法では、磁化しながら磁粉を適用し、磁化を停止した後に観察を行う。
69,磁粉探傷試験において、試験体が大きくて装置に入らない場合に適した磁化方法はどれか。,コイル法,極間法（携帯用電磁石）,軸通電法,全周磁化法,b,大型の試験体には、携帯用電磁石（ハンドマグナ）を使用した極間法が適している。
70,磁粉探傷試験の乾式法で使用する磁粉の適用方法として、適切でないものはどれか。,散布器による散布,ゴム球による散布,検査液への浸漬,スプレー缶による散布,c,乾式法では、散布器、ゴム球、スプレー缶などにより乾燥した磁粉を直接散布する。検査液への浸漬は湿式法である。
71,磁粉探傷試験において、ワイヤブラシで表面を清掃した直後に注意すべき点として、正しいものはどれか。,表面が帯磁している可能性がある,表面温度が上昇している,表面が酸化している,注意すべき点はない,a,ワイヤブラシによる清掃で表面が帯磁することがあり、これが疑似模様の原因となる可能性がある。
72,磁粉探傷試験で半波整流電流を使用する利点として、正しいものはどれか。,表面きずの検出に優れている,表面下きずの検出に優れている,脱磁が容易である,試験体の発熱が少ない,b,半波整流電流は直流成分を含むため、浸透深さが深く、表面下きずの検出に優れている。
73,磁粉探傷試験において、検査感度に影響を与える因子として、適切でないものはどれか。,磁化電流値,磁粉濃度,照明条件,検査員の身長,d,検査感度には、磁化電流値、磁粉濃度、照明条件などが影響する。検査員の身長は感度に影響しない。
74,磁粉探傷試験で、試験体に油脂が付着している場合の影響として、正しいものはどれか。,磁化が容易になる,磁粉のきずへの付着を妨げる,検出感度が向上する,脱磁が容易になる,b,油脂が付着していると、磁粉がきずに付着しにくくなり、検出感度が低下する。
75,磁粉探傷試験において、交流電流と直流電流の周波数による違いとして、正しい記述はどれか。,直流電流には周波数がある,交流電流の周波数が高いほど浸透深さが深い,交流電流の周波数が高いほど浸透深さが浅い,周波数は浸透深さに影響しない,c,交流電流の周波数が高いほど表皮効果が強くなり、浸透深さが浅くなる。
76,磁粉探傷試験で、きず指示模様と疑似模様を区別する方法として、適切なものはどれか。,再磁化して模様の再現性を確認する,模様の色で判断する,模様の形状のみで判断する,区別する方法はない,a,再磁化して模様の再現性を確認することで、きず指示模様と疑似模様を区別できる。疑似模様は再現しない場合がある。
77,磁粉探傷試験における電流通電法の危険性として、正しいものはどれか。,放射線被ばく,感電や接触部の過熱,有毒ガスの発生,危険性はない,b,電流通電法では、大電流を使用するため感電や接触部の過熱による火傷の危険性がある。
78,磁粉探傷試験において、コイル法の磁化能力を高める方法として、正しいものはどれか。,コイルの巻数を減らす,コイルの巻数を増やす,コイルと試験体の距離を離す,磁化電流を減らす,b,コイル法では、コイルの巻数を増やすか、電流値を上げることで磁化能力を高めることができる。
79,磁粉探傷試験の標準化について、JISで規定されている内容として、正しいものはどれか。,検査員の服装,試験方法と手順,検査室の壁の色,検査の時間帯,b,JISでは、磁粉探傷試験の試験方法と手順が規定されている。
80,磁粉探傷試験で、きず検出に適した磁界の強さの目安として、正しいものはどれか。,100A/m以下,2400～4800A/m程度,10000A/m以上,磁界の強さは関係ない,b,一般的に、きず検出に適した磁界の強さは2400～4800A/m程度とされている。
81,磁粉探傷試験において、磁粉の色と試験体表面色の関係として、正しい記述はどれか。,同じ色が良い,コントラストが高い方が良い,色は検出に影響しない,蛍光磁粉では関係ない,b,磁粉と試験体表面のコントラストが高いほど、きず指示模様の視認性が向上する。
82,磁粉探傷試験で、磁化電流値を必要以上に大きくした場合の影響として、正しいものはどれか。,検出感度が必ず向上する,バックグラウンドノイズが増加する可能性がある,脱磁が容易になる,影響はない,b,磁化電流が大きすぎると、磁粉が試験体表面全体に付着してバックグラウンドノイズが増加し、かえってきず検出が困難になることがある。
83,磁粉探傷試験における残留法の適用手順として、正しい順序はどれか。,磁化→磁化停止→磁粉適用→観察,磁粉適用→磁化→磁化停止→観察,磁化→磁粉適用→磁化停止→観察,磁粉適用→観察→磁化→磁化停止,a,残留法では、磁化して磁化を停止した後、残留磁気を利用して磁粉を適用し観察する。
84,磁粉探傷試験で使用する磁粉の材質として、一般的に使用されるものはどれか。,酸化鉄（Fe₃O₄など）,酸化アルミニウム,酸化チタン,酸化銅,a,磁粉には、酸化鉄（Fe₃O₄：マグネタイト）や鉄粉が一般的に使用される。
85,磁粉探傷試験において、湿式蛍光磁粉法の検査液中の磁粉濃度として、一般的に推奨される範囲はどれか。,0.1～0.4mL/100mL,1.2～2.4mL/100mL,5.0～10.0mL/100mL,15.0～20.0mL/100mL,a,湿式蛍光磁粉法の磁粉濃度は、一般的に0.1～0.4mL/100mL程度が推奨される。
86,磁粉探傷試験において、フェライト系ステンレス鋼の検査について、正しい記述はどれか。,非磁性体なので検査できない,強磁性体なので検査できる,常磁性体なので検査できない,反磁性体なので検査できない,b,フェライト系ステンレス鋼は強磁性体であるため、磁粉探傷試験が適用できる。
87,磁粉探傷試験において、溶接熱影響部（HAZ）に発生しやすいきずはどれか。,ブローホール,スラグ巻き込み,水素割れ（低温割れ）,溶け込み不良,c,溶接熱影響部（HAZ）では、急冷による硬化と水素の影響により、水素割れ（低温割れ）が発生しやすい。
88,磁粉探傷試験において、永久磁石を用いた磁化の特徴として、正しい記述はどれか。,磁化の強さを調整できる,電源が不要である,交流磁化ができる,大型試験体に適している,b,永久磁石を用いた磁化は電源が不要であり、携帯性に優れている。
89,磁粉探傷試験で検出された指示模様の長さが判定基準を超えた場合の対応として、正しいものはどれか。,そのまま合格とする,不合格として記録し、必要な処置を行う,再検査せずに報告する,検査員の判断で合格にできる,b,判定基準を超えた指示模様が検出された場合は、不合格として記録し、補修や再検査などの必要な処置を行う。
90,磁粉探傷試験において、試験体の表面が濡れている場合の影響として、正しいものはどれか。,乾式法では磁粉が付着しにくくなる,湿式法では検出感度が向上する,磁化が容易になる,影響はない,a,試験体表面が濡れていると、乾式法では磁粉が付着しにくくなり、検出感度が低下する。
91,磁粉探傷試験で使用する紫外線照射灯のウォームアップ時間として、一般的に推奨されるものはどれか。,電源投入直後から使用可能,約5分,約30分,約1時間,b,紫外線照射灯は、十分な紫外線強度を得るために約5分間のウォームアップ時間が推奨される。
92,磁粉探傷試験における暗順応について、正しい記述はどれか。,蛍光磁粉観察前に明るい場所に目を慣らすこと,蛍光磁粉観察前に暗所に目を慣らすこと,非蛍光磁粉の観察に必要な手順,暗順応は不要である,b,暗順応は、蛍光磁粉の観察前に暗所に目を慣らすことで、微弱な蛍光も見えやすくなる。
93,磁粉探傷試験において、検査液の防錆性が低い場合の問題として、正しいものはどれか。,磁粉濃度が低下する,試験体表面に錆が発生する可能性がある,磁化が困難になる,紫外線強度が低下する,b,検査液の防錆性が低いと、検査後に試験体表面に錆が発生する可能性がある。
94,磁粉探傷試験の検査記録として保管すべき情報として、適切でないものはどれか。,試験日と検査員名,磁化方法と磁化条件,検査室の湿度,検出されたきずの位置と大きさ,c,検査記録には試験日、検査員名、磁化方法・条件、検出きずの情報などを記録する。検査室の湿度は通常記録事項ではない。
