id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
11,エックス線装置を用いて放射線業務を行う場合の管理区域に関する次の記述のうち、労働安全衛生関係法令上、正しいものはどれか。,管理区域には、放射線業務従事者以外の者が立ち入ることを禁止し、その旨を明示しなければならない。,放射線装置室内で放射線業務を行う場合、その室の入口に放射線装置室である旨の標識を掲げたときは、管理区域を標識により明示する必要はない。,管理区域設定に当たっての外部放射線による実効線量の算定は、1cm線量当量及び70μm線量当量によって行うものとする。,管理区域内の見やすい場所に、放射線業務従事者が受けた外部被ばくによる線量の測定結果の一定期間ごとの記録を掲示しなければならない。,管理区域内の見やすい場所に、外部被ばくによる線量を測定するための放射線測定器の装着に関する注意事項、事故が発生した場合の応急の措置等放射線による労働者の健康障害の防止に必要な事項を掲示しなければならない。,e,管理区域内には注意事項等を掲示する義務がある。
12,放射線装置室内でエックス線の照射中に遮蔽物が破損し15mSvを超えるおそれのある区域が生じた場合の措置について、正しいものの組合せはどれか。A:当該区域を標識によって明示した。B:放射線業務従事者を除き立入りを禁止した。C:速やかに所轄労働基準監督署長に報告した。D:被ばく限度を超えていない者を除き医師の診察を受けさせた。,A、B,A、C,B、C,B、D,C、D,b,AとCが正しい措置である。Bは全ての者の立入りを禁止すべき。Dは全ての者に診察が必要。
13,エックス線装置を取り扱う放射線業務従事者が管理区域内で受ける外部被ばくによる線量を測定するために放射線測定器を装着する全ての部位として、誤っているものはどれか。,最も多く放射線にさらされるおそれのある部位が手指であり、次に多い部位が頭・頸部である男性の放射線業務従事者…胸部及び手指,最も多く放射線にさらされるおそれのある部位が手指であり、次に多い部位が腹・大腿部である女性の放射線業務従事者(妊娠する可能性がないと診断されたものを除く)…腹部及び手指,最も多く放射線にさらされるおそれのある部位が手指であり、次に多い部位が胸・上腕部である男性の放射線業務従事者…胸部及び手指,最も多く放射線にさらされるおそれのある部位が胸・上腕部であり、次に多い部位が手指である男性の放射線業務従事者…胸部のみ,最も多く放射線にさらされるおそれのある部位が頭・頸部であり、次に多い部位が手指である女性の放射線業務従事者(妊娠する可能性がないと診断されたものを除く)…腹部及び頭・頸部,a,頭・頸部が次に多い場合、胸部と頭・頸部と手指の3箇所に装着が必要。
14,放射線業務従事者の被ばく限度として、労働安全衛生関係法令上、正しいものはどれか。,男性の放射線業務従事者が受ける実効線量の限度…5年間につき250mSv及び1年間につき100mSv,男性の放射線業務従事者が眼の水晶体に受ける等価線量の限度…5年間につき100mSv及び1年間につき50mSv,男性の放射線業務従事者が皮膚に受ける等価線量の限度…1年間につき300mSv,女性の放射線業務従事者(妊娠する可能性がないと診断されたもの及び妊娠と診断されたものを除く)が受ける実効線量の限度…1か月間につき5mSv,妊娠と診断された女性の放射線業務従事者が腹部表面に受ける等価線量の限度…妊娠中につき5mSv,b,眼の水晶体の等価線量限度は5年間で100mSv、1年間で50mSvである。
15,エックス線装置を用いて放射線業務を行う場合の外部放射線の防護に関する次の措置のうち、電離放射線障害防止規則に違反しているものはどれか。,装置の外側における外部放射線による1cm線量当量率が20μSv/hを超えないように遮蔽された構造のエックス線装置を、放射線装置室以外の室に設置して使用している。,放射線装置室については、遮蔽壁等の遮蔽物を設け、労働者が常時立ち入る場所における外部放射線による実効線量が、1週間につき5mSvを超えないように管理しており、平均4mSv程度となっている。,特定エックス線装置を使用するとき、照射筒又はしぼりを用いると装置の使用の目的が妨げられるので、どちらも用いていない。,管電圧250kVのエックス線装置を放射線装置室以外の場所で使用するとき、装置に電力が供給されている旨を関係者に周知させる措置として、手動の表示灯を用いている。,特定エックス線装置を用いて透視を行うとき、定格管電流の2倍以上の電流がエックス線管に通じると、直ちに、エックス線管回路が開放位になる自動装置を設けている。,b,1週間につき1mSvを超えないようにしなければならない。5mSvは違反。
16,エックス線装置構造規格に関する次の記述のうち、正しいものはどれか。,波高値による定格管電圧が100kV未満のエックス線装置には、この構造規格は適用されない。,エックス線又はエックス線装置の研究又は教育のため、使用のつど組み立てる方式のエックス線装置には、この構造規格は適用されない。,この構造規格が適用されるエックス線装置は、見やすい箇所に、定格出力、型式検定合格番号、製造者名及び製造年月が表示されていなければならない。,この構造規格が適用されるエックス線装置は、医療用のものでも工業用のものでも、エックス線管について必要とされる遮蔽の基準は等しい。,海外から輸入されたエックス線装置には、この構造規格は適用されない。,b,研究又は教育のため使用のつど組み立てる方式のエックス線装置には構造規格は適用されない。
17,電離放射線健康診断の実施について、労働安全衛生関係法令に違反しているものはどれか。,雇入れの際の健康診断において、使用する線源の種類等に応じて「白内障に関する眼の検査」を省略している。,定期の健康診断において、医師が必要でないと認めた労働者に対し、「白血球数及び白血球百分率の検査」を省略している。,放射線業務に配置替えの際に行う健康診断において、被ばく歴のない労働者に対し、医師が必要と認めなかったので、「赤血球数の検査及び血色素量又はヘマトクリット値の検査」を省略している。,事業場において実施した健康診断の項目に異常の所見があると診断された労働者については、その結果に基づき、健康を保持するために必要な措置について、健康診断実施日から3か月以内に、医師の意見を聴いている。,放射線業務従事者が離職する際に健康診断を実施していない。,c,配置替えの際の健康診断では、被ばく歴のない者でも血液検査は省略できない。
18,次のAからDの場合について、所轄労働基準監督署長に報告しなければならないものの全ての組合せはどれか。A:エックス線作業主任者を選任したとき。B:労働者数が常時25人の事業場で、電離則に基づく定期の電離放射線健康診断を行ったとき。C:労働者数が常時50人以上の事業場で、電離則に基づく雇入れの際の電離放射線健康診断を行ったとき。D:労働者数が常時50人以上の事業場で、安衛則に基づく定期健康診断を行ったとき。,A、B,A、C,B、C,B、D,C、D,d,電離放射線健康診断は事業場規模に関係なく報告義務あり。安衛則の定期健康診断は50人以上で報告義務あり。
19,エックス線装置を用いて放射線業務を行う作業場の管理区域に該当する部分の作業環境測定に関する次の記述のうち、労働安全衛生関係法令上、正しいものはどれか。,管理区域内でエックス線装置を固定して使用する場合において、被照射体の位置が一定しているときは、6か月以内ごとに1回、定期に、測定を行わなければならない。,測定は、1cm線量当量率又は1cm線量当量について行うものとするが、70μm線量当量率が1cm線量当量率を超えるおそれのある場所又は70μm線量当量が1cm線量当量を超えるおそれのある場所においては、それぞれ70μm線量当量率又は70μm線量当量について行わなければならない。,測定の結果は、見やすい場所に掲示する等の方法により、管理区域に立ち入る者に周知させなければならない。,測定を行ったときは、遅滞なく、その結果を所轄労働基準監督署長に提出しなければならない。,測定を行ったときは、測定日時、測定方法、測定結果等法定の事項を記録し、30年間保存しなければならない。,c,測定結果は管理区域に立ち入る者に周知させなければならない。
20,エックス線装置を用いて行う透過写真撮影の業務に常時従事する労働者20人を含めて1200人の労働者を常時使用する製造業の事業場の安全衛生管理体制として、選任しなければならないものに該当しないものはどれか。,総括安全衛生管理者,専属の産業医,4人以上の衛生管理者,専任の衛生管理者,衛生工学衛生管理者免許を有する衛生管理者,e,衛生工学衛生管理者は有害業務が多い場合に必要だが、この事業場では必要ない。
21,放射線に関連した量とその単位の組合せとして、誤っているものはどれか。,吸収線量…Gy,線減弱係数…m^-1,カーマ…Gy,粒子フルエンス…J・m^-2,等価線量…J・kg^-1,d,粒子フルエンスの単位はm^-2(個数/面積)であり、J・m^-2ではない。
22,気体の電離を利用する放射線検出器の印加電圧と生じる電離電流の特性に対応した次のAからDの領域について、気体(ガス)増幅が生じ、検出器として利用されるものの組合せはどれか。A:再結合領域 B:電離箱領域 C:比例計数管領域 D:GM計数管領域,A、B,A、C,B、C,B、D,C、D,e,気体増幅が生じるのは比例計数管領域とGM計数管領域である。
23,放射線検出器とそれに関係の深い用語との組合せとして、正しいものはどれか。,電離箱…窒息現象,比例計数管…グロー曲線,GM計数管…電子なだれ,シンチレーション検出器…G値,半導体検出器…ラジオフォトルミネセンス,c,GM計数管は電子なだれ(ガス増幅)により動作する。
24,エックス線の測定に用いるNaI(Tl)シンチレーション検出器に関する次の記述のうち、誤っているものはどれか。,シンチレータとして用いられるヨウ化ナトリウム結晶は、微量のタリウムを含有させて活性化されている。,シンチレータにエックス線が入射すると、可視領域の減衰時間の短い光が放射される。,シンチレータから放射された光は、光電子増倍管の光電面で光電子に変換され、増倍された後、電流パルスとして出力される。,光電子増倍管から得られる出力パルス波高は、入射エックス線の線量率に比例する。,光電子増倍管の増倍率は、印加電圧に依存するので、光電子増倍管に印加する高圧電源は安定化する必要がある。,d,出力パルス波高は入射エックス線のエネルギーに比例し、線量率には比例しない。
25,次のエックス線とその測定に用いるサーベイメータの組合せのうち、適切でないものはどれか。,0.1μSv/h程度の線量率のエックス線…NaI(Tl)シンチレーション式サーベイメータ,湿度の高い場所における100μSv/h程度の線量率のエックス線…GM計数管式サーベイメータ,50mSv/h程度の線量率で、散乱線を多く含むエックス線…GM計数管式サーベイメータ,100keV程度のエネルギーで、10μSv/h程度の線量率のエックス線…半導体式サーベイメータ,300keV程度のエネルギーで、10mSv/h程度の線量率のエックス線…電離箱式サーベイメータ,c,GM計数管式は高線量率でエネルギー特性が悪く、散乱線を多く含む測定には不適切。
26,蛍光ガラス線量計に関する次の記述のうち、正しいものはどれか。,放射線により生成された蛍光中心が紫外線の照射によって発光する、輝尽性蛍光という現象を利用した線量計である。,読み取り装置で線量を読み取ることによって蛍光中心が消えてしまうため、再度読み取ることはできない。,線量計の素子間の感度のばらつきが少なく、また、フェーディングは極めて小さい。,測定可能な線量の範囲は、熱ルミネセンス線量計より広く、0.1μSv～100Sv程度である。,素子は、光学的アニーリングにより、再度使用することができる。,c,蛍光ガラス線量計は素子間のばらつきが少なく、フェーディングも極めて小さい特徴がある。
27,放射線防護のための被ばく線量の算定に関する次のAからDの記述について、誤っているものの組合せはどれか。A:外部被ばくによる実効線量は、法令に基づき放射線測定器を装着した各部位の1cm線量当量及び70μm線量当量を用いて算定する。B:皮膚の等価線量は、エックス線については70μm線量当量により算定する。C:眼の水晶体の等価線量は、放射線の種類及びエネルギーに応じて、1cm線量当量、3mm線量当量又は70μm線量当量のうちいずれか適切なものにより算定する。D:妊娠中の女性の腹部表面の等価線量は、腹・大腿部における70μm線量当量により算定する。,A、B,A、C,A、D,B、C,B、D,c,Aは70μm線量当量を使わない。Dは1cm線量当量を使用する。
28,放射線の測定などについての用語に関する次の記述のうち、正しいものはどれか。,半導体検出器において、放射線が半導体中で1個の電子・正孔対を作るのに必要な平均エネルギーをε値といい、シリコン結晶の場合は、約3.6eVである。,GM計数管の動作特性曲線において、印加電圧を上げても計数率がほとんど変わらない範囲をプラトーといい、プラトー領域の印加電圧では、入射エックス線による一次電離量に比例した大きさの出力パルスが得られる。,気体に放射線を照射したとき、1個のイオン対を作るのに必要な平均エネルギーをW値といい、気体の種類にあまり依存せず、放射線のエネルギーに応じてほぼ一定の値をとる。,GM計数管が入射放射線により一度放電し、一時的に検出能力が失われた後、出力波高値が弁別レベルまで回復する時間を回復時間という。,放射線測定器の指針が安定せず、ゆらぐ現象をフェーディングという。,a,シリコン半導体のε値は約3.6eVである。
29,あるサーベイメータを用いて、時定数を2秒に設定し、エックス線を測定したところ、指示値は100(cps)を示した。このとき、計数率の相対標準偏差に最も近い値はどれか。,1%,2%,3%,5%,10%,d,σ=√(n/2T)=√(100/4)=5、相対標準偏差=5/100=5%
30,電離箱式サーベイメータを用い、積算1cm線量当量のレンジ(フルスケールは10μSv)を使用して、実効エネルギーが180keVのエックス線を測定したところ、フルスケールまで指針が振れるのに100秒かかった。このときの1cm線量当量率に最も近い値はどれか。,310μSv/h,330μSv/h,360μSv/h,400μSv/h,450μSv/h,b,校正定数を補正して計算すると約330μSv/hとなる。
31,放射線によるDNAの損傷と修復に関する次の記述のうち、正しいものはどれか。,放射線によるDNA損傷には、塩基損傷とDNA鎖切断があるが、間接電離放射線では、塩基損傷は生じない。,DNA鎖切断のうち、二重らせんの片方だけが切れる1本鎖切断は、細胞死などの重篤な細胞障害に関連が深い。,細胞には、DNA鎖切断を修復する機能があり、修復が誤りなく行われれば、細胞は回復し、正常に増殖を続けるが、塩基損傷を修復する機能はない。,DNA鎖切断の修復方式のうち、非相同末端結合修復は、DNA切断端どうしを直接結合する方式である。,DNA鎖切断のうち、2本鎖切断はDNA鎖の組換え現象が利用されるため、1本鎖切断に比べて容易に修復される。,d,非相同末端結合修復はDNA切断端を直接結合する修復方式である。
32,次のAからCの人体の組織・器官について、放射線感受性の高いものから順に並べたものはどれか。A:皮脂腺 B:甲状腺 C:神経組織,A、B、C,A、C、B,B、A、C,B、C、A,C、A、B,a,放射線感受性は皮脂腺>甲状腺>神経組織の順に高い。
33,放射線の生体影響などに関する次の記述のうち、正しいものはどれか。,線量率効果とは、同じ線量を照射する場合に、線量率を低くすると、生物効果が小さくなることをいう。,全致死線量は、半致死線量の2倍に相当する線量であり、この線量を被ばくした個体は数時間～数日のうちに死亡する。,半致死線量は、被ばくした集団の全ての個体が一定の期間内に死亡する最小線量の50%に相当する線量である。,生物効果比(RBE)は、基準となる放射線と問題にしている放射線について、各々の同一線量を被ばくしたときの集団の生存率の比により、線質の異なる放射線の生物効果の大きさを比較したものである。,線エネルギー付与(LET)とは、物質中を放射線が通過するとき、荷電粒子の飛跡に沿って単位長さ当たりに物質に与えられるエネルギーをいい、エックス線は高LET放射線に分類される。,a,線量率効果は線量率が低いと生物効果が小さくなる現象である。
34,ヒトが一時に全身にエックス線の照射を受けた場合の早期影響に関する次の記述のうち、誤っているものはどれか。,1～2Gy程度の被ばくで、放射線宿酔の症状が現れることがある。,被ばくから死亡までの期間は、一般に造血器官の障害による場合の方が、消化器官の障害による場合より長い。,3～5Gy程度の被ばくによる死亡は、主に造血器官の障害によるものである。,消化器官の障害を主因とする死亡までの期間は、5～20日程度である。,5～10Gy程度の被ばくによる死亡は、主に中枢神経系の障害によるものである。,e,5～10Gyでは消化器官の障害が主因。中枢神経系の障害は10Gy以上。
35,エックス線の直接作用と間接作用に関する次の記述のうち、誤っているものはどれか。,エックス線による直接作用では、エックス線によって飛び出した二次電子が生体高分子の電離又は励起を引き起こし、生体高分子に損傷を与える。,エックス線による間接作用では、エックス線によって飛び出した二次電子が水分子の電離又は励起を引き起こしてラジカルを生成し、そのラジカルが生体高分子に損傷を与える。,低温下では、直接作用による放射線効果は減少するが、間接作用による放射線効果は影響を受けない。,生体中にシステインなどのSH基をもつ化合物が存在するとエックス線の生物効果が軽減されることは、間接作用により説明される。,溶液中の酵素の濃度を変えて一定線量のエックス線を照射するとき、酵素の濃度が減少するに従って、酵素の全分子のうち不活性化される分子の占める割合が増加することは、間接作用により説明される。,c,低温下では間接作用も減少する。ラジカルの拡散が抑制されるため。
36,生物効果比(RBE)に関する次のAからDの記述について、正しいものの組合せはどれか。A:RBEを求めるときの基準放射線としては、通常、アルファ線が用いられる。B:RBEの値は、同じ線質の放射線であっても、着目する生物効果、線量率などの条件によって異なる。C:エックス線は、そのエネルギーの高低にかかわらず、RBEが1より小さい。D:RBEは、放射線の線エネルギー付与(LET)の増加とともに増大し、100keV/μm付近で最大値を示すが、更にLETが大きくなるとRBEは減少していく。,A、B,A、C,B、C,B、D,C、D,d,BとDが正しい。基準放射線はエックス線かガンマ線。
37,エックス線被ばくによる末梢血液中の血球の変化に関する次の記述のうち、誤っているものはどれか。,末梢血液中の赤血球の減少は貧血を招き、白血球の減少は止血機能の低下を招く原因となる。,末梢血液中の血球数の減少は、250mGy程度の被ばくから認められる。,末梢血液中の白血球のうち、リンパ球は他の成分より放射線感受性が高く、被ばく直後から減少が現れる。,末梢血液中のリンパ球を除く白血球は、被ばく直後は一時的に増加が認められることがある。,末梢血液中の血球のうち、被ばく後減少が現れるのが最も遅いものは赤血球である。,a,白血球の減少は感染防御能の低下を招く。止血機能の低下は血小板の減少による。
38,エックス線被ばくによる放射線皮膚炎の症状に関する次のAからDの記述について、正しいものの組合せはどれか。A:0.2Gyの被ばくでは、皮膚の充血や腫脹がみられる。B:3Gyの被ばくでは、軽度の紅斑や一時的な脱毛がみられる。C:5Gyの被ばくでは、水疱や永久脱毛がみられる。D:25Gyの被ばくでは、進行性びらんや難治性の潰瘍がみられる。,A、B,A、C,B、C,B、D,C、D,d,BとDが正しい。0.2Gyでは症状は出ない。5Gyでは紅斑や一時的脱毛程度。
39,次のAからDの放射線影響について、その発症にしきい線量が存在するものの全ての組合せはどれか。A:白血病 B:永久不妊 C:皮膚炎 D:胎児奇形,A、B、D,A、C,A、D,B、C,B、C、D,e,白血病は確率的影響でしきい値なし。永久不妊、皮膚炎、胎児奇形は確定的影響でしきい値あり。
40,放射線による遺伝的影響等に関する次のAからDの記述について、正しいものの全ての組合せはどれか。A:生殖細胞の突然変異には、遺伝子突然変異と染色体異常がある。B:染色体異常には、逆位、転座などがある。C:生殖腺が被ばくしたときに生じるおそれのある障害には、遺伝的影響のほか、身体的影響に分類されるものがある。D:放射線照射により、突然変異率を自然における値の2倍にする線量を倍加線量といい、ヒトでは約0.05Gyである。,A、B,A、B、C,A、C,B、C、D,B、D,b,A、B、Cが正しい。倍加線量は約1Gyであり、0.05Gyは誤り。
