id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
11,次の文は、白色X 線（制動X 線）の実効エネルギーについて述べたものである。正しいものを一 つ選べ。,同一半価層を有する単色X 線のエネルギーである。,X 線スペクトルの最大エネルギーである。,X 線スペクトルの平均エネルギーである。,管電圧の実効値である。,a,実効エネルギー 白色X 線の線質を、白色X 線の半価層と等しい半価層をもつ単一波長 のX 線のエネルギーで表したもの(JIS Z 2300:2009 非破壊試験用語) 参考：テキストⅡ②p37 2.2.7(2)白色X 線の線質,
12,次の文のうち正しいものを一つ選べ。,白色Ｘ線の半価層は、第一半価層も第二半価層もその値は同じである。,白色Ｘ線のピークエネルギーは、管電圧によって変わらない。,減弱係数は、半価層に反比例する。,100kV を超える管電圧によって放射されるＸ線と物質との相互作用は、主に光電効果である。,c,・第二半価層：第一半価層の2倍の厚さ ・白色Ｘ線のピークエネルギーは、管電圧によって変化する。 ・100kVを超える管電圧によって放射されるＸ線と物質との相互作用 は、主にコンプトン効果である。 半価層hと減弱係数μの関係：h=0.693／μ・・・問9参照,
13,次の文は、特性Ｘ線の特徴について述べたものである。正しいものを一つ選べ。,元素分析への適用はできない。,核種によって定まる一定のエネルギーからなる線スペクトルである。,高速電子のエネルギーを最大エネルギーとした連続スペクトルであり、放射線透過試験で主 に用いられる。,原子が励起状態から安定状態になるときに発生し、元素によって決まる幾つかの一定のエネ ルギーからなる線スペクトルである。,d,a) 特性X線は、元素分析に用いられる。 b) γ線の特徴である。 c) 制動X線（白色X線）の特徴である。 参考：テキストⅡ②p21 2.1.7(1)(b)特性X 線の発生機構,
14,次の文のうち正しいものを一つ選べ。,192Ir、60Co は時間とともに線量率が減る。,192Ir、60Co は時間とともに波長が短くなる。,192Ir、60Co は時間とともにエネルギーが減る。,192Ir、60Co は時間とともに減弱係数が小さくなる。,a,γ 線源は時間の経過により線量率は低下するがエネルギーは変化しな い。これに伴い波長、減弱係数も変化しない。 参考：H15/秋-H27/秋集大成問題集（2016.02 版）問4,
15,次の文は、γ 線源の実効エネルギーについて述べたものである。正しいものを一つ選べ。,同じ半価層をもつ単一γ 線のエネルギーである。,実効エネルギーは白色X 線に関わるもので、γ 線源の概念にはない。,放出されるγ 線スペクトルの平均エネルギーである。,放出されるγ 線スペクトルの最大エネルギーである。,a,－,
16,次の文は、 主なγ 線源の半減期について述べたものである。正しいものを一つ選べ。,60Co の半減期は74 日である。,192Ir の半減期は74 日である。,75Se の半減期は74 日である。,169Yb の半減期は74 日である。,b,半減期 60Co：5.2 年、75Se：119.8 日、169Yb：32 日 参考：テキストⅡ②p79 4.2.1 主なγ線源 表4.3,
17,γ 線源192Ir により試験体の透過写真を撮影した。37 日後に同じ試験体を同じ撮影配置で同じ写 真濃度にするために必要な照射時間について正しいものを一つ選べ。,最初の照射時間の1.4 倍とする。,最初の照射時間の1.6 倍とする。,最初の照射時間の1.8 倍とする。,最初の照射時間の2.0 倍とする。,a,192Ir の半減期を T 、最初の 192Ir の核種の数を N 、照射時間を t 、T 日 H 0 o 経過後の核種の数を N 、同じ写真濃度に必要な照射時間を t とすると 1 1 次の関係が成立する。 （t ／t ）-1 ＝ N ／N ＝ （1／2）T/T 1 0 1 0 H ここで、半減期TH＝74 日、題意より経過日数T＝37 日とすると次のよ うになる。 （t ／t ）＝（1／2）－37/74 ＝ 237/74 ≒ 1.4 1 0 照射時間の倍率＝2（経過日数／半減期）,
18,γ 線源60Co により試験体の透過写真を撮影した。2 年後に同じ試験体を同じ撮影条件で同じ写真 濃度にするために必要な照射時間について正しいものを一つ選べ。,最初の照射時間の1.8 倍とする。,最初の照射時間の1.6 倍とする。,最初の照射時間の1.4 倍とする。,最初の照射時間の1.3 倍とする。,d,前問（問17）と同じ手順で解く 半減期T ＝5.2 年、題意より経過年数T＝2 年とすると次のようになる。 H 照射時間の倍率＝2（経過年数／半減期）＝2（2／5.2）≒ 1.3,
19,細いX 線束が厚いアルミニウム板を透過したときの線量率をE0 とする。厚さ6.0mm のアルミニ ウム板でしゃへいしたところ線量率がE0 の1/4 に減少した。このX 線に対する1/10 価層（cm）と 減弱係数μ（cm-1）の組合せについて、次のうち正しいものを一つ選べ。,1/10 価層：1.0、減弱係数：2.3,1/10 価層：1.5、減弱係数：2.5,1/10 価層：2.3、減弱係数：1.5,1/10 価層：0.6、減弱係数：1.0,a,6.0mm のアルミニウム板で遮へいしたとき線量率が1/4 になったのであ るから、半価層 2 枚分の厚さが 6.0mm である。したがって、半価層 h は3.0mm（＝0.3cm）である。 減弱係数μ＝log2／h＝0.693／0.3 [cm]≒2.3cm-1 e 1/10 価層H＝log10／μ≒2.3／2.3[cm-1]＝1.0cm e,
20,X 線の線量率について正しいものを一つ選べ。,線量率は試験体の厚さに反比例する。,線量率は管電圧と管電流の積に比例する。,線量率は距離に反比例する。,線量率は距離の2 乗に反比例する。,d,X 線、γ線の強さ（線量率）は、距離の二乗に逆比例して減弱する。 距離L の線量率I 、距離L の線量率I とすると 1 1 2 2 I ／I ＝L 2／L 2 が成立する。 2 1 1 2 参考：テキストⅡ②p26 2.1.8(3)放射線量率の逆二乗則,
21,次の文は、X 線フィルムについて述べたものである。正しいものを一つ選べ。,X 線フィルムは、X 線あるいはγ 線により直接感光するスクリーン形フィルムと蛍光体と組 合せて蛍光体からの発光により感光するノンスクリーン形フィルムがある。,感度の高いX 線フィルムは、フィルムコントラストγ が高い。,X 線フィルムの粒状が細かくなるほど、フィルムコントラストγ は高くなる。,フィルムコントラストγ は、X 線フィルムの特性曲線の濃度D における接線の勾配で求める ことができ、一般に濃度D が大きくなるほどフィルムコントラストγ は小さくなる。,c,"－ 参考：テキストⅡ②p83～85 4.3 フィルム 演習・解説p77,78（解説2.感光材料）",
22,次のうち、蛍光増感紙との組合せで最高感度を得る市販のX 線フィルムはどれか。正しいものを 一つ選べ。,フジIX80,フジIX100,フジIX150,フジIX300,d,－ 工業用Ｘ線フィルムの種類 ISO ｸﾗｽ 感度 粒状性 富士 ｺﾀﾞｯｸ ｱｸﾞﾌｧ 分類 ﾉﾝ 低感度 微粒子 IX-25 R D2 T-1 ｽｸﾘｰﾝ形 D3 IX-50 M D4 T-2 IX-80 T D5 T-3 IX-100 AA D7 IX-150 D8 T-4 高感度 粗粒子 ｽｸﾘｰﾝ形 IX-300 蛍光増感紙 D6,
23,Ｘ線フィルムのうち、鉛箔（Pb）増感紙と組合せて最も高い鮮鋭度が得られるものを次のうちか ら一つ選べ。,低感度・極超微粒子フィルム,低感度・超微粒子フィルム,中感度・微粒子フィルム,高感度・極超微粒子フィルム,a,－ 参考：参考：テキストⅠp14、4.1X 線フィルム,
24,厚いコンクリートを撮影する場合、蛍光増感紙と組み合わすフィルムはどれか。,フジIX80,フジIX100,フジIX150,フジIX300,d,工業用放射線透過試験では一般にノンスクリーン形のフィルムが使用 されるが、厚いコンクリート構造物の検査では、高感度の医用Ｘ線フィ ルムが使用されている。設問の蛍光増感紙と組合せて使用するフィルム はスクリーン形フィルムIX300 (#300)である。,
25,金属蛍光増感紙を使用して、厚肉鋼溶接部、厚肉鋼母材部及びコンクリートを撮影する場合、最 も適しているフィルムは次のうちどれか、一つ選べ。,フジIX50,フジIX80,フジIX100,フジIX150,c,金属蛍光増感紙はIX100 とIX300（旧IX400）の組合せで使用され、IX150 は蛍光に対する感度は考慮されていない。 コンクリートではIX300 を感度の面で優先する。一方で、厚肉鋼溶接部 ではIX100 が優先される（IX300 は溶接部への適用は推奨されていない。,
26,次の文はX 線フィルムの取り扱いについて述べたものである。正しいものを一つ選べ。,X 線フィルムは十分に強いので乱暴に取り扱ってもよい。,フィルムを増感紙に挟んだ状態で長期間カセッテに入れていても問題ない。,圧力に弱いので折り曲げたりせず慎重に扱うべきである。,多少磨耗させてもフィルムにきずは付かない。,c,a)フィルムの素材は圧力に弱く、表面はきずつきやすいので慎重に取り 扱わなければならない。 b)ムラなどの原因になる。 d)表面の乳剤は特にきずつきやすい。,
27,金属増感紙でよく使われる材料はどれか。最も適切なものを一つ選べ。,タンタル,アルミニウム,鉛,鉄,c,"数MeV 以上の高エネルギー線源による撮影にはタンタル、鉄及び銅な どの増感紙も使用されるが、鉛箔増感紙が低エネルギーから高エネルギ ー線源による撮影に幅広く使用される。 参考：テキストⅡ②p90～p92 4.3.5 増感紙 テキストⅠp14，p15、4.2 増感紙 演習・解説p77,78（解説2.感光材料）",
28,次の文は増感紙について述べたものである。正しいものを一つ選べ。,軟X 線により撮影する場合、鉛箔増感紙は使用しない。,鉛箔増感紙を使用する際、前面のものを後面のものよりも厚くする。,金属箔増感紙による増感作用は、コンプトン効果によるものである。,金属箔増感紙による増感作用は、光電効果によるものである。,a,b) 鉛（Pb）箔増感紙は、増感作用と散乱線防止を目的とする。フィル ム後面は後方散乱線の低減のため、前面より厚くすることがある c)，d) 2 次電子によって生じる,
29,次の文は鉛箔増感紙の効果について述べたものである。正しいもの一つを選べ。,鉛箔表面から発生する２次Ｘ線による。,鉛箔表面から発生する２次電子による。,鉛箔表面から発生する前方散乱線による。,鉛箔表面から発生する後方散乱線による。,b,前問（問28）と同じ。,
30,次の文は増感紙の取り扱いにつて述べたものである。正しいものを一つ選べ。,増感紙は、ホコリや毛髪が付いた状態で使用しても良い。,増感紙とフィルムの間にホコリや毛髪が付いた状態でも透過写真に影響がない。,増感紙は、フィルムの両面に密着させて使用する。,増感紙は、フィルムの片面のみに密着させて使用する。,c,増感紙はフィルム両面※に密着させて使用する。密着性が悪いと像のぼ けの原因となる。 a) 増感効果の低下を招き、透過写真上で白い模様が現れる。 b) 同上 d) フィルムの片面に配置することは増感効果が半減、また、金属箔増 感紙の場合は、散乱線の低減効果も低下する。 ※：問題③2.5.1 では、フィルムカセットの両面に密着という設問にな っている。これは誤り（カセットではなく、フィルム自体に密着が正）,
32,次の文はＸ線装置について述べたものである。正しいものを一つ選べ。,Ｘ線装置の接地（アース）は他のケーブルの接続後に行う。,携帯型Ｘ線装置で、管電流を一定値に保持できない。,軟Ｘ線装置は波長の長いＸ線を照射する。,低エネルギーＸ線装置は、粒子加速器を使用してＸ線を発生させる装置である。,c,軟Ｘ線装置は、波長の短いＸ線ではなく、波長の長い（低エネルギー） のＸ線を照射することができる。 a) 最初に制御器のアースをとり、その後制御器と X 線発生装置を低圧 ケーブルで接続する。 b) 管電流可変の装置もある。 d) 粒子加速器を使用するものは高エネルギーX 線装置である。 参照：テキストⅠp8～p12 、テキストⅡ①p29､p30 H15/秋-H27/秋集大成問題集（2016.02 版）問16,
33,次の文はX 線装置の適用について述べたものである。次のうち正しいものを一つ選べ。,母材の厚さ100mm の鋼溶接部の透過写真の撮影には、携帯式X 線装置の使用が適している。,母材の厚さ100mm のアルミニウム鋳物の透過写真の撮影には、高エネルギーX 線装置の使用 が望ましい。,母材の厚さ5.0mm の鋼溶接部の透過写真の撮影には、軟X 線装置を使用する必要がある。,母材の厚さ5.0mm のアルミニウム溶接部の透過写真の撮影には、軟X 線装置の使用が望まし い。,d,a) 厚さ100mm の鋼溶接部の撮影には1Mev 程度を要する。携帯形X 線 装置は、300kV 前後であり、誤りである。 b) 高エネルギーX 線装置は、1MeV 以上であり、厚さ100mm のアルミ ニウムへは適さない。 c) 一般のX 線装置でも適用可能,
34,次の文は鋼溶接部の厚さと使用するγ 線源について述べたものである。最も適切なものを一つ選 べ。,母材の厚さが5mm 程度では60Co を使用するとよい。,母材の厚さが5 mm 程度では75Se を使用するとよい。,母材の厚さ5mm 程度では192Ir を使用するとよい。,母材の厚さ5 mm 程度には169Yb を使用するとよい。,d,X線は連続スペクトルのため、透過厚さに応じて管電圧を変えて適用す る。これに対してγ線源は線スペクトルのため透過厚さに応じて核種を 変える。薄い透過厚さではγ線のエネルギーが小さい核種、厚い透過厚 さではγ線のエネルギーが大きい核種を使用する。γ線のエネルギーは 169Yb＜75Se＜192Ir＜60Coの順で大きくなる。 参考：ISO17636像質Aの推奨厚さ、テキストⅡ②記載内容 ・169Yb：1≦適用厚さ≦15 （テキストⅡ②p79表4-3：20mm以下） ・75Se：10≦適用厚さ≦40 （テキストⅡ②p79表4-3：35mm以下） ・192Ir：20≦適用厚さ≦100（テキストⅡ②p79表4-3：16mm～50mm） ・60Co：40≦適用厚さ≦200（テキストⅡ②p79表4-3：36mm～100mm）,
35,次の文は小焦点Ｘ線装置を使用したときの効果について述べたものである。正しいものを一つ選 べ。,透過力が小さくなる。,透過写真の粒状性が小さくなってフィルムコントラストが大きくなる。,透過写真の濃度が小さくなる。,透過写真の鮮鋭度が良くなる。,d,"焦点寸法f が小さくなるときず像に生じる半影像U が小さくなり、鮮 g 鋭度が増す。 a) 焦点寸法と透過力は直接関係しない。 b) 焦点寸法はフィルムコントラストに関わる間接的因子で、影響度合 いは鮮鋭度に比べてかなり小さい。 c) 焦点寸法と濃度は直接関係しない。 参考：テキストⅡ②p46,47、テキストⅡ①p51",
36,次の文は、ろ過板（フィルター）について述べたものである。正しいものを一つ選べ。,ろ過板は放射口に取り付け、不要なX 線を低減させる目的で使用する。,ろ過板はフィルムに密着させる。,ろ過板の厚さを増減しても後方散乱線の線量率は変わらない。,ろ過板の材質及び厚さは、きずの識別性能に影響しない。,a,ろ過板（フィルター）は、放射口に取り付け、人体に有害は長波長の X線の除去、後方散乱線の低減を目的とした金属板（例：薄い銅板）。 ろ過板は放射線の透過厚を大きくすることと同じため、きずの識別性 能に影響し、大きなきずの識別性低下を招かないように材質と厚さを決 定しなければならない。また、肉厚差のある試験体を1枚の透過写真で 規定の濃度差に収める場合に適用し、低エネルギーX線を低減させる（線 質硬化）によって実現させる。 参考：テキストⅡ②p121 4.10(4)ろ過板（フィルター） テキストⅡ①p128 23.2(2)ろ過板の効果,
37,次の文は、工業用放射線透過写真観察器について述べたものである。正しいものを選び記号で記 せ。,"工業用観察器D10 形では観察面中央の輝度が3,000～10,000 cd/m2 と定められている。",工業用観察器の明るさは、医療用に比べて暗い。,工業用観察器はD10 形～D35 形の4 種類に分類されるが、観察面の中央の明るさ（輝度）で 分類する。,工業用観察器の蛍光灯の交換、内部の反射面の清掃などのメンテナンスは不要である。,c,a) 観察器の形と輝度の関係は以下。 b) 工業用観察器は医療用に比べて約4 倍以上明るい。 d) 劣化による蛍光灯の交換、ほこりなどの清掃は必要 参考：テキストⅠp91 9.1 フィルム観察器,
38,"溶接線長4,000mm、母材の厚さ18mm の溶接部をJIS Z 3104:1995 に従って像質A 級で撮影する。 このとき、少なくとも必要な撮影枚数をについて正しいものを一つ選べ。ただし、焦点・フィルム 間距離（L1＋L2）700mm、透過度計・フィルム間距離（L2）22mm、線源寸法（f）2.0mm、針金形透 過度計の識別最小線径（d）0.40mm とする。",8,10,12,14,c,"JIS Z 3104:1995に従って像質A級で撮影する場合、撮影配置（幾何配置） は以下を満足しなければならない。 ＜条件１＞（L ＋L ）≧m・L 1 2 2 係数m＝2f／d又は6のいずれか大きい値とする。 m＝2･2.0／0.40＝10＞6 （L ＋L ）≧m・L ⇒ 700≧220（10･22） 1 2 2 したがって、（L ＋L ）=700mmは条件1を満足する。 1 2 ＜条件2＞ L ≧n・L （L ：有効長さ） 1 3 3 係数n＝2、L ＝700－L ＝700－22＝678mm 1 2 678≧2･L 3 L ≦678／2（＝339） 3 撮影枚数N≧4,000／339＝11.8 したがって、少なくとも12枚撮影する。 参考：JIS Z 3104:1995 附属書1 3.撮影配置（附属書1 図1、表1～表3）",
39,"溶接線長6,000mm、母材の厚さ15mm の溶接部をJIS Z 3104:1995 に従って像質B 級で撮影する。 このとき、少なくとも必要な撮影枚数をについて正しいものを一つ選べ。ただし、焦点・フィルム 間距離（L1＋L2）600mm、透過度計・フィルム間距離（L2）18mm、線源寸法（f）2.0mm、針金形透 過度計の識別最小線径（d）0.20mm とする。",16,21,26,31,d,"JIS Z 3104:1995に従って像質B級で撮影する場合、撮影配置（幾何配置） は以下を満足しなければならない。 ＜条件１＞（L ＋L ）≧m・L 1 2 2 係数m＝3f／d又は7のいずれか大きい値とする。 m＝3･2.0／0.20＝30＞7 （L ＋L ）≧m・L ⇒ 600≧540（30･18） 1 2 2 したがって、（L ＋L ）=600mmは条件1を満足する。 1 2 ＜条件2＞ L ≧n・L （L ：有効長さ） 1 3 3 係数n＝3、L ＝600－L ＝600－18＝582mm 1 2 582≧3･L 3 L ≦582／3（＝194） 3 撮影枚数N≧6,000／194＝30.9 したがって、少なくとも31枚撮影する。 参考：JIS Z 3104:1995 附属書1 3.撮影配置（附属書1 図1、表1～表3）",
40,外径400mm、母材の厚さ8.5mm、余盛高さ4.0mm の鋼管の円周継手を内部フィルム撮影法によ り、JIS Z 3104:1995 のA 級の規定を満足するように撮影する。試験部の線源側表面とフィルム間の 距離（L2）15mm、線源寸法（f）2.0mm とした場合、線源とフィルム間の距離（L1＋L2）について正 しいものを一つ選べ。なお、識別最小線径（d）は0.20mm である。,300 以上,250 以上,200 以上,150 以上,d,JIS Z 3104:1995に従って鋼管円周継手を内部フィルム撮影法、像質A級 で撮影する場合、撮影配置（幾何配置）は以下を満足しなければならな い。 ＜条件＞（L ＋L ）≧m・L 1 2 2 係数m＝f／dとする。 m＝2.0／0.20＝10 （L ＋L ）≧m・L （10･15=150） 1 2 2 したがって、（L ＋L ）≧150mmとする。 1 2 参考：JIS Z 3104:1995 附属書2 3.2 内部フィルム撮影方法,
41,外径200 mm、母材の厚さ9.0 mm で余盛高さ1.5mm の鋼管の円周継手を二重壁片面撮影法により JIS Z 3104:1995 のP1 級の規定を満足するように撮影する。試験部の線源側表面とフィルム間距離 （L2）は13mm、線源寸法（f）2.5mm とした場合、線源とフィルム間の距離（L1＋L2）について正し いものを一つ選べ。なお、係数m の値は小数点以下を切り上げること。また、識別最小線径（d）は 0.32mm である。,91 以上,104 以上,208 以上,312 以上,b,JIS Z 3104:1995に従って鋼管円周継手を二重壁片面撮影法、像質P1級で 撮影する場合、撮影配置（幾何配置）は以下を満足しなければならない。 ＜条件＞（L ＋L ）≧m・L 1 2 2 係数m＝f／dとする。 m＝2.5／0.32＝7.8、題意より小数点以下を切り上げて、m=8となる。 （L ＋L ）≧m・L （8･13=104） 1 2 2 したがって、（L ＋L ）≧104mmとする注］。 1 2 注] 幾何配置上は104mm で要件を満足する。ただし、外径200mm の 管に対して二重壁片面撮影を適用する場合、実運用上(L1+L2)＞200 となる。 参考：JIS Z 3104:1995 附属書2 3.3 二重壁片面撮影法,
42,JIS Z 3104:1995 の像質A 級の撮影配置では、（L1＋L2）≧m・L2、m=2f／d 又は6 の大きいほうの 値を規定している。次の文はこの規定について述べたものである。正しいものを一つ選べ。 なお、L1+L2：線源とフィルム間距離、L2：試験体の線源側表面とフィルム間距離、ｆ：線源寸法、 d：識別最小線径を示す。,m=2f／d は幾何学的補正係数0.95 以上になる条件、6 は欠陥像の拡大率が1.20 倍以上になら ない条件を意味している。,m=2f／d は幾何学的補正係数0.80 以上になる条件、6 は欠陥像の拡大率が1.20 倍以上になら ない条件を意味している。,m=2f／d は幾何学的補正係数0.80 以上になる条件、6 は欠陥像の拡大率が1.10 倍以上になら ない条件を意味している。,m=2f／d は幾何学的補正係数1.10 以上になる条件、6 は欠陥像の拡大率が1.10 倍以上になら ない条件を意味している。,a,－ 参考：JIS Z 3104:1995 解説3 撮影配置,
43,JIS Z 3104:1995 の像質B 級の撮影配置では、（L1＋L2）≧m・L2、m=3f／d 又は7 の大きいほうの 値を規定している。次の文はこの規定について述べたものである。正しいものを一つ選べ。 なお、L1+L2：線源とフィルム間距離、L2：試験体の線源側表面とフィルム間距離、ｆ：線源寸法、 d：識別最小線径を示す。,m=3f／d は幾何学的補正係数0.95 以上になる条件、7 は欠陥像の拡大率が1.20 倍以上になら ない条件を意味している。,m=3f／d は幾何学的補正係数0.95 以上になる条件、7 は欠陥像の拡大率が1.17 倍以上になら ない条件を意味している。,m=3f／d は幾何学的補正係数0.98 以上になる条件、7 は欠陥像の拡大率が1.20 倍以上になら ない条件を意味している。,m=3f／d は幾何学的補正係数0.98 以上になる条件、7 は欠陥像の拡大率が1.17 倍以上になら ない条件を意味している。,d,－ 参考：JIS Z 3104:1995 解説3 撮影配置,
